family,N_params_B,D_tokens_B,val_loss,is_converged,pred_main
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1,1.8748112739414566
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1,1.8450774561232366
Yuan 1.0,245.7,180.0,2.0335,1,2.0342559226940153
Aramco Metabrain AI,250.0,7000.0,1.8478,1,1.8481678217897126
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1,1.9505140238709016
ERNIE 3.0 Titan,260.0,668.0,1.9436,1,1.9441801326060901
ST-MoE,269.0,1500.0,1.9024,1,1.9028908561355107
Gopher (280B),280.0,300.0,1.9926,1,1.9932740342495279
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1,1.8384405043994159
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1,1.8990305527497333
EXAONE 1.0,300.0,942.0,1.9227,1,1.92322863571003
SB-LM,300.0,1800.0,1.8926,1,1.893004703560642
MiMo-V2-Flash,309.0,1310.7,1.9062,1,1.9066183235651226
Grok-1,314.0,6200.0,1.8474,1,1.8477220781802346
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1,1.8640831487771024
Nemotron-4 340B,340.0,9000.0,1.8354,1,1.8357298081397484
PaLM 2,340.0,3600.0,1.8637,1,1.864063664372506
GLM-4.5,355.0,23100.0,1.8123,1,1.8125479085832075
GLM-4.6,357.0,23000.0,1.8123,1,1.8125466085686466
GLM-4.7,358.0,2057.7,1.884,1,1.8844453233274716
Hunyuan-Large,389.0,7000.0,1.8403,1,1.8406096036138755
Arcee Trinity Large,398.0,555.3,1.9471,1,1.9476348773930572
Llama 4 Maverick,400.0,30000.0,1.8051,1,1.805386464193745
Hermes 3 405B,405.0,0.3,3.4691,1,3.473753294111713
Llama 3.1-405B,405.0,15600.0,1.8188,1,1.8190858034468145
MiniMax-M1-80k,456.0,7500.0,1.8359,1,1.836170221152388
MiniMax-M1-40k,456.0,7500.0,1.8359,1,1.836170221152388
MiniMax-Text-01,456.0,7200.0,1.837,1,1.8373421800355862
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1,1.8354070118501413
Arctic,480.0,133.1,2.0479,1,2.048717334340919
Doubao-pro,500.0,8350.0,1.8315,1,1.8317900904275373
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,1,2.510370950332646
MegaScale (530B),530.0,300.0,1.9824,1,1.9831115310895038
MegaScale (Production),530.0,1226.4,1.9008,1,1.9012948316400884
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1,1.9906302366164665
U-PaLM (540B),540.0,1.3,2.8812,1,2.8842328392558816
Flan-PaLM 540B,540.0,1.4,2.8576,1,2.860560437675972
Minerva (540B),540.4,26.0,2.2285,1,2.229798600893135
PaLM (540B),540.4,780.0,1.9234,1,1.9238880030201075
LongCat-Flash,560.0,23000.0,1.8055,1,1.8057373870590019
Hunyuan-TurboS,560.0,16000.0,1.8134,1,1.8137042467160873
SenseChat 5.0,600.0,1835.0,1.8811,1,1.8815003191543163
GShard (600B),600.0,1000.0,1.909,1,1.9095178737062009
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1,1.9109494771714879
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1,1.9170479590821505
DeepSeek-V3.1,671.0,840.0,1.9165,1,1.9169851731768144
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1,1.8130691435833761
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1,1.8130691435833761
DeepSeek-R1,671.0,14800.0,1.8128,1,1.8130691435833761
DeepSeek-V3,671.0,14800.0,1.8128,1,1.8130691435833761
Pangu Ultra MoE,718.0,717.0,1.9241,1,1.9246357968001253
GLM-5,744.0,1532.3,1.886,1,1.8864933684343599
Kimi K2 Thinking,1000.0,700.0,1.9214,1,1.9219321655770916
Ling-1T,1000.0,20000.0,1.8011,1,1.801344383492632
Qwen3-Max,1000.0,36000.0,1.7894,1,1.7895899981814547
Kimi K2,1000.0,15500.0,1.8068,1,1.807074796080634
DLRM-2021,1000.0,0.1,4.0812,1,4.087619993119855
M6-T,1002.7,111.8,2.054,1,2.054883624090275
Kimi K2.5,1040.0,929.5,1.9059,1,1.9063658715141703
PanGu-Σ,1085.0,329.0,1.967,1,1.9676381005165395
MoE-1.1T,1100.0,112.0,2.0528,1,2.053671161387809
GLaM,1200.0,600.0,1.9281,1,1.9286370181523331
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1,1.9282339084329467
Switch,1571.0,86.4,2.074,1,2.0748777340395286
Wu Dao 2.0,1750.0,4900.0,1.8325,1,1.8328743221922559
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1,1.8294287606962156
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1,1.8294287606962156
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1,1.7859344007333697
Grok 4,3000.0,27777.8,1.7838,1,1.7840016564461096
Grok 3,3000.0,19444.4,1.7912,1,1.7914220729669161
DLRM-2022,3000.0,0.1,4.0707,1,4.0770842229895266
M6-10T,10000.0,0.1,4.0628,1,4.069268971969544
