model_name,N_params_B,D_tokens_B,FLOPs,publication_date,organization,accessibility,country,family,N_params_B_B10,D_tokens_B_B10,val_loss,is_converged,FLOPs_over_6ND,tokens_per_param,is_open,usable_LLM_row,N,D,C6ND,L_B1_classic,L_Qref_pref,L_Q0p8_pref,L_Qref_pstar,N_opt_at_same_C_B,overtrain_ratio_tokens_per_param_vs_opt,N_equiv_mult_dQ0p1,N_equiv_mult_CI_low,N_equiv_mult_CI_high,diff_B10_minus_B1law
Odyssey 102B,102.0,179.7,1.1e+23,2025-10-18,Anthrogen,Unreleased,United States of America,Odyssey 102B,102.0,179.7,2.0526,1.0,1.0002145914941751,1.761764705882353,False,True,102000000000.0,179700000000.0,1.099764e+23,2.053369534463309,2.053369534463309,2.028061409699623,2.036194931097276,15.242812790902363,0.02233211666459983,2.7191144909049894,2.36206555029912,3.4183122598872626,-0.000769534463309185
Yuan 2.0,102.6,289.1,1.78e+23,2023-11-27,Inspur,Open weights (restricted use),China,Yuan 2.0,102.6,289.1,2.0164,1.0,1.0001687925310545,2.8177387914230025,True,True,102600000000.0,289100000000.0,1.7796996e+23,2.0170891750025364,2.0170891750025364,1.994070399685556,2.001066643333564,18.944550416918997,0.03409368034411212,2.4511164766990845,2.139850721977749,2.9001574465177726,-0.0006891750025364018
InternLM,104.0,1600.0,9.984e+23,2023-07-06,"Shanghai AI Lab,SenseTime",Unreleased,"China,Hong Kong",InternLM,104.0,1600.0,1.9197,1.0,1.0,15.384615384615383,False,True,104000000000.0,1600000000000.0,9.984e+23,1.9201728068785746,1.9201728068785746,1.9032678263380913,1.9074675943652741,41.28211485025112,0.15756407234738573,1.8847421199024612,1.7399230439755788,2.1278713285901603,-0.00047280687857464976
Ring-flash-linear-2.0,104.2,1000.0,7.686e+23,2025-10-23,Ant Group,Open weights (unrestricted),China,Ring-flash-linear-2.0,104.2,1000.0,1.9417,1.0,1.2293666026871402,9.596928982725528,True,True,104200000000.0,1000000000000.0,6.252e+23,1.9422273612159258,1.942227361215926,1.9239352288147493,1.9287309911646207,33.41527659302905,0.10283825120271395,1.9995381608425562,1.8457665243176695,2.2794838102156767,-0.0005273612159257812
GLM-4.5-Air,106.0,2603.8,1.656e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.5-Air,106.0,2603.8,1.8993,1.0,0.9999898551753824,24.56415094339623,True,True,106000000000.0,2603800000000.0,1.6560168e+24,1.8996727038305201,1.8996727038305201,1.8840741814088469,1.8877263641261313,51.88236795134251,0.23956747100734174,1.7928378015242779,1.6517736077381524,1.9436008403971503,-0.0003727038305201269
GLM-4.5V,108.0,2013.3,1.8e+24,2025-08-15,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",GLM-4.5V,108.0,2013.3,1.909,1.0,1.379713792170952,18.641666666666666,True,True,108000000000.0,2013300000000.0,1.3046184e+24,1.9094512661845309,1.9094512661845309,1.893252225819479,1.8971399374943705,46.58389813641797,0.18604763079425285,1.8461121567541963,1.7056512983941854,2.0858228822842912,-0.0004512661845308408
Llama 4 Scout,109.0,30000.0,4.08e+24,2025-04-05,Meta AI,Open weights (restricted use),United States of America,Llama 4 Scout,109.0,30000.0,1.8308,1.0,0.2079510703363914,275.22935779816515,True,True,109000000000.0,30000000000000.0,1.962e+25,1.8310439242113936,1.8310439242113936,1.8197895039577048,1.8218492215251902,158.46822927980887,2.113641923329524,1.5119939931756703,1.4522337832269863,1.5920077812082205,-0.0002439242113936313
Telechat2-115B,115.0,10000.0,6.899999999999999e+24,2024-09-20,China Telecom,Open weights (restricted use),China,Telechat2-115B,115.0,10000.0,1.8543,1.0,1.0,86.95652173913044,True,True,115000000000.0,10000000000000.0,6.9e+24,1.8546524543707426,1.8546524543707426,1.8419544117048368,1.8444683497114305,98.84491676081406,0.7387763757619855,1.616611368342805,1.542328529053468,1.7249621393843297,-0.0003524543707424943
gpt-oss-120b,116.8,7047.3,4.94e+24,2025-08-05,OpenAI,Open weights (unrestricted),United States of America,gpt-oss-120b,116.8,7047.3,1.8636,1.0,1.0002535379494089,60.33647260273973,True,True,116800000000.0,7047300000000.0,4.93874784e+24,1.8639636705598293,1.8639636705598293,1.8506916251404135,1.8534028421415867,84.98809662966012,0.5294567877952923,1.660180143141005,1.5686447762584843,1.7729741351644788,-0.00036367055982933216
Galactica,120.0,106.0,3.24e+23,2022-11-16,Meta AI,Open weights (non-commercial),United States of America,Galactica,120.0,106.0,2.0947,1.0,4.245283018867926,0.8833333333333333,True,True,120000000000.0,106000000000.0,7.632e+22,2.09559328640955,2.09559328640955,2.067757253751206,2.0771260831041394,12.924195605640374,0.011599641114781529,3.3215164143750875,2.6667677446131677,4.4271680824238775,-0.0008932864095498871
Mistral Large 2,123.0,28861.8,2.13e+25,2024-07-24,Mistral AI,Open weights (non-commercial),France,Mistral Large 2,123.0,28861.8,1.8286,1.0,0.9999996056339584,234.64878048780488,True,True,123000000000.0,28861800000000.0,2.13000084e+25,1.8289061745616384,1.8289061745616384,1.8178821439845594,1.8198037435406715,164.45911194510512,1.7877453567170745,1.525912639986555,1.458296638651469,1.6055790145902396,-0.00030617456163839485
Step-Audio-Chat 130B,130.0,1668.0,1.925e+24,2025-02-18,StepFun,Open weights (unrestricted),China,Step-Audio-Chat 130B,130.0,1668.0,1.9126,1.0,1.4795855623193752,12.830769230769231,True,True,130000000000.0,1668000000000.0,1.30104e+24,1.913020797565216,1.913020797565216,1.8967428149963719,1.9005776204982137,46.526143873938764,0.12808769608156506,1.9374406924135705,1.7769221301162483,2.1641204357318156,-0.0004207975652159579
Step-1,130.0,800.0,6.24e+23,2025-02-18,StepFun,Unreleased,China,Step-1,130.0,800.0,1.948,1.0,1.0,6.153846153846154,False,True,130000000000.0,800000000000.0,6.24e+23,1.948500240340872,1.948500240340872,1.929988188983758,1.9347832038176425,33.386293018851426,0.06595529949944423,2.148899084351178,1.9243316250887144,2.5153709763739416,-0.000500240340872038
Step-Omni,130.0,2468.0,2.549e+24,2025-02-18,StepFun,Unreleased,China,Step-Omni,130.0,2468.0,1.8965,1.0,1.324128329800939,18.984615384615385,False,True,130000000000.0,2468000000000.0,1.92504e+24,1.8968841780204058,1.8968841780204058,1.881622285763385,1.8850429753485853,55.532517339980274,0.18247695160445027,1.850461468021105,1.7190163935523104,2.068565308216531,-0.00038417802040568994
BlueLM 130B,130.0,1000.0,7.8e+23,2023-11-02,vivo AI lab,Unreleased,China,BlueLM 130B,130.0,1000.0,1.9364,1.0,1.0,7.6923076923076925,False,True,130000000000.0,1000000000000.0,7.8e+23,1.9369436608719788,1.9369436608719788,1.919159303961868,1.9236346124968429,36.92657322893049,0.08068472251074357,2.076766556372408,1.8971943707249694,2.434770508902488,-0.0005436608719788794
GLM-130B,130.0,152.0,3.549e+23,2022-08-04,Tsinghua University,Open weights (non-commercial),China,GLM-130B,130.0,152.0,2.0607,1.0,2.993421052631579,1.1692307692307693,True,True,130000000000.0,152000000000.0,1.1856e+23,2.061466321099225,2.061466321099225,2.0358410240028473,2.044040048098047,15.769097990162845,0.014713872865287449,3.069173044052192,2.5486915877170193,3.9434054443548976,-0.0007663210992245872
DBRX,132.0,12000.0,2.6e+24,2024-03-27,Databricks,Open weights (restricted use),United States of America,DBRX,132.0,12000.0,1.8464,1.0,0.2735690235690236,90.9090909090909,True,True,132000000000.0,12000000000000.0,9.504e+24,1.8467421461231095,1.8467421461231095,1.834649199821528,1.8368838173820934,114.225112326517,0.7488163616853437,1.6149698164750328,1.538008364442876,1.7367776211110866,-0.0003421461231094547
Pangu Ultra,135.0,13200.0,1.069e+25,2025-04-10,Huawei,Hosted access (no API),China,Pangu Ultra,135.0,13200.0,1.8436,1.0,0.9998129442573888,97.77777777777776,False,True,135000000000.0,13200000000000.0,1.0692e+25,1.8438764216835786,1.8438764216835786,1.8319808948480116,1.834137487064652,120.46624380889686,0.7962752207091676,1.6076105451396094,1.5400191193338444,1.7127146623950342,-0.0002764216835786648
MEB,135.0,500.0,,2021-09-04,Microsoft,Hosted access (no API),United States of America,MEB,135.0,500.0,1.9739,1.0,,3.703703703703704,False,True,135000000000.0,500000000000.0,4.05e+23,1.974475387232703,1.974475387232703,1.9543563075482786,1.959863291811524,27.464862666684358,0.041389228054860484,2.349977521468742,2.104128086835345,2.794615461505318,-0.0005753872327030063
BIG-G 137B,137.0,681.2,5.6e+23,2022-06-09,Google,Unreleased,United States of America,BIG-G 137B,137.0,681.2,1.9555,1.0,1.0000957234478156,4.972262773722628,False,True,137000000000.0,681200000000.0,5.599464e+23,1.9560894566780316,1.9560894566780316,1.937139137373791,1.9421078678735584,31.792358637719996,0.05385231326918905,2.2299109803036394,1.9913295569157572,2.6150257387838285,-0.0005894566780315635
LaMDA,137.0,2080.0,3.55e+23,2022-02-10,Google,Unreleased,United States of America,LaMDA,137.0,2080.0,1.9021,1.0,0.2076314804416994,15.182481751824817,False,True,137000000000.0,2080000000000.0,1.70976e+24,1.9025162970098994,1.9025162970098994,1.886939371269373,1.8904632328270834,52.63620409505205,0.14761415000990855,1.9007687529093813,1.7478872896718123,2.103072106469799,-0.00041629700989953555
FLAN 137B,137.0,2490.0,2.047e+24,2021-09-03,Google Research,Unreleased,United States of America,FLAN 137B,137.0,2490.0,1.8949,1.0,1.0001074859046897,18.175182481751825,False,True,137000000000.0,2490000000000.0,2.04678e+24,1.8953433409477256,1.8953433409477256,1.880218081749976,1.8835604398849841,57.09207401525682,0.17366428234661216,1.8617540343776053,1.7185097601946042,2.0638198194969926,-0.00044334094772557897
Mixtral 8x22B,141.0,2766.0,2.34e+24,2024-04-17,Mistral AI,Open weights (unrestricted),France,Mixtral 8x22B,141.0,2766.0,1.8903,1.0,0.999984615621298,19.617021276595743,True,True,141000000000.0,2766000000000.0,2.340036e+24,1.8906696667129528,1.8906696667129528,1.8758601360889176,1.8790645243149942,60.651385728241465,0.18503046077943422,1.8473385341271578,1.7198673736431866,2.1092120317115453,-0.0003696667129526876
dots.llm1,142.0,11328.0,1.216e+24,2025-07-06,Rednote,Open weights (unrestricted),China,dots.llm1,142.0,11328.0,1.8462,1.0,0.1259913530145089,79.77464788732394,True,True,142000000000.0,11328000000000.0,9.651456e+24,1.8465458878904308,1.8465458878904308,1.8345199745813114,1.8366957119895662,115.02218312704107,0.6561249063335931,1.6314395941555762,1.5624665176076407,1.7618711539611454,-0.00034588789043077384
GPT-3 175B (davinci),174.6,238.0,3.14e+23,2020-05-28,OpenAI,API access,United States of America,GPT-3 175B (davinci),174.6,238.0,2.0185,1.0,1.25938118660981,1.3631156930126005,False,True,174600000000.0,238000000000.0,2.493288e+23,2.019168551582513,2.019168551582513,1.9964205166359863,2.003078852959142,22.060716037617738,0.015964331238294452,2.992398178763342,2.50627505484521,3.813359932477073,-0.0006685515825131105
MegaScale (175B),175.0,300.0,2.739e+23,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",MegaScale (175B),175.0,300.0,2.0016,1.0,0.8695238095238095,1.7142857142857142,False,True,175000000000.0,300000000000.0,3.15e+23,2.002303117071796,2.002303117071796,1.9806186411321764,1.986762465175913,24.51775813208996,0.01962842330852778,2.8167586130993567,2.380668400172732,3.770811322268875,-0.0007031170717963775
BlueLM 175B,175.0,1000.0,1.05e+24,2023-11-02,vivo AI lab,Unreleased,China,BlueLM 175B,175.0,1000.0,1.9299,1.0,1.0,5.714285714285714,False,True,175000000000.0,1000000000000.0,1.05e+24,1.9304418188031713,1.9304418188031713,1.9132823035446318,1.9173651611563416,42.232470807346616,0.05823939887325336,2.197530034353566,1.9576783646846494,2.6598261798269114,-0.00054181880317139
OPT-175B,175.0,180.0,4.3e+23,2022-05-02,Meta AI,Open weights (non-commercial),United States of America,OPT-175B,175.0,180.0,2.0402,1.0,2.275132275132275,1.0285714285714285,True,True,175000000000.0,180000000000.0,1.89e+23,2.0409176307034396,2.0409176307034396,2.0168016769014376,2.0241338232114967,19.466127598667224,0.012373228528574491,3.2484497063435724,2.6655483649014005,4.3486858139230025,-0.0007176307034395535
XuanYuan 2.0,176.2,366.0,,2023-05-19,Du Xiaoman,Open weights (restricted use),China,XuanYuan 2.0,176.2,366.0,1.9879,1.0,,2.077185017026107,True,True,176200000000.0,366000000000.0,3.869352e+23,1.9885614314209392,1.9885614314209392,1.9677469428890721,1.9734756300535978,26.90462204332772,0.023315352333288967,2.688351607280103,2.2796848540197314,3.4467928495945186,-0.000661431420939218
BLOOM-176B,176.2,379.0,3.657e+23,2022-07-11,"Hugging Face,BigScience",Open weights (restricted use),"United States of America,France",BLOOM-176B,176.2,379.0,1.9856,1.0,0.9127011461549752,2.1509648127128265,True,True,176200000000.0,379000000000.0,4.006788e+23,1.9862515151717943,1.9862515151717943,1.965582477396535,1.9712428650356688,27.332117636906457,0.02406216798182636,2.6663895711660177,2.277736642583633,3.3409364902719996,-0.0006515151717942924
Jurassic-1-Jumbo,178.0,300.0,3.7e+23,2021-08-11,AI21 Labs,API access,Israel,Jurassic-1-Jumbo,178.0,300.0,2.0013,1.0,1.1548064918851435,1.6853932584269662,False,True,178000000000.0,300000000000.0,3.204e+23,2.001950816102716,2.001950816102716,1.9803001970788814,1.9864217392467656,24.706710267167104,0.019265923880373067,2.8315854817800648,2.3908945932512875,3.777650000955006,-0.0006508161027158899
Falcon-180B,180.0,3500.0,3.76e+24,2023-09-06,Technology Innovation Institute,Open weights (restricted use),United Arab Emirates,Falcon-180B,180.0,3500.0,1.8765,1.0,0.9947089947089944,19.444444444444443,True,True,180000000000.0,3500000000000.0,3.78e+24,1.8768302309715368,1.8768302309715368,1.8630658389527999,1.8657599297002723,75.31969389806757,0.17509432990427765,1.8598647502564722,1.7225100104140494,2.0689064569753026,-0.00033023097153672687
SenseChat,180.0,3601.9,3.89e+24,2023-04-10,SenseTime,API access,Hong Kong,SenseChat,180.0,3601.9,1.8754,1.0,0.999986632569436,20.010555555555555,False,True,180000000000.0,3601900000000.0,3.890052e+24,1.8758201716169793,1.8758201716169793,1.8621193809939178,1.8647894239058243,76.302350101095,0.17969285897994047,1.8539406187242269,1.7281462783437525,2.0930354790551227,-0.0004201716169793812
Mi:dm 200B,200.0,1000.0,1.1999999999999999e+24,2023-10-31,KT,API access,Korea (Republic of),Mi:dm 200B,200.0,1000.0,1.9272,1.0,1.0,5.0,False,True,200000000000.0,1000000000000.0,1.2e+24,1.927728235734653,1.927728235734653,1.9108295019143993,1.914749198621692,44.857946704367635,0.050305884563297175,2.2592636555420573,2.0212828084874404,2.669124773790474,-0.0005282357346529931
Amazon Titan,200.0,4000.0,4.7999999999999996e+24,2023-09-28,Amazon,API access,United States of America,Amazon Titan,200.0,4000.0,1.8697,1.0,1.0,20.0,False,True,200000000000.0,4000000000000.0,4.8e+24,1.8700679480058733,1.8700679480058733,1.8567999659409966,1.8592638674381101,83.90125897539902,0.17598553144142431,1.8586988312871433,1.7219943363195231,2.070693664409299,-0.0003679480058733642
HyperCLOVA 204B,204.0,560.0,2e+23,2021-09-10,NAVER,Hosted access (no API),Korea (Republic of),HyperCLOVA 204B,204.0,560.0,1.9584,1.0,0.2917833800186741,2.7450980392156863,False,True,204000000000.0,560000000000.0,6.8544e+23,1.9589323696988812,1.9589323696988812,1.9400817644512671,1.9448523428872053,34.83287083291898,0.029155346272174587,2.541933835496384,2.2761026541283833,3.2165156760989317,-0.0005323696988812632
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,4.752e+24,2025-07-25,Alibaba,Open weights (unrestricted),China,Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1.0,0.0936170212765957,153.19148936170214,True,True,235000000000.0,36000000000000.0,5.076e+25,1.811094469054168,1.811094469054168,1.8016432128174278,1.8027807113346792,243.4442364490188,1.0731570169351883,1.574371729234676,1.5091708464933002,1.6744042947732116,-0.0002944690541679673
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,4.752e+24,2025-07-25,Alibaba,Open weights (unrestricted),China,Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1.0,0.0936170212765957,153.19148936170214,True,True,235000000000.0,36000000000000.0,5.076e+25,1.811094469054168,1.811094469054168,1.8016432128174278,1.8027807113346792,243.4442364490188,1.0731570169351883,1.574371729234676,1.5045163137916517,1.6588922470778151,-0.0002944690541679673
Qwen3-235B-A22B,235.0,36000.0,4.752e+24,2025-04-29,Alibaba,Open weights (unrestricted),China,Qwen3-235B-A22B,235.0,36000.0,1.8108,1.0,0.0936170212765957,153.19148936170214,True,True,235000000000.0,36000000000000.0,5.076e+25,1.811094469054168,1.811094469054168,1.8016432128174278,1.8027807113346792,243.4442364490188,1.0731570169351883,1.574371729234676,1.5138239501004185,1.6554097541745714,-0.0002944690541679673
K-EXAONE,236.0,11000.0,1.52e+24,2025-12-31,LG AI Research,API access,Korea (Republic of),K-EXAONE,236.0,11000.0,1.8366,1.0,0.0975860297894196,46.61016949152543,False,True,236000000000.0,11000000000000.0,1.5576e+25,1.8368841341588948,1.836884134158895,1.825811598619223,1.8274397429316738,142.77953980657992,0.36602264053753847,1.7162181843288389,1.6174574176345886,1.8429711227949395,-0.0002841341588948332
DeepSeek-V2.5,236.0,1263.6,1.789e+24,2024-09-06,DeepSeek,Open weights (restricted use),China,DeepSeek-V2.5,236.0,1263.6,1.9127,1.0,0.9998560296739832,5.354237288135593,True,True,236000000000.0,1263600000000.0,1.7892576e+24,1.9131653826717812,1.9131653826717814,1.8972895711192792,1.900716880233775,53.72784079178316,0.05182923147348459,2.246269922745322,1.993911494056286,2.640334332935516,-0.0004653826717810894
DeepSeek-Coder-V2 236B,236.0,3191.0,1.285e+24,2024-06-17,DeepSeek,Open weights (restricted use),China,DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1.0,0.2843891807289924,13.521186440677964,True,True,236000000000.0,3191000000000.0,4.518456e+24,1.8748112739414566,1.8748112739414569,1.8613505430811215,1.8638201073975378,81.64164623212935,0.11967391553239298,1.955931932462022,1.8154351225475518,2.2192901918178727,-0.00041127394145656915
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.02e+24,2024-05-07,DeepSeek,Open weights (restricted use),China,DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1.0,0.0889307386482527,34.32203389830509,True,True,236000000000.0,8100000000000.0,1.14696e+25,1.8450774561232366,1.8450774561232368,1.8334890036626446,1.8352883917192002,124.34728622032502,0.2776186367128597,1.764521240715661,1.6537554684473927,1.9342174281897766,-0.00027745612323659685
Yuan 1.0,245.7,180.0,3.538e+23,2021-10-12,Inspur,API access,China,Yuan 1.0,245.7,180.0,2.0335,1.0,1.3333031851550372,0.7326007326007327,False,True,245700000000.0,180000000000.0,2.65356e+23,2.0342559226940153,2.0342559226940153,2.0107801740201667,2.0176831236923234,22.690290054186175,0.00852844360929187,3.7261123376861787,3.0146866887345163,5.277311902053113,-0.0007559226940152541
Aramco Metabrain AI,250.0,7000.0,1.05e+25,2024-03-04,Saudi Aramco,Unreleased,Saudi Arabia,Aramco Metabrain AI,250.0,7000.0,1.8478,1.0,1.0,28.0,False,True,250000000000.0,7000000000000.0,1.05e+25,1.8481678217897126,1.8481678217897126,1.836420280704582,1.8382503723852877,119.48432310013533,0.22842405546716057,1.8024024831503078,1.6782426053313309,1.9797001955017837,-0.000367821789712508
Llama Nemotron Ultra 253B,253.0,603.0,3.911e+25,2025-03-18,NVIDIA,Open weights (restricted use),United States of America,Llama Nemotron Ultra 253B,253.0,603.0,1.95,1.0,42.7266390926352,2.383399209486166,True,True,253000000000.0,603000000000.0,9.15354e+23,1.9505140238709016,1.9505140238709016,1.9323292120599187,1.9367265343177538,39.6942127270248,0.024615765345784146,2.6508252383682884,2.260048626819184,3.2494037734656906,-0.0005140238709016032
ERNIE 3.0 Titan,260.0,668.0,1.042e+24,2021-12-23,"Baidu,Peng Cheng Laboratory",Hosted access (no API),"China,China",ERNIE 3.0 Titan,260.0,668.0,1.9436,1.0,0.9999232304621526,2.569230769230769,False,True,260000000000.0,668000000000.0,1.04208e+24,1.9441801326060901,1.9441801326060901,1.9264106595926236,1.9306148701319077,42.08829281528339,0.026204502841790458,2.6091992041807486,2.2854993951456426,3.2543279848881306,-0.0005801326060901335
ST-MoE,269.0,1500.0,2.9e+23,2022-02-17,"Google,Google Brain,Google Research",Unreleased,"United States of America,United States of America,United States of America",ST-MoE,269.0,1500.0,1.9024,1.0,0.1197852127220157,5.5762081784386615,False,True,269000000000.0,1500000000000.0,2.421e+24,1.9028908561355107,1.9028908561355107,1.8877416534082996,1.890823770486717,61.59037212720434,0.05242290652101974,2.2413669955844426,1.9953811585865544,2.6522439052801747,-0.0004908561355105867
Gopher (280B),280.0,300.0,6.31e+23,2021-12-08,DeepMind,Unreleased,United Kingdom of Great Britain and Northern Ireland,Gopher (280B),280.0,300.0,1.9926,1.0,1.251984126984127,1.0714285714285714,False,True,280000000000.0,300000000000.0,5.04e+23,1.9932740342495279,1.9932740342495279,1.972457273484029,1.9780314585674428,30.316181149794403,0.011722842340652415,3.309308401749045,2.660439469076415,4.395084804268621,-0.0006740342495279439
"Ling-Plus (""Bailing"")",290.0,9000.0,1.555e+24,2025-03-10,Ant Group,Open weights (unrestricted),China,"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1.0,0.0992975734355044,31.03448275862069,True,True,290000000000.0,9000000000000.0,1.566e+25,1.8384405043994159,1.8384405043994159,1.8273937751096851,1.8289301469485941,143.1268075132091,0.2435824379182307,1.789549237937568,1.6730328709271431,1.9477282744278974,-0.00034050439941579747
ERNIE-4.5-300B-A47B,300.0,1566.7,2.82e+24,2025-06-29,Baidu,Open weights (unrestricted),China,ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1.0,0.9999787238569392,5.222333333333333,True,True,300000000000.0,1566700000000.0,2.82006e+24,1.8990305527497333,1.8990305527497333,1.8841881427473073,1.887108381975983,65.98446825183605,0.048377222783084,2.2766294512186454,2.0047646743643757,2.7444979989855294,-0.0004305527497332484
EXAONE 1.0,300.0,942.0,1.696e+24,2021-12-14,LG,Unreleased,Korea (Republic of),EXAONE 1.0,300.0,942.0,1.9227,1.0,1.0002359046945035,3.14,False,True,300000000000.0,942000000000.0,1.6956e+24,1.92322863571003,1.92322863571003,1.9068625213411237,1.9104123106791504,52.438862884727804,0.030553714896036487,2.5138090391712526,2.2181699849958703,3.024535110998016,-0.0005286357100300343
SB-LM,300.0,1800.0,1.449e+18,2007-06-22,Google,,United States of America,SB-LM,300.0,1800.0,1.8926,1.0,4.472222222222222e-07,6.0,False,True,300000000000.0,1800000000000.0,3.24e+24,1.893004703560642,1.893004703560642,1.878541729100124,1.8813105762436428,70.2540009585991,0.0548402738965649,2.222267183195405,2.0046247678038234,2.6320595187076727,-0.00040470356064203905
MiMo-V2-Flash,309.0,1310.7,2.43e+24,2025-12-16,Xiaomi Corp,Open weights (unrestricted),China,MiMo-V2-Flash,309.0,1310.7,1.9062,1.0,0.999984444686416,4.241747572815534,True,True,309000000000.0,1310700000000.0,2.4300378e+24,1.9066183235651226,1.9066183235651226,1.8913149915635,1.8944121557765907,61.69411369154705,0.03986304777060915,2.3686671705159186,2.099203380852925,2.8562061267892505,-0.0004183235651227246
