experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type
N0.07_D0300_Q0.5,0.07,300,0.5,1.7667,calibrated
N0.07_D0300_Q0.7,0.07,300,0.7,2.1821,calibrated
N0.07_D0300_Q0.95,0.07,300,0.95,2.6843,calibrated
N0.07_D0500_Q0.05,0.07,500,0.05,0.8610,calibrated
N0.07_D0500_Q0.1,0.07,500,0.1,0.9621,calibrated
N0.07_D0500_Q0.2,0.07,500,0.2,1.1948,calibrated
N0.07_D0500_Q0.3,0.07,500,0.3,1.3491,calibrated
N0.07_D0500_Q0.4,0.07,500,0.4,1.5406,calibrated
N0.07_D0500_Q0.5,0.07,500,0.5,1.7858,calibrated
N0.07_D0500_Q0.6,0.07,500,0.6,1.9945,calibrated
N0.07_D0500_Q0.7,0.07,500,0.7,2.1765,calibrated
N0.07_D0500_Q0.8,0.07,500,0.8,2.4124,calibrated
N0.07_D0500_Q0.9,0.07,500,0.9,2.6083,calibrated
N0.07_D0500_Q0.95,0.07,500,0.95,2.7105,calibrated
N0.07_D0500_Q1.0,0.07,500,1.0,2.8055,calibrated
N0.07_D1000_Q0.05,0.07,1000,0.05,0.8471,calibrated
N0.07_D1000_Q0.1,0.07,1000,0.1,0.9414,calibrated
N0.07_D1000_Q0.2,0.07,1000,0.2,1.1388,calibrated
N0.07_D1000_Q0.3,0.07,1000,0.3,1.3853,calibrated
N0.07_D1000_Q0.4,0.07,1000,0.4,1.5663,calibrated
N0.07_D1000_Q0.5,0.07,1000,0.5,1.7504,calibrated
N0.07_D1000_Q0.6,0.07,1000,0.6,1.9928,calibrated
N0.07_D1000_Q0.7,0.07,1000,0.7,2.1482,calibrated
N0.07_D1000_Q0.8,0.07,1000,0.8,2.3195,calibrated
N0.07_D1000_Q0.9,0.07,1000,0.9,2.5230,calibrated
N0.07_D1000_Q0.95,0.07,1000,0.95,2.6048,calibrated
N0.07_D1000_Q1.0,0.07,1000,1.0,2.7431,calibrated
N0.07_D2000_Q0.05,0.07,2000,0.05,0.8539,calibrated
N0.07_D2000_Q0.1,0.07,2000,0.1,0.9243,calibrated
N0.07_D2000_Q0.2,0.07,2000,0.2,1.1409,calibrated
N0.07_D2000_Q0.3,0.07,2000,0.3,1.3364,calibrated
N0.07_D2000_Q0.4,0.07,2000,0.4,1.5027,calibrated
N0.07_D2000_Q0.5,0.07,2000,0.5,1.7429,calibrated
N0.07_D2000_Q0.6,0.07,2000,0.6,1.9258,calibrated
N0.07_D2000_Q0.7,0.07,2000,0.7,2.1457,calibrated
N0.07_D2000_Q0.8,0.07,2000,0.8,2.3261,calibrated
N0.07_D2000_Q0.9,0.07,2000,0.9,2.5085,calibrated
N0.07_D2000_Q0.95,0.07,2000,0.95,2.5794,calibrated
N0.07_D2000_Q1.0,0.07,2000,1.0,2.7374,calibrated
N0.16_D0005_Q0.05,0.16,5,0.05,0.8104,calibrated
N0.16_D0005_Q0.1,0.16,5,0.1,0.9548,calibrated
N0.16_D0005_Q0.2,0.16,5,0.2,1.1752,calibrated
N0.16_D0005_Q0.3,0.16,5,0.3,1.4476,calibrated
N0.16_D0005_Q0.4,0.16,5,0.4,1.6751,calibrated
N0.16_D0005_Q0.5,0.16,5,0.5,1.9108,calibrated
N0.16_D0005_Q0.6,0.16,5,0.6,2.1591,calibrated
N0.16_D0005_Q0.7,0.16,5,0.7,2.4836,calibrated
N0.16_D0005_Q0.8,0.16,5,0.8,2.5952,calibrated
N0.16_D0005_Q0.9,0.16,5,0.9,2.8737,calibrated
N0.16_D0005_Q0.95,0.16,5,0.95,2.9535,calibrated
N0.16_D0005_Q1.0,0.16,5,1.0,3.1013,calibrated
N0.16_D0010_Q0.05,0.16,10,0.05,0.7726,calibrated
N0.16_D0010_Q0.5,0.16,10,0.5,1.8298,calibrated
N0.16_D0010_Q0.7,0.16,10,0.7,2.3364,calibrated
N0.16_D0010_Q0.95,0.16,10,0.95,2.9363,calibrated
N0.16_D0020_Q0.05,0.16,20,0.05,0.7755,calibrated
N0.16_D0020_Q0.1,0.16,20,0.1,0.8548,calibrated
N0.16_D0020_Q0.2,0.16,20,0.2,1.0782,calibrated
N0.16_D0020_Q0.3,0.16,20,0.3,1.3357,calibrated
N0.16_D0020_Q0.4,0.16,20,0.4,1.5464,calibrated
N0.16_D0020_Q0.5,0.16,20,0.5,1.7183,calibrated
N0.16_D0020_Q0.6,0.16,20,0.6,1.9486,calibrated
N0.16_D0020_Q0.7,0.16,20,0.7,2.2366,calibrated
N0.16_D0020_Q0.8,0.16,20,0.8,2.4177,calibrated
N0.16_D0020_Q0.9,0.16,20,0.9,2.6607,calibrated
N0.16_D0020_Q0.95,0.16,20,0.95,2.8283,calibrated
N0.16_D0020_Q1.0,0.16,20,1.0,2.8913,calibrated
N0.16_D0050_Q0.05,0.16,50,0.05,0.7379,calibrated
N0.16_D0050_Q0.5,0.16,50,0.5,1.7045,calibrated
N0.16_D0050_Q0.7,0.16,50,0.7,2.1043,calibrated
N0.16_D0050_Q0.95,0.16,50,0.95,2.6024,calibrated
N0.16_D0100_Q0.05,0.16,100,0.05,0.7109,calibrated
N0.16_D0100_Q0.1,0.16,100,0.1,0.8001,calibrated
N0.16_D0100_Q0.2,0.16,100,0.2,1.0158,calibrated
N0.16_D0100_Q0.3,0.16,100,0.3,1.2359,calibrated
N0.16_D0100_Q0.4,0.16,100,0.4,1.4134,calibrated
N0.16_D0100_Q0.5,0.16,100,0.5,1.6514,calibrated
N0.16_D0100_Q0.6,0.16,100,0.6,1.8608,calibrated
N0.16_D0100_Q0.7,0.16,100,0.7,2.0787,calibrated
N0.16_D0100_Q0.8,0.16,100,0.8,2.2318,calibrated
N0.16_D0100_Q0.9,0.16,100,0.9,2.4932,calibrated
N0.16_D0100_Q0.95,0.16,100,0.95,2.6163,calibrated
N0.16_D0100_Q1.0,0.16,100,1.0,2.6780,calibrated
N0.16_D0150_Q0.05,0.16,150,0.05,0.6932,calibrated
N0.16_D0150_Q0.5,0.16,150,0.5,1.6202,calibrated
N0.16_D0150_Q0.7,0.16,150,0.7,2.0328,calibrated
N0.16_D0150_Q0.95,0.16,150,0.95,2.5091,calibrated
N0.16_D0300_Q0.05,0.16,300,0.05,0.6809,calibrated
N0.16_D0300_Q0.5,0.16,300,0.5,1.5753,calibrated
N0.16_D0300_Q0.7,0.16,300,0.7,1.9919,calibrated
N0.16_D0300_Q0.95,0.16,300,0.95,2.4941,calibrated
N0.16_D0500_Q0.05,0.16,500,0.05,0.6974,calibrated
N0.16_D0500_Q0.1,0.16,500,0.1,0.7769,calibrated
N0.16_D0500_Q0.2,0.16,500,0.2,0.9664,calibrated
N0.16_D0500_Q0.3,0.16,500,0.3,1.1736,calibrated
N0.16_D0500_Q0.4,0.16,500,0.4,1.3510,calibrated
N0.16_D0500_Q0.5,0.16,500,0.5,1.5896,calibrated
N0.16_D0500_Q0.6,0.16,500,0.6,1.7639,calibrated
N0.16_D0500_Q0.7,0.16,500,0.7,1.9757,calibrated
N0.16_D0500_Q0.8,0.16,500,0.8,2.1303,calibrated
N0.16_D0500_Q0.9,0.16,500,0.9,2.3645,calibrated
N0.16_D0500_Q0.95,0.16,500,0.95,2.4958,calibrated
N0.16_D0500_Q1.0,0.16,500,1.0,2.5293,calibrated
N0.16_D1000_Q0.05,0.16,1000,0.05,0.6787,calibrated
N0.16_D1000_Q0.1,0.16,1000,0.1,0.7577,calibrated
N0.16_D1000_Q0.2,0.16,1000,0.2,0.9466,calibrated
N0.16_D1000_Q0.3,0.16,1000,0.3,1.1493,calibrated
N0.16_D1000_Q0.4,0.16,1000,0.4,1.3709,calibrated
N0.16_D1000_Q0.5,0.16,1000,0.5,1.5609,calibrated
N0.16_D1000_Q0.6,0.16,1000,0.6,1.7116,calibrated
N0.16_D1000_Q0.7,0.16,1000,0.7,2.0044,calibrated
N0.16_D1000_Q0.8,0.16,1000,0.8,2.0871,calibrated
N0.16_D1000_Q0.9,0.16,1000,0.9,2.3054,calibrated
N0.16_D1000_Q0.95,0.16,1000,0.95,2.4884,calibrated
N0.16_D1000_Q1.0,0.16,1000,1.0,2.5056,calibrated
N0.16_D2000_Q0.05,0.16,2000,0.05,0.6532,calibrated
N0.16_D2000_Q0.1,0.16,2000,0.1,0.7317,calibrated
N0.16_D2000_Q0.2,0.16,2000,0.2,0.9418,calibrated
N0.16_D2000_Q0.3,0.16,2000,0.3,1.1205,calibrated
N0.16_D2000_Q0.4,0.16,2000,0.4,1.3350,calibrated
N0.16_D2000_Q0.5,0.16,2000,0.5,1.5166,calibrated
N0.16_D2000_Q0.6,0.16,2000,0.6,1.6953,calibrated
N0.16_D2000_Q0.7,0.16,2000,0.7,1.9296,calibrated
N0.16_D2000_Q0.8,0.16,2000,0.8,2.0992,calibrated
N0.16_D2000_Q0.9,0.16,2000,0.9,2.2460,calibrated
N0.16_D2000_Q0.95,0.16,2000,0.95,2.3649,calibrated
N0.16_D2000_Q1.0,0.16,2000,1.0,2.4771,calibrated
N0.41_D0005_Q0.05,0.41,5,0.05,0.6220,calibrated
N0.41_D0005_Q0.1,0.41,5,0.1,0.7497,calibrated
N0.41_D0005_Q0.2,0.41,5,0.2,1.0023,calibrated
N0.41_D0005_Q0.3,0.41,5,0.3,1.2344,calibrated
N0.41_D0005_Q0.4,0.41,5,0.4,1.4755,calibrated
N0.41_D0005_Q0.5,0.41,5,0.5,1.6916,calibrated
N0.41_D0005_Q0.6,0.41,5,0.6,1.9800,calibrated
N0.41_D0005_Q0.7,0.41,5,0.7,2.2447,calibrated
N0.41_D0005_Q0.8,0.41,5,0.8,2.4492,calibrated
N0.41_D0005_Q0.9,0.41,5,0.9,2.6707,calibrated
N0.41_D0005_Q0.95,0.41,5,0.95,2.8610,calibrated
N0.41_D0005_Q1.0,0.41,5,1.0,3.0229,calibrated
N0.41_D0010_Q0.05,0.41,10,0.05,0.6007,calibrated
N0.41_D0010_Q0.5,0.41,10,0.5,1.6443,calibrated
N0.41_D0010_Q0.7,0.41,10,0.7,2.1497,calibrated
N0.41_D0010_Q0.95,0.41,10,0.95,2.7299,calibrated
N0.41_D0020_Q0.05,0.41,20,0.05,0.5810,calibrated
N0.41_D0020_Q0.1,0.41,20,0.1,0.6950,calibrated
N0.41_D0020_Q0.2,0.41,20,0.2,0.9131,calibrated
N0.41_D0020_Q0.3,0.41,20,0.3,1.1552,calibrated
N0.41_D0020_Q0.4,0.41,20,0.4,1.3143,calibrated
N0.41_D0020_Q0.5,0.41,20,0.5,1.5963,calibrated
N0.41_D0020_Q0.6,0.41,20,0.6,1.7915,calibrated
N0.41_D0020_Q0.7,0.41,20,0.7,2.0338,calibrated
N0.41_D0020_Q0.8,0.41,20,0.8,2.2460,calibrated
N0.41_D0020_Q0.9,0.41,20,0.9,2.4740,calibrated
N0.41_D0020_Q0.95,0.41,20,0.95,2.5494,calibrated
N0.41_D0020_Q1.0,0.41,20,1.0,2.7188,calibrated
N0.41_D0050_Q0.05,0.41,50,0.05,0.5360,calibrated
N0.41_D0050_Q0.5,0.41,50,0.5,1.5186,calibrated
N0.41_D0050_Q0.7,0.41,50,0.7,1.9086,calibrated
N0.41_D0050_Q0.95,0.41,50,0.95,2.4497,calibrated
N0.41_D0100_Q0.05,0.41,100,0.05,0.5350,calibrated
N0.41_D0100_Q0.1,0.41,100,0.1,0.6432,calibrated
N0.41_D0100_Q0.2,0.41,100,0.2,0.8168,calibrated
N0.41_D0100_Q0.3,0.41,100,0.3,1.0559,calibrated
N0.41_D0100_Q0.4,0.41,100,0.4,1.2365,calibrated
N0.41_D0100_Q0.5,0.41,100,0.5,1.4770,calibrated
N0.41_D0100_Q0.6,0.41,100,0.6,1.6841,calibrated
N0.41_D0100_Q0.7,0.41,100,0.7,1.8979,calibrated
N0.41_D0100_Q0.8,0.41,100,0.8,2.0213,calibrated
N0.41_D0100_Q0.9,0.41,100,0.9,2.2729,calibrated
N0.41_D0100_Q0.95,0.41,100,0.95,2.4488,calibrated
N0.41_D0100_Q1.0,0.41,100,1.0,2.4880,calibrated
N0.41_D0150_Q0.05,0.41,150,0.05,0.5231,calibrated
N0.41_D0150_Q0.5,0.41,150,0.5,1.4581,calibrated
N0.41_D0150_Q0.7,0.41,150,0.7,1.8433,calibrated
N0.41_D0150_Q0.95,0.41,150,0.95,2.3801,calibrated
N0.41_D0300_Q0.05,0.41,300,0.05,0.5209,calibrated
N0.41_D0300_Q0.5,0.41,300,0.5,1.4318,calibrated
N0.41_D0300_Q0.7,0.41,300,0.7,1.8217,calibrated
N0.41_D0300_Q0.95,0.41,300,0.95,2.3692,calibrated
N0.41_D0500_Q0.05,0.41,500,0.05,0.5057,calibrated
N0.41_D0500_Q0.1,0.41,500,0.1,0.6047,calibrated
N0.41_D0500_Q0.2,0.41,500,0.2,0.8045,calibrated
N0.41_D0500_Q0.3,0.41,500,0.3,1.0122,calibrated
N0.41_D0500_Q0.4,0.41,500,0.4,1.2031,calibrated
N0.41_D0500_Q0.5,0.41,500,0.5,1.4270,calibrated
N0.41_D0500_Q0.6,0.41,500,0.6,1.5817,calibrated
N0.41_D0500_Q0.7,0.41,500,0.7,1.7811,calibrated
N0.41_D0500_Q0.8,0.41,500,0.8,1.9863,calibrated
N0.41_D0500_Q0.9,0.41,500,0.9,2.1829,calibrated
N0.41_D0500_Q0.95,0.41,500,0.95,2.3182,calibrated
N0.41_D0500_Q1.0,0.41,500,1.0,2.3631,calibrated
N0.41_D1000_Q0.05,0.41,1000,0.05,0.5000,calibrated
N0.41_D1000_Q0.1,0.41,1000,0.1,0.5885,calibrated
N0.41_D1000_Q0.2,0.41,1000,0.2,0.7592,calibrated
N0.41_D1000_Q0.3,0.41,1000,0.3,0.9951,calibrated
N0.41_D1000_Q0.4,0.41,1000,0.4,1.2144,calibrated
N0.41_D1000_Q0.5,0.41,1000,0.5,1.3941,calibrated
N0.41_D1000_Q0.6,0.41,1000,0.6,1.5743,calibrated
N0.41_D1000_Q0.7,0.41,1000,0.7,1.7590,calibrated
N0.41_D1000_Q0.8,0.41,1000,0.8,1.9279,calibrated
N0.41_D1000_Q0.9,0.41,1000,0.9,2.1495,calibrated
N0.41_D1000_Q0.95,0.41,1000,0.95,2.2212,calibrated
N0.41_D1000_Q1.0,0.41,1000,1.0,2.4128,calibrated
N0.41_D2000_Q0.05,0.41,2000,0.05,0.5000,calibrated
N0.41_D2000_Q0.1,0.41,2000,0.1,0.5802,calibrated
N0.41_D2000_Q0.2,0.41,2000,0.2,0.7774,calibrated
N0.41_D2000_Q0.3,0.41,2000,0.3,0.9982,calibrated
N0.41_D2000_Q0.4,0.41,2000,0.4,1.2122,calibrated
N0.41_D2000_Q0.5,0.41,2000,0.5,1.3202,calibrated
N0.41_D2000_Q0.6,0.41,2000,0.6,1.5758,calibrated
N0.41_D2000_Q0.7,0.41,2000,0.7,1.7331,calibrated
N0.41_D2000_Q0.8,0.41,2000,0.8,1.9375,calibrated
N0.41_D2000_Q0.9,0.41,2000,0.9,2.0973,calibrated
N0.41_D2000_Q0.95,0.41,2000,0.95,2.2225,calibrated
N0.41_D2000_Q1.0,0.41,2000,1.0,2.3248,calibrated
N0.7_D0005_Q0.05,0.7,5,0.05,0.5148,calibrated
N0.7_D0005_Q0.1,0.7,5,0.1,0.6510,calibrated
N0.7_D0005_Q0.2,0.7,5,0.2,0.8807,calibrated
N0.7_D0005_Q0.3,0.7,5,0.3,1.1486,calibrated
N0.7_D0005_Q0.4,0.7,5,0.4,1.3678,calibrated
N0.7_D0005_Q0.5,0.7,5,0.5,1.6627,calibrated
N0.7_D0005_Q0.6,0.7,5,0.6,1.8832,calibrated
N0.7_D0005_Q0.7,0.7,5,0.7,2.1501,calibrated
N0.7_D0005_Q0.8,0.7,5,0.8,2.3581,calibrated
N0.7_D0005_Q0.9,0.7,5,0.9,2.6571,calibrated
N0.7_D0005_Q0.95,0.7,5,0.95,2.7097,calibrated
N0.7_D0005_Q1.0,0.7,5,1.0,2.8620,calibrated
N0.7_D0010_Q0.05,0.7,10,0.05,0.5000,calibrated
N0.7_D0010_Q0.1,0.7,10,0.1,0.6150,calibrated
N0.7_D0010_Q0.2,0.7,10,0.2,0.8685,calibrated
N0.7_D0010_Q0.3,0.7,10,0.3,1.0810,calibrated
N0.7_D0010_Q0.4,0.7,10,0.4,1.3192,calibrated
N0.7_D0010_Q0.5,0.7,10,0.5,1.5184,calibrated
N0.7_D0010_Q0.6,0.7,10,0.6,1.7963,calibrated
N0.7_D0010_Q0.7,0.7,10,0.7,2.0639,calibrated
N0.7_D0010_Q0.8,0.7,10,0.8,2.2220,calibrated
N0.7_D0010_Q0.9,0.7,10,0.9,2.5041,calibrated
N0.7_D0010_Q0.95,0.7,10,0.95,2.6570,calibrated
N0.7_D0010_Q1.0,0.7,10,1.0,2.6504,calibrated
N0.7_D0020_Q0.05,0.7,20,0.05,0.5000,calibrated
N0.7_D0020_Q0.1,0.7,20,0.1,0.5886,calibrated
N0.7_D0020_Q0.2,0.7,20,0.2,0.8200,calibrated
N0.7_D0020_Q0.3,0.7,20,0.3,1.0213,calibrated
N0.7_D0020_Q0.4,0.7,20,0.4,1.2544,calibrated
N0.7_D0020_Q0.5,0.7,20,0.5,1.5102,calibrated
N0.7_D0020_Q0.6,0.7,20,0.6,1.7330,calibrated
N0.7_D0020_Q0.7,0.7,20,0.7,1.9575,calibrated
N0.7_D0020_Q0.8,0.7,20,0.8,2.1359,calibrated
N0.7_D0020_Q0.9,0.7,20,0.9,2.4142,calibrated
N0.7_D0020_Q0.95,0.7,20,0.95,2.5456,calibrated
N0.7_D0020_Q1.0,0.7,20,1.0,2.5856,calibrated
N0.7_D0050_Q0.05,0.7,50,0.05,0.5000,calibrated
N0.7_D0050_Q0.1,0.7,50,0.1,0.5587,calibrated
N0.7_D0050_Q0.2,0.7,50,0.2,0.7563,calibrated
N0.7_D0050_Q0.3,0.7,50,0.3,1.0221,calibrated
N0.7_D0050_Q0.4,0.7,50,0.4,1.1864,calibrated
N0.7_D0050_Q0.5,0.7,50,0.5,1.4294,calibrated
N0.7_D0050_Q0.6,0.7,50,0.6,1.6494,calibrated
N0.7_D0050_Q0.7,0.7,50,0.7,1.8129,calibrated
N0.7_D0050_Q0.8,0.7,50,0.8,2.0562,calibrated
N0.7_D0050_Q0.9,0.7,50,0.9,2.2940,calibrated
N0.7_D0050_Q0.95,0.7,50,0.95,2.3802,calibrated
N0.7_D0050_Q1.0,0.7,50,1.0,2.4920,calibrated
N0.7_D0100_Q0.05,0.7,100,0.05,0.5000,calibrated
N0.7_D0100_Q0.1,0.7,100,0.1,0.5313,calibrated
N0.7_D0100_Q0.2,0.7,100,0.2,0.7638,calibrated
N0.7_D0100_Q0.3,0.7,100,0.3,0.9699,calibrated
N0.7_D0100_Q0.4,0.7,100,0.4,1.1979,calibrated
N0.7_D0100_Q0.5,0.7,100,0.5,1.3973,calibrated
N0.7_D0100_Q0.6,0.7,100,0.6,1.5891,calibrated
N0.7_D0100_Q0.7,0.7,100,0.7,1.8109,calibrated
N0.7_D0100_Q0.8,0.7,100,0.8,2.0170,calibrated
N0.7_D0100_Q0.9,0.7,100,0.9,2.1928,calibrated
N0.7_D0100_Q0.95,0.7,100,0.95,2.3158,calibrated
N0.7_D0100_Q1.0,0.7,100,1.0,2.4334,calibrated
N0.7_D0150_Q0.05,0.7,150,0.05,0.5000,calibrated
N0.7_D0150_Q0.1,0.7,150,0.1,0.5295,calibrated
N0.7_D0150_Q0.2,0.7,150,0.2,0.7452,calibrated
N0.7_D0150_Q0.3,0.7,150,0.3,0.9382,calibrated
N0.7_D0150_Q0.4,0.7,150,0.4,1.1468,calibrated
N0.7_D0150_Q0.5,0.7,150,0.5,1.3466,calibrated
N0.7_D0150_Q0.6,0.7,150,0.6,1.5755,calibrated
N0.7_D0150_Q0.7,0.7,150,0.7,1.7355,calibrated
N0.7_D0150_Q0.8,0.7,150,0.8,2.0079,calibrated
N0.7_D0150_Q0.9,0.7,150,0.9,2.2463,calibrated
N0.7_D0150_Q0.95,0.7,150,0.95,2.3482,calibrated
N0.7_D0150_Q1.0,0.7,150,1.0,2.3563,calibrated
N0.7_D0300_Q0.05,0.7,300,0.05,0.5000,calibrated
N0.7_D0300_Q0.1,0.7,300,0.1,0.5247,calibrated
N0.7_D0300_Q0.2,0.7,300,0.2,0.7291,calibrated
N0.7_D0300_Q0.3,0.7,300,0.3,0.9233,calibrated
N0.7_D0300_Q0.4,0.7,300,0.4,1.1189,calibrated
N0.7_D0300_Q0.5,0.7,300,0.5,1.3291,calibrated
N0.7_D0300_Q0.6,0.7,300,0.6,1.5399,calibrated
N0.7_D0300_Q0.7,0.7,300,0.7,1.7166,calibrated
N0.7_D0300_Q0.8,0.7,300,0.8,1.9103,calibrated
N0.7_D0300_Q0.9,0.7,300,0.9,2.1926,calibrated
N0.7_D0300_Q0.95,0.7,300,0.95,2.2639,calibrated
N0.7_D0300_Q1.0,0.7,300,1.0,2.3162,calibrated
N0.7_D0500_Q0.05,0.7,500,0.05,0.5000,calibrated
N0.7_D0500_Q0.1,0.7,500,0.1,0.5138,calibrated
N0.7_D0500_Q0.2,0.7,500,0.2,0.7010,calibrated
N0.7_D0500_Q0.3,0.7,500,0.3,0.9241,calibrated
N0.7_D0500_Q0.4,0.7,500,0.4,1.1327,calibrated
N0.7_D0500_Q0.5,0.7,500,0.5,1.3085,calibrated
N0.7_D0500_Q0.6,0.7,500,0.6,1.5486,calibrated
N0.7_D0500_Q0.7,0.7,500,0.7,1.7063,calibrated
N0.7_D0500_Q0.8,0.7,500,0.8,1.8982,calibrated
N0.7_D0500_Q0.9,0.7,500,0.9,2.0978,calibrated
N0.7_D0500_Q0.95,0.7,500,0.95,2.1997,calibrated
N0.7_D0500_Q1.0,0.7,500,1.0,2.2912,calibrated
N0.7_D1000_Q0.05,0.7,1000,0.05,0.5000,calibrated
N0.7_D1000_Q0.1,0.7,1000,0.1,0.5071,calibrated
N0.7_D1000_Q0.2,0.7,1000,0.2,0.7115,calibrated
N0.7_D1000_Q0.3,0.7,1000,0.3,0.9132,calibrated
N0.7_D1000_Q0.4,0.7,1000,0.4,1.1056,calibrated
N0.7_D1000_Q0.5,0.7,1000,0.5,1.3220,calibrated
N0.7_D1000_Q0.6,0.7,1000,0.6,1.4614,calibrated
N0.7_D1000_Q0.7,0.7,1000,0.7,1.7068,calibrated
N0.7_D1000_Q0.8,0.7,1000,0.8,1.8896,calibrated
N0.7_D1000_Q0.9,0.7,1000,0.9,2.0683,calibrated
N0.7_D1000_Q0.95,0.7,1000,0.95,2.1816,calibrated
N0.7_D1000_Q1.0,0.7,1000,1.0,2.2970,calibrated
N0.7_D2000_Q0.05,0.7,2000,0.05,0.5000,calibrated
N0.7_D2000_Q0.1,0.7,2000,0.1,0.5001,calibrated
N0.7_D2000_Q0.2,0.7,2000,0.2,0.6784,calibrated
N0.7_D2000_Q0.3,0.7,2000,0.3,0.8706,calibrated
N0.7_D2000_Q0.4,0.7,2000,0.4,1.0904,calibrated
N0.7_D2000_Q0.5,0.7,2000,0.5,1.2499,calibrated
N0.7_D2000_Q0.6,0.7,2000,0.6,1.4277,calibrated
N0.7_D2000_Q0.7,0.7,2000,0.7,1.6336,calibrated
N0.7_D2000_Q0.8,0.7,2000,0.8,1.8579,calibrated
N0.7_D2000_Q0.9,0.7,2000,0.9,2.0246,calibrated
N0.7_D2000_Q0.95,0.7,2000,0.95,2.1556,calibrated
N0.7_D2000_Q1.0,0.7,2000,1.0,2.2183,calibrated
N1.0_D0005_Q0.05,1.0,5,0.05,0.5000,calibrated
N1.0_D0005_Q0.1,1.0,5,0.1,0.5747,calibrated
N1.0_D0005_Q0.2,1.0,5,0.2,0.8142,calibrated
N1.0_D0005_Q0.3,1.0,5,0.3,1.0733,calibrated
N1.0_D0005_Q0.4,1.0,5,0.4,1.3204,calibrated
N1.0_D0005_Q0.5,1.0,5,0.5,1.5528,calibrated
N1.0_D0005_Q0.6,1.0,5,0.6,1.8086,calibrated
N1.0_D0005_Q0.7,1.0,5,0.7,2.0374,calibrated
N1.0_D0005_Q0.8,1.0,5,0.8,2.3623,calibrated
N1.0_D0005_Q0.9,1.0,5,0.9,2.5719,calibrated
N1.0_D0005_Q0.95,1.0,5,0.95,2.7672,calibrated
