experiment_id,N_params_B,D_tokens_B,Q_score,val_loss
N0.41_D0050_Q0.6,0.41,50,0.6,2.6958
N0.41_D0050_Q0.8,0.41,50,0.8,2.6518
N0.41_D0050_Q0.9,0.41,50,0.9,2.6355
N0.41_D0050_Q1.0,0.41,50,1.0,2.6047
N0.41_D0150_Q0.1,0.41,150,0.1,2.8727
N0.41_D0150_Q0.2,0.41,150,0.2,2.8815
N0.41_D0150_Q0.3,0.41,150,0.3,2.7186
N0.41_D0150_Q0.4,0.41,150,0.4,2.6566
N0.41_D0150_Q0.6,0.41,150,0.6,2.6516
N0.41_D0150_Q0.8,0.41,150,0.8,2.5539
N0.41_D0150_Q0.9,0.41,150,0.9,2.5112
N0.41_D0150_Q1.0,0.41,150,1.0,2.4068
N0.41_D0300_Q0.1,0.41,300,0.1,2.8085
N0.41_D0300_Q0.2,0.41,300,0.2,2.7682
N0.41_D0300_Q0.3,0.41,300,0.3,2.6832
N0.41_D0300_Q0.4,0.41,300,0.4,2.7891
N0.41_D0300_Q0.6,0.41,300,0.6,2.5211
N0.41_D0300_Q0.8,0.41,300,0.8,2.5490
N0.41_D0300_Q0.9,0.41,300,0.9,2.4320
N0.41_D0300_Q1.0,0.41,300,1.0,2.3791
N0.41_D0600_Q0.1,0.41,600,0.1,2.6695
N0.41_D0600_Q0.2,0.41,600,0.2,2.7354
N0.41_D0600_Q0.3,0.41,600,0.3,2.6187
N0.41_D0600_Q0.4,0.41,600,0.4,2.5858
N0.41_D0600_Q0.6,0.41,600,0.6,2.5121
N0.41_D0600_Q0.8,0.41,600,0.8,2.4741
N0.41_D0600_Q0.9,0.41,600,0.9,2.4710
N0.41_D0600_Q1.0,0.41,600,1.0,2.3932
N0.70_D0010_Q0.1,0.70,10,0.1,3.1919
N0.70_D0010_Q0.2,0.70,10,0.2,3.1552
N0.70_D0010_Q0.3,0.70,10,0.3,3.0155
N0.70_D0010_Q0.4,0.70,10,0.4,3.0148
N0.70_D0010_Q0.6,0.70,10,0.6,2.9615
N0.70_D0010_Q0.8,0.70,10,0.8,2.8692
N0.70_D0010_Q0.9,0.70,10,0.9,2.7928
N0.70_D0010_Q1.0,0.70,10,1.0,2.8304
N0.70_D0050_Q0.1,0.70,50,0.1,2.8444
N0.70_D0050_Q0.2,0.70,50,0.2,2.8069
N0.70_D0050_Q0.3,0.70,50,0.3,2.7973
N0.70_D0050_Q0.4,0.70,50,0.4,2.7324
N0.70_D0050_Q0.6,0.70,50,0.6,2.6134
N0.70_D0050_Q0.8,0.70,50,0.8,2.6409
N0.70_D0050_Q0.9,0.70,50,0.9,2.5496
N0.70_D0050_Q1.0,0.70,50,1.0,2.5581
N0.70_D0150_Q0.1,0.70,150,0.1,2.7893
N0.70_D0150_Q0.2,0.70,150,0.2,2.6375
N0.70_D0150_Q0.3,0.70,150,0.3,2.6856
N0.70_D0150_Q0.4,0.70,150,0.4,2.5991
N0.70_D0150_Q0.6,0.70,150,0.6,2.5608
N0.70_D0150_Q0.8,0.70,150,0.8,2.5043
N0.70_D0150_Q0.9,0.70,150,0.9,2.4035
N0.70_D0150_Q1.0,0.70,150,1.0,2.3542
N0.70_D0300_Q0.1,0.70,300,0.1,2.6722
N0.70_D0300_Q0.2,0.70,300,0.2,2.6214
N0.70_D0300_Q0.3,0.70,300,0.3,2.5759
N0.70_D0300_Q0.4,0.70,300,0.4,2.5792
N0.70_D0300_Q0.6,0.70,300,0.6,2.4842
N0.70_D0300_Q0.8,0.70,300,0.8,2.4416
N0.70_D0300_Q0.9,0.70,300,0.9,2.4128
N0.70_D0300_Q1.0,0.70,300,1.0,2.3149
N0.70_D0600_Q0.1,0.70,600,0.1,2.5974
N0.70_D0600_Q0.2,0.70,600,0.2,2.5998
N0.70_D0600_Q0.3,0.70,600,0.3,2.5611
N0.70_D0600_Q0.4,0.70,600,0.4,2.5225
N0.70_D0600_Q0.6,0.70,600,0.6,2.5100
N0.70_D0600_Q0.8,0.70,600,0.8,2.4421
N0.70_D0600_Q0.9,0.70,600,0.9,2.2624
N0.70_D0600_Q1.0,0.70,600,1.0,2.3039
N1.00_D0010_Q0.1,1.00,10,0.1,3.0483
N1.00_D0010_Q0.2,1.00,10,0.2,2.9680
N1.00_D0010_Q0.3,1.00,10,0.3,2.8948
N1.00_D0010_Q0.4,1.00,10,0.4,2.8223
N1.00_D0010_Q0.6,1.00,10,0.6,2.8442
N1.00_D0010_Q0.8,1.00,10,0.8,2.7546
N1.00_D0010_Q0.9,1.00,10,0.9,2.7505
N1.00_D0010_Q1.0,1.00,10,1.0,2.6827
N1.00_D0050_Q0.1,1.00,50,0.1,2.8264
N1.00_D0050_Q0.2,1.00,50,0.2,2.8076
N1.00_D0050_Q0.3,1.00,50,0.3,2.6823
N1.00_D0050_Q0.4,1.00,50,0.4,2.6528
N1.00_D0050_Q0.6,1.00,50,0.6,2.6707
N1.00_D0050_Q0.8,1.00,50,0.8,2.4922
N1.00_D0050_Q0.9,1.00,50,0.9,2.5805
N1.00_D0050_Q1.0,1.00,50,1.0,2.5615
N1.00_D0150_Q0.1,1.00,150,0.1,2.6482
N1.00_D0150_Q0.2,1.00,150,0.2,2.6343
N1.00_D0150_Q0.3,1.00,150,0.3,2.6133
N1.00_D0150_Q0.4,1.00,150,0.4,2.5016
N1.00_D0150_Q0.6,1.00,150,0.6,2.5859
N1.00_D0150_Q0.8,1.00,150,0.8,2.3211
N1.00_D0150_Q0.9,1.00,150,0.9,2.3833
N1.00_D0150_Q1.0,1.00,150,1.0,2.3340
N1.00_D0300_Q0.1,1.00,300,0.1,2.6943
N1.00_D0300_Q0.2,1.00,300,0.2,2.5728
N1.00_D0300_Q0.3,1.00,300,0.3,2.4688
N1.00_D0300_Q0.4,1.00,300,0.4,2.5249
N1.00_D0300_Q0.6,1.00,300,0.6,2.4469
N1.00_D0300_Q0.8,1.00,300,0.8,2.4239
N1.00_D0300_Q0.9,1.00,300,0.9,2.2509
N1.00_D0300_Q1.0,1.00,300,1.0,2.3420
N1.00_D0600_Q0.1,1.00,600,0.1,2.6008
N1.00_D0600_Q0.2,1.00,600,0.2,2.4894
N1.00_D0600_Q0.3,1.00,600,0.3,2.4439
N1.00_D0600_Q0.4,1.00,600,0.4,2.4229
N1.00_D0600_Q0.6,1.00,600,0.6,2.4336
N1.00_D0600_Q0.8,1.00,600,0.8,2.3549
N1.00_D0600_Q0.9,1.00,600,0.9,2.2636
N1.00_D0600_Q1.0,1.00,600,1.0,2.2915
N2.80_D0010_Q0.1,2.80,10,0.1,2.9592
N2.80_D0010_Q0.2,2.80,10,0.2,2.8431
N2.80_D0010_Q0.3,2.80,10,0.3,2.8867
N2.80_D0010_Q0.4,2.80,10,0.4,2.7710
N2.80_D0010_Q0.6,2.80,10,0.6,2.7064
N2.80_D0010_Q0.8,2.80,10,0.8,2.6510
N2.80_D0010_Q0.9,2.80,10,0.9,2.6397
N2.80_D0010_Q1.0,2.80,10,1.0,2.4840
N2.80_D0050_Q0.1,2.80,50,0.1,2.5785
N2.80_D0050_Q0.2,2.80,50,0.2,2.4874
N2.80_D0050_Q0.3,2.80,50,0.3,2.5971
N2.80_D0050_Q0.4,2.80,50,0.4,2.5963
N2.80_D0050_Q0.6,2.80,50,0.6,2.5446
N2.80_D0050_Q0.8,2.80,50,0.8,2.3227
N2.80_D0050_Q0.9,2.80,50,0.9,2.3871
N2.80_D0050_Q1.0,2.80,50,1.0,2.2984
N2.80_D0150_Q0.1,2.80,150,0.1,2.4446
N2.80_D0150_Q0.2,2.80,150,0.2,2.4506
N2.80_D0150_Q0.3,2.80,150,0.3,2.3889
N2.80_D0150_Q0.4,2.80,150,0.4,2.5101
N2.80_D0150_Q0.6,2.80,150,0.6,2.2938
N2.80_D0150_Q0.8,2.80,150,0.8,2.2577
N2.80_D0150_Q0.9,2.80,150,0.9,2.2652
N2.80_D0150_Q1.0,2.80,150,1.0,2.2464
N2.80_D0300_Q0.1,2.80,300,0.1,2.4460
N2.80_D0300_Q0.2,2.80,300,0.2,2.3643
N2.80_D0300_Q0.3,2.80,300,0.3,2.3988
N2.80_D0300_Q0.4,2.80,300,0.4,2.3719
N2.80_D0300_Q0.6,2.80,300,0.6,2.3342
N2.80_D0300_Q0.8,2.80,300,0.8,2.2389
N2.80_D0300_Q0.9,2.80,300,0.9,2.2601
N2.80_D0300_Q1.0,2.80,300,1.0,2.1271
N2.80_D0600_Q0.1,2.80,600,0.1,2.4515
N2.80_D0600_Q0.2,2.80,600,0.2,2.4042
N2.80_D0600_Q0.3,2.80,600,0.3,2.3538
N2.80_D0600_Q0.4,2.80,600,0.4,2.3322
N2.80_D0600_Q0.6,2.80,600,0.6,2.2986
N2.80_D0600_Q0.8,2.80,600,0.8,2.2378
N2.80_D0600_Q0.9,2.80,600,0.9,2.1287
N2.80_D0600_Q1.0,2.80,600,1.0,2.1935
N4.00_D0010_Q0.1,4.00,10,0.1,2.8550
N4.00_D0010_Q0.2,4.00,10,0.2,2.8720
N4.00_D0010_Q0.3,4.00,10,0.3,2.8016
N4.00_D0010_Q0.4,4.00,10,0.4,2.6993
N4.00_D0010_Q0.6,4.00,10,0.6,2.6310
N4.00_D0010_Q0.8,4.00,10,0.8,2.6463
N4.00_D0010_Q0.9,4.00,10,0.9,2.6487
N4.00_D0010_Q1.0,4.00,10,1.0,2.4852
N4.00_D0050_Q0.1,4.00,50,0.1,2.5657
N4.00_D0050_Q0.2,4.00,50,0.2,2.6024
N4.00_D0050_Q0.3,4.00,50,0.3,2.5078
N4.00_D0050_Q0.4,4.00,50,0.4,2.5793
N4.00_D0050_Q0.6,4.00,50,0.6,2.4706
N4.00_D0050_Q0.8,4.00,50,0.8,2.4391
N4.00_D0050_Q0.9,4.00,50,0.9,2.3223
N4.00_D0050_Q1.0,4.00,50,1.0,2.4105
N4.00_D0150_Q0.1,4.00,150,0.1,2.4940
N4.00_D0150_Q0.2,4.00,150,0.2,2.4505
N4.00_D0150_Q0.3,4.00,150,0.3,2.4411
N4.00_D0150_Q0.4,4.00,150,0.4,2.3929
N4.00_D0150_Q0.6,4.00,150,0.6,2.3873
N4.00_D0150_Q0.8,4.00,150,0.8,2.2679
N4.00_D0150_Q0.9,4.00,150,0.9,2.2339
N4.00_D0150_Q1.0,4.00,150,1.0,2.2102
N4.00_D0300_Q0.1,4.00,300,0.1,2.4125
N4.00_D0300_Q0.2,4.00,300,0.2,2.3793
N4.00_D0300_Q0.3,4.00,300,0.3,2.2697
N4.00_D0300_Q0.4,4.00,300,0.4,2.3711
N4.00_D0300_Q0.6,4.00,300,0.6,2.2294
N4.00_D0300_Q0.8,4.00,300,0.8,2.1962
N4.00_D0300_Q0.9,4.00,300,0.9,2.1753
N4.00_D0300_Q1.0,4.00,300,1.0,2.1975
N4.00_D0600_Q0.1,4.00,600,0.1,2.2637
N4.00_D0600_Q0.2,4.00,600,0.2,2.2681
N4.00_D0600_Q0.3,4.00,600,0.3,2.4030
N4.00_D0600_Q0.4,4.00,600,0.4,2.3312
N4.00_D0600_Q0.6,4.00,600,0.6,2.2966
N4.00_D0600_Q0.8,4.00,600,0.8,2.1600
N4.00_D0600_Q0.9,4.00,600,0.9,2.1978
N4.00_D0600_Q1.0,4.00,600,1.0,2.1107
N6.90_D0010_Q0.1,6.90,10,0.1,2.7585
N6.90_D0010_Q0.2,6.90,10,0.2,2.6605
N6.90_D0010_Q0.3,6.90,10,0.3,2.7200
N6.90_D0010_Q0.4,6.90,10,0.4,2.6823
N6.90_D0010_Q0.6,6.90,10,0.6,2.5269
N6.90_D0010_Q0.8,6.90,10,0.8,2.5341
N6.90_D0010_Q0.9,6.90,10,0.9,2.5395
N6.90_D0010_Q1.0,6.90,10,1.0,2.4679
N6.90_D0050_Q0.1,6.90,50,0.1,2.5548
N6.90_D0050_Q0.2,6.90,50,0.2,2.4799
N6.90_D0050_Q0.3,6.90,50,0.3,2.4833
N6.90_D0050_Q0.4,6.90,50,0.4,2.4979
N6.90_D0050_Q0.6,6.90,50,0.6,2.4093
N6.90_D0050_Q0.8,6.90,50,0.8,2.2784
N6.90_D0050_Q0.9,6.90,50,0.9,2.3470
N6.90_D0050_Q1.0,6.90,50,1.0,2.2632
N6.90_D0150_Q0.1,6.90,150,0.1,2.3272
N6.90_D0150_Q0.2,6.90,150,0.2,2.3658
N6.90_D0150_Q0.3,6.90,150,0.3,2.3708
N6.90_D0150_Q0.4,6.90,150,0.4,2.3438
N6.90_D0150_Q0.6,6.90,150,0.6,2.2064
N6.90_D0150_Q0.8,6.90,150,0.8,2.2296
N6.90_D0150_Q0.9,6.90,150,0.9,2.2482
N6.90_D0150_Q1.0,6.90,150,1.0,2.1506
N6.90_D0300_Q0.1,6.90,300,0.1,2.3408
N6.90_D0300_Q0.2,6.90,300,0.2,2.3195
N6.90_D0300_Q0.3,6.90,300,0.3,2.3002
N6.90_D0300_Q0.4,6.90,300,0.4,2.3167
N6.90_D0300_Q0.6,6.90,300,0.6,2.2275
N6.90_D0300_Q0.8,6.90,300,0.8,2.1189
N6.90_D0300_Q0.9,6.90,300,0.9,2.1052
N6.90_D0300_Q1.0,6.90,300,1.0,2.1363
N6.90_D0600_Q0.1,6.90,600,0.1,2.2081
N6.90_D0600_Q0.2,6.90,600,0.2,2.2684
N6.90_D0600_Q0.3,6.90,600,0.3,2.2487
N6.90_D0600_Q0.4,6.90,600,0.4,2.2425
N6.90_D0600_Q0.6,6.90,600,0.6,2.1582
N6.90_D0600_Q0.8,6.90,600,0.8,2.1315
N6.90_D0600_Q0.9,6.90,600,0.9,2.0744
N6.90_D0600_Q1.0,6.90,600,1.0,2.0492
N11.97_D0010_Q0.1,11.97,10,0.1,2.7700
N11.97_D0010_Q0.2,11.97,10,0.2,2.6684
N11.97_D0010_Q0.3,11.97,10,0.3,2.6888
N11.97_D0010_Q0.4,11.97,10,0.4,2.7027
N11.97_D0010_Q0.6,11.97,10,0.6,2.6784
N11.97_D0010_Q0.8,11.97,10,0.8,2.6185
N11.97_D0010_Q0.9,11.97,10,0.9,2.4891
N11.97_D0010_Q1.0,11.97,10,1.0,2.4184
N11.97_D0050_Q0.1,11.97,50,0.1,2.4506
N11.97_D0050_Q0.2,11.97,50,0.2,2.4199
N11.97_D0050_Q0.3,11.97,50,0.3,2.4152
N11.97_D0050_Q0.4,11.97,50,0.4,2.3833
N11.97_D0050_Q0.6,11.97,50,0.6,2.3437
N11.97_D0050_Q0.8,11.97,50,0.8,2.2204
N11.97_D0050_Q0.9,11.97,50,0.9,2.2960
N11.97_D0050_Q1.0,11.97,50,1.0,2.3439
N11.97_D0150_Q0.1,11.97,150,0.1,2.4214
N11.97_D0150_Q0.2,11.97,150,0.2,2.3485
N11.97_D0150_Q0.3,11.97,150,0.3,2.3316
N11.97_D0150_Q0.4,11.97,150,0.4,2.2453
N11.97_D0150_Q0.6,11.97,150,0.6,2.2154
N11.97_D0150_Q0.8,11.97,150,0.8,2.2885
N11.97_D0150_Q0.9,11.97,150,0.9,2.1844
N11.97_D0150_Q1.0,11.97,150,1.0,2.2045
N11.97_D0300_Q0.1,11.97,300,0.1,2.2899
N11.97_D0300_Q0.2,11.97,300,0.2,2.2886
N11.97_D0300_Q0.3,11.97,300,0.3,2.2767
N11.97_D0300_Q0.4,11.97,300,0.4,2.2501
N11.97_D0300_Q0.6,11.97,300,0.6,2.1351
N11.97_D0300_Q0.8,11.97,300,0.8,2.1274
N11.97_D0300_Q0.9,11.97,300,0.9,2.2077
N11.97_D0300_Q1.0,11.97,300,1.0,2.0939
N11.97_D0600_Q0.1,11.97,600,0.1,2.2880
N11.97_D0600_Q0.2,11.97,600,0.2,2.2118
N11.97_D0600_Q0.3,11.97,600,0.3,2.1456
N11.97_D0600_Q0.4,11.97,600,0.4,2.1410
N11.97_D0600_Q0.6,11.97,600,0.6,2.0709
N11.97_D0600_Q0.8,11.97,600,0.8,2.0161
N11.97_D0600_Q0.9,11.97,600,0.9,2.0573
N11.97_D0600_Q1.0,11.97,600,1.0,2.0191
N0.07_D0010_Q0.5,0.07,10.0,0.5,3.5680
N0.07_D0010_Q0.7,0.07,10.0,0.7,3.4466
N0.07_D0050_Q0.5,0.07,50.0,0.5,3.1892
N0.07_D0050_Q0.7,0.07,50.0,0.7,3.1419
N0.07_D0150_Q0.5,0.07,150.0,0.5,3.1305
N0.07_D0150_Q0.7,0.07,150.0,0.7,3.0551
N0.07_D0300_Q0.5,0.07,300.0,0.5,3.1769
N0.07_D0300_Q0.7,0.07,300.0,0.7,2.9398
N0.07_D0600_Q0.5,0.07,600.0,0.5,3.0404
N0.07_D0600_Q0.7,0.07,600.0,0.7,2.9333
N0.16_D0010_Q0.5,0.16,10.0,0.5,3.2494
N0.16_D0010_Q0.7,0.16,10.0,0.7,3.2288
N0.16_D0050_Q0.5,0.16,50.0,0.5,2.9246
N0.16_D0050_Q0.7,0.16,50.0,0.7,2.8275
N0.16_D0150_Q0.5,0.16,150.0,0.5,2.8925
N0.16_D0150_Q0.7,0.16,150.0,0.7,2.7914
N0.16_D0300_Q0.5,0.16,300.0,0.5,2.8079
N0.16_D0300_Q0.7,0.16,300.0,0.7,2.7592
N0.16_D0600_Q0.5,0.16,600.0,0.5,2.7776
N0.16_D0600_Q0.7,0.16,600.0,0.7,2.6652
N0.41_D0010_Q0.5,0.41,10.0,0.5,3.0802
N0.41_D0010_Q0.7,0.41,10.0,0.7,3.0270
N0.41_D0050_Q0.5,0.41,50.0,0.5,2.7517
N0.41_D0050_Q0.7,0.41,50.0,0.7,2.6453
N0.41_D0150_Q0.5,0.41,150.0,0.5,2.6432
N0.41_D0150_Q0.7,0.41,150.0,0.7,2.6050
N0.41_D0300_Q0.5,0.41,300.0,0.5,2.6321
N0.41_D0300_Q0.7,0.41,300.0,0.7,2.5426
N0.41_D0600_Q0.5,0.41,600.0,0.5,2.5369
N0.41_D0600_Q0.7,0.41,600.0,0.7,2.4873
N0.7_D0010_Q0.5,0.7,10.0,0.5,2.9761
N0.7_D0010_Q0.7,0.7,10.0,0.7,2.9524
N0.7_D0050_Q0.5,0.7,50.0,0.5,2.6726
N0.7_D0050_Q0.7,0.7,50.0,0.7,2.6060
N0.7_D0150_Q0.5,0.7,150.0,0.5,2.5964
N0.7_D0150_Q0.7,0.7,150.0,0.7,2.5081
N0.7_D0300_Q0.5,0.7,300.0,0.5,2.5359
N0.7_D0300_Q0.7,0.7,300.0,0.7,2.4237
N0.7_D0600_Q0.5,0.7,600.0,0.5,2.4897
N0.7_D0600_Q0.7,0.7,600.0,0.7,2.4800
N1.0_D0010_Q0.5,1.0,10.0,0.5,2.8480
N1.0_D0010_Q0.7,1.0,10.0,0.7,2.8028
N1.0_D0050_Q0.5,1.0,50.0,0.5,2.6594
N1.0_D0050_Q0.7,1.0,50.0,0.7,2.5754
N1.0_D0150_Q0.5,1.0,150.0,0.5,2.5142
N1.0_D0150_Q0.7,1.0,150.0,0.7,2.4391
N1.0_D0300_Q0.5,1.0,300.0,0.5,2.4767
N1.0_D0300_Q0.7,1.0,300.0,0.7,2.4565
N1.0_D0600_Q0.5,1.0,600.0,0.5,2.4351
N1.0_D0600_Q0.7,1.0,600.0,0.7,2.3590
N2.8_D0010_Q0.5,2.8,10.0,0.5,2.7452
N2.8_D0010_Q0.7,2.8,10.0,0.7,2.6710
N2.8_D0050_Q0.5,2.8,50.0,0.5,2.5569
N2.8_D0050_Q0.7,2.8,50.0,0.7,2.4459
N2.8_D0150_Q0.5,2.8,150.0,0.5,2.4226
N2.8_D0150_Q0.7,2.8,150.0,0.7,2.2944
N2.8_D0300_Q0.5,2.8,300.0,0.5,2.3363
N2.8_D0300_Q0.7,2.8,300.0,0.7,2.2804
N2.8_D0600_Q0.5,2.8,600.0,0.5,2.3220
N2.8_D0600_Q0.7,2.8,600.0,0.7,2.2877
N4.0_D0010_Q0.5,4.0,10.0,0.5,2.6556
N4.0_D0010_Q0.7,4.0,10.0,0.7,2.6349
N4.0_D0050_Q0.5,4.0,50.0,0.5,2.5028
N4.0_D0050_Q0.7,4.0,50.0,0.7,2.4309
N4.0_D0150_Q0.5,4.0,150.0,0.5,2.4064
N4.0_D0150_Q0.7,4.0,150.0,0.7,2.3547
N4.0_D0300_Q0.5,4.0,300.0,0.5,2.2988
N4.0_D0300_Q0.7,4.0,300.0,0.7,2.2329
N4.0_D0600_Q0.5,4.0,600.0,0.5,2.3211
N4.0_D0600_Q0.7,4.0,600.0,0.7,2.2154
N6.9_D0010_Q0.5,6.9,10.0,0.5,2.6118
N6.9_D0010_Q0.7,6.9,10.0,0.7,2.5613
N6.9_D0050_Q0.5,6.9,50.0,0.5,2.4529
N6.9_D0050_Q0.7,6.9,50.0,0.7,2.3751
N6.9_D0150_Q0.5,6.9,150.0,0.5,2.2227
N6.9_D0150_Q0.7,6.9,150.0,0.7,2.2344
N6.9_D0300_Q0.5,6.9,300.0,0.5,2.2738
N6.9_D0300_Q0.7,6.9,300.0,0.7,2.1672
N6.9_D0600_Q0.5,6.9,600.0,0.5,2.2022
N6.9_D0600_Q0.7,6.9,600.0,0.7,2.1051
N11.97_D0010_Q0.5,11.97,10.0,0.5,2.6862
N11.97_D0010_Q0.7,11.97,10.0,0.7,2.6556
N11.97_D0050_Q0.5,11.97,50.0,0.5,2.3931
N11.97_D0050_Q0.7,11.97,50.0,0.7,2.2717
N11.97_D0150_Q0.5,11.97,150.0,0.5,2.2142
N11.97_D0150_Q0.7,11.97,150.0,0.7,2.2419
N11.97_D0300_Q0.5,11.97,300.0,0.5,2.2109
N11.97_D0300_Q0.7,11.97,300.0,0.7,2.1378
N11.97_D0600_Q0.5,11.97,600.0,0.5,2.0954
N11.97_D0600_Q0.7,11.97,600.0,0.7,2.0538
