run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,steps,batch_tokens_M,lr,wd,precision,gpu_days,step_time_ms,train_loss,val_loss,ppl,grad_norm_avg
41,0.070542,62.915,0.0266,30000,2.1,0.000318,0.042,fp16,1.0,100.4,2.8415,2.951,19.13,1.311
42,0.070542,65.012,0.0275,31000,2.1,0.000318,0.075,bf16,1.0,100.4,2.764,2.9473,19.06,9.016
43,0.070542,67.109,0.0284,32000,2.1,0.000318,0.096,bf16,1.1,100.4,2.8075,2.9439,18.99,1.137
44,0.070542,69.206,0.0293,33000,2.1,0.000318,0.021,bf16,1.1,100.4,2.7976,2.9406,18.93,0.838
45,0.070542,71.303,0.0302,34000,2.1,0.000318,0.047,bf16,1.1,100.4,2.7444,2.9372,18.86,0.949
46,0.070542,73.4,0.0311,35000,2.1,0.000318,0.059,fp16,1.2,100.4,2.8258,2.9343,18.81,1.049
47,0.070542,75.497,0.032,36000,2.1,0.000318,0.081,bf16,1.2,100.4,2.701,2.9314,18.75,0.802
48,0.070542,77.595,0.0328,37000,2.1,0.000318,0.038,fp16,1.2,100.4,2.7989,2.9289,18.71,1.478
49,0.070542,79.692,0.0337,38000,2.1,0.000318,0.097,fp16,1.3,100.4,2.8359,2.926,18.65,0.843
50,0.070542,81.789,0.0346,39000,2.1,0.000318,0.015,bf16,1.3,100.4,2.7993,2.923,18.6,0.869
51,0.070542,83.886,0.0355,40000,2.1,0.000318,0.056,bf16,1.3,100.4,2.8496,2.9208,18.56,1.416
52,0.070542,85.983,0.0364,41000,2.1,0.000318,0.096,bf16,1.4,100.4,2.7831,2.9182,18.51,0.435
53,0.070542,88.08,0.0373,42000,2.1,0.000318,0.051,bf16,1.4,100.4,2.7785,2.9158,18.46,0.939
54,0.070542,90.178,0.0382,43000,2.1,0.000318,0.027,fp16,1.4,100.4,2.7524,2.9137,18.42,0.992
55,0.070542,92.275,0.0391,44000,2.1,0.000318,0.096,fp16,1.4,100.4,2.8013,2.9115,18.38,1.524
56,0.070542,94.372,0.0399,45000,2.1,0.000318,0.044,fp16,1.5,100.4,2.7228,2.9093,18.34,1.131
57,0.070542,96.469,0.0408,46000,2.1,0.000318,0.058,fp16,1.5,100.4,2.7758,2.9068,18.3,2.318
58,0.070542,98.566,0.0417,47000,2.1,0.000318,0.097,fp16,1.5,100.4,2.814,2.9049,18.26,0.882
59,0.070542,100.663,0.0426,48000,2.1,0.000318,0.076,fp16,1.6,100.4,2.8079,2.903,18.23,0.782
60,0.070542,102.76,0.0435,49000,2.1,0.000318,0.042,bf16,1.6,100.4,2.7019,2.9011,18.19,1.111
61,0.070542,104.858,0.0444,50000,2.1,0.000318,0.083,fp16,1.6,100.4,2.6967,2.8989,18.15,1.01
62,0.070542,106.955,0.0453,51000,2.1,0.000318,0.025,bf16,1.7,100.4,2.7549,2.8971,18.12,17.364
63,0.070542,109.052,0.0462,52000,2.1,0.000318,0.044,bf16,1.7,100.4,2.7161,2.8951,18.09,1.042
64,0.070542,111.149,0.047,53000,2.1,0.000318,0.02,bf16,1.7,100.4,2.746,2.8933,18.05,0.852
65,0.070542,113.246,0.0479,54000,2.1,0.000318,0.041,bf16,1.8,100.4,2.6816,2.892,18.03,1.059
66,0.070542,115.343,0.0488,55000,2.1,0.000318,0.051,fp16,1.8,100.4,2.719,2.8904,18.0,2.044
67,0.070542,117.441,0.0497,56000,2.1,0.000318,0.07,bf16,1.8,100.4,2.7137,2.8885,17.97,1.005
68,0.070542,119.538,0.0506,57000,2.1,0.000318,0.075,bf16,1.9,100.4,2.726,2.8871,17.94,0.629
69,0.070542,121.635,0.0515,58000,2.1,0.000318,0.081,bf16,1.9,100.4,2.7985,2.8854,17.91,1.061
70,0.070542,123.732,0.0524,59000,2.1,0.000318,0.061,fp16,1.9,100.4,2.675,2.8836,17.88,0.483
71,0.070542,125.829,0.0533,60000,2.1,0.000318,0.086,bf16,2.0,100.4,2.6973,2.8823,17.86,1.032
72,0.070542,127.926,0.0541,61000,2.1,0.000318,0.023,bf16,2.0,100.4,2.6969,2.8811,17.83,1.11
73,0.070542,130.023,0.055,62000,2.1,0.000318,0.059,bf16,2.0,100.4,2.7654,2.8793,17.8,0.77
74,0.070542,132.121,0.0559,63000,2.1,0.000318,0.092,fp16,2.1,100.4,2.8125,2.8782,17.78,1.209
75,0.070542,134.218,0.0568,64000,2.1,0.000318,0.042,bf16,2.1,100.4,2.6563,2.876,17.74,0.94
76,0.070542,136.315,0.0577,65000,2.1,0.000318,0.073,bf16,2.1,100.4,2.7029,2.8753,17.73,1.135
77,0.070542,138.412,0.0586,66000,2.1,0.000318,0.053,bf16,2.2,100.4,2.7023,2.8738,17.7,0.759
78,0.070542,140.509,0.0595,67000,2.1,0.000318,0.067,bf16,2.2,100.4,2.7384,2.8724,17.68,0.499
79,0.070542,142.606,0.0604,68000,2.1,0.000318,0.024,bf16,2.2,100.4,2.804,2.8712,17.66,0.63
80,0.070542,144.703,0.0612,69000,2.1,0.000318,0.018,bf16,2.3,100.4,2.7626,2.8696,17.63,1.235
81,0.070542,146.801,0.0621,70000,2.1,0.000318,0.034,bf16,2.3,100.4,2.6469,2.8687,17.61,1.055
82,0.070542,148.898,0.063,71000,2.1,0.000318,0.095,bf16,2.3,100.4,2.7514,2.8676,17.59,0.882
83,0.070542,150.995,0.0639,72000,2.1,0.000318,0.033,bf16,2.4,100.4,2.7816,2.8666,17.58,6.266
84,0.070542,153.092,0.0648,73000,2.1,0.000318,0.083,bf16,2.4,100.4,2.7796,2.865,17.55,0.973
85,0.070542,155.189,0.0657,74000,2.1,0.000318,0.076,bf16,2.4,100.4,2.6722,2.8638,17.53,0.677
86,0.070542,157.286,0.0666,75000,2.1,0.000318,0.075,fp16,2.5,100.4,2.7212,2.8628,17.51,1.124
87,0.070542,159.384,0.0675,76000,2.1,0.000318,0.065,fp16,2.5,100.4,2.8003,2.8619,17.49,1.101
88,0.070542,161.481,0.0683,77000,2.1,0.000318,0.042,bf16,2.5,100.4,2.8016,2.8607,17.47,1.254
89,0.070542,163.578,0.0692,78000,2.1,0.000318,0.095,fp16,2.6,100.4,2.72,2.8595,17.45,0.935
90,0.070542,165.675,0.0701,79000,2.1,0.000318,0.029,bf16,2.6,100.4,2.6712,2.8586,17.44,0.777
91,0.070542,167.772,0.071,80000,2.1,0.000318,0.029,bf16,2.6,100.4,2.7619,2.8575,17.42,1.138
92,0.070542,169.869,0.0719,81000,2.1,0.000318,0.087,bf16,2.7,100.4,2.799,2.8566,17.4,0.865
93,0.070542,171.966,0.0728,82000,2.1,0.000318,0.024,fp16,2.7,100.4,2.7476,2.8553,17.38,0.812
94,0.070542,174.064,0.0737,83000,2.1,0.000318,0.082,fp16,2.7,100.4,2.6365,2.8544,17.36,1.093
95,0.070542,176.161,0.0746,84000,2.1,0.000318,0.095,bf16,2.8,100.4,2.649,2.8534,17.35,0.794
96,0.070542,178.258,0.0754,85000,2.1,0.000318,0.078,fp16,2.8,100.4,2.6504,2.8522,17.33,1.153
97,0.070542,180.355,0.0763,86000,2.1,0.000318,0.013,bf16,2.8,100.4,2.7115,2.8516,17.32,1.169
98,0.070542,182.452,0.0772,87000,2.1,0.000318,0.023,fp16,2.9,100.4,2.6294,2.8506,17.3,1.162
99,0.070542,184.549,0.0781,88000,2.1,0.000318,0.033,bf16,2.9,100.4,2.6497,2.8497,17.28,0.932
100,0.070542,186.647,0.079,89000,2.1,0.000318,0.025,bf16,2.9,100.4,2.7339,2.8487,17.27,0.996
101,0.070542,188.744,0.0799,90000,2.1,0.000318,0.088,fp16,3.0,100.4,2.6921,2.8476,17.25,1.862
102,0.070542,190.841,0.0808,91000,2.1,0.000318,0.067,bf16,3.0,100.4,2.7789,2.8469,17.23,1.06
103,0.070542,192.938,0.0817,92000,2.1,0.000318,0.029,bf16,3.0,100.4,2.6382,2.8461,17.22,1.078
104,0.070542,195.035,0.0825,93000,2.1,0.000318,0.068,bf16,3.1,100.4,2.771,2.8451,17.2,1.521
105,0.070542,197.132,0.0834,94000,2.1,0.000318,0.023,fp16,3.1,100.4,2.7516,2.8444,17.19,8.415
106,0.070542,199.229,0.0843,95000,2.1,0.000318,0.057,bf16,3.1,100.4,2.7595,2.8436,17.18,0.993
107,0.070542,201.327,0.0852,96000,2.1,0.000318,0.06,bf16,3.2,100.4,2.6934,2.8431,17.17,1.147
108,0.070542,203.424,0.0861,97000,2.1,0.000318,0.07,bf16,3.2,100.4,2.7434,2.842,17.15,0.965
109,0.070542,205.521,0.087,98000,2.1,0.000318,0.084,bf16,3.2,100.4,2.7526,2.8412,17.14,8.925
110,0.070542,207.618,0.0879,99000,2.1,0.000318,0.057,bf16,3.3,100.4,2.7093,2.8403,17.12,0.848
111,0.070542,209.715,0.0888,100000,2.1,0.000318,0.051,bf16,3.3,100.4,2.7042,2.8392,17.1,7.696
112,0.070542,211.812,0.0896,101000,2.1,0.000318,0.045,bf16,3.3,100.4,2.7028,2.8388,17.09,1.148
113,0.070542,213.91,0.0905,102000,2.1,0.000318,0.021,bf16,3.4,100.4,2.7331,2.838,17.08,0.829
114,0.070542,216.007,0.0914,103000,2.1,0.000318,0.091,fp16,3.4,100.4,2.652,2.8377,17.08,0.904
115,0.070542,218.104,0.0923,104000,2.1,0.000318,0.027,bf16,3.4,100.4,2.7404,2.8365,17.06,1.117
116,0.070542,220.201,0.0932,105000,2.1,0.000318,0.011,bf16,3.5,100.4,2.6744,2.8358,17.04,0.639
117,0.070542,222.298,0.0941,106000,2.1,0.000318,0.032,fp16,3.5,100.4,2.6617,2.8351,17.03,1.066
118,0.070542,224.395,0.095,107000,2.1,0.000318,0.025,fp16,3.5,100.4,2.6281,2.8341,17.02,0.917
119,0.070542,226.492,0.0959,108000,2.1,0.000318,0.025,bf16,3.6,100.4,2.7444,2.8338,17.01,1.169
120,0.070542,228.59,0.0968,109000,2.1,0.000318,0.044,bf16,3.6,100.4,2.6349,2.8331,17.0,1.311
121,0.070542,230.687,0.0976,110000,2.1,0.000318,0.082,fp16,3.6,100.4,2.6255,2.8324,16.99,0.922
122,0.070542,232.784,0.0985,111000,2.1,0.000318,0.089,fp16,3.7,100.4,2.6842,2.8314,16.97,1.256
123,0.070542,234.881,0.0994,112000,2.1,0.000318,0.053,bf16,3.7,100.4,2.6201,2.8311,16.96,11.145
124,0.070542,236.978,0.1003,113000,2.1,0.000318,0.066,bf16,3.7,100.4,2.6836,2.83,16.94,1.151
125,0.070542,239.075,0.1012,114000,2.1,0.000318,0.063,bf16,3.8,100.4,2.6874,2.8297,16.94,0.701
126,0.070542,241.172,0.1021,115000,2.1,0.000318,0.052,bf16,3.8,100.4,2.6083,2.8293,16.93,0.905
127,0.070542,243.27,0.103,116000,2.1,0.000318,0.066,bf16,3.8,100.4,2.642,2.8281,16.91,1.063
128,0.070542,245.367,0.1039,117000,2.1,0.000318,0.035,fp16,3.9,100.4,2.7125,2.8275,16.9,0.983
129,0.070542,247.464,0.1047,118000,2.1,0.000318,0.078,fp16,3.9,100.4,2.7472,2.827,16.89,0.958
130,0.070542,249.561,0.1056,119000,2.1,0.000318,0.039,bf16,3.9,100.4,2.6935,2.8263,16.88,1.224
131,0.070542,251.658,0.1065,120000,2.1,0.000318,0.095,bf16,4.0,100.4,2.7254,2.8255,16.87,1.144
132,0.070542,253.755,0.1074,121000,2.1,0.000318,0.044,bf16,4.0,100.4,2.759,2.8251,16.86,1.122
133,0.070542,255.853,0.1083,122000,2.1,0.000318,0.026,fp16,4.0,100.4,2.6884,2.8243,16.85,1.447
134,0.070542,257.95,0.1092,123000,2.1,0.000318,0.074,fp16,4.1,100.4,2.6145,2.824,16.84,1.404
135,0.070542,260.047,0.1101,124000,2.1,0.000318,0.096,fp16,4.1,100.4,2.6783,2.8232,16.83,1.017
136,0.070542,262.144,0.111,125000,2.1,0.000318,0.012,fp16,4.1,100.4,2.6472,2.823,16.83,6.122
137,0.070542,264.241,0.1118,126000,2.1,0.000318,0.063,bf16,4.1,100.4,2.6347,2.822,16.81,0.623
138,0.070542,266.338,0.1127,127000,2.1,0.000318,0.096,bf16,4.2,100.4,2.726,2.8215,16.8,2.001
139,0.070542,268.435,0.1136,128000,2.1,0.000318,0.077,bf16,4.2,100.4,2.675,2.8212,16.8,0.635
140,0.070542,270.533,0.1145,129000,2.1,0.000318,0.099,bf16,4.2,100.4,2.7152,2.8202,16.78,1.251
141,0.070542,272.63,0.1154,130000,2.1,0.000318,0.07,bf16,4.3,100.4,2.7297,2.8199,16.78,0.853
142,0.070542,274.727,0.1163,131000,2.1,0.000318,0.058,bf16,4.3,100.4,2.6983,2.8196,16.77,0.801
143,0.070542,276.824,0.1172,132000,2.1,0.000318,0.072,bf16,4.3,100.4,2.7394,2.8185,16.75,0.971
144,0.070542,278.921,0.1181,133000,2.1,0.000318,0.076,bf16,4.4,100.4,2.6436,2.8183,16.75,1.72
145,0.070542,281.018,0.1189,134000,2.1,0.000318,0.099,fp16,4.4,100.4,2.6764,2.8178,16.74,7.208
146,0.070542,283.116,0.1198,135000,2.1,0.000318,0.064,bf16,4.4,100.4,2.6869,2.8173,16.73,1.251
147,0.070542,285.213,0.1207,136000,2.1,0.000318,0.089,fp16,4.5,100.4,2.6393,2.8164,16.72,1.019
148,0.070542,287.31,0.1216,137000,2.1,0.000318,0.045,bf16,4.5,100.4,2.5929,2.8159,16.71,1.022
149,0.070542,289.407,0.1225,138000,2.1,0.000318,0.043,bf16,4.5,100.4,2.6849,2.8157,16.7,0.631
150,0.070542,291.504,0.1234,139000,2.1,0.000318,0.013,bf16,4.6,100.4,2.6264,2.8152,16.7,0.992
151,0.070542,293.601,0.1243,140000,2.1,0.000318,0.024,fp16,4.6,100.4,2.6214,2.8146,16.69,0.769
152,0.070542,295.698,0.1252,141000,2.1,0.000318,0.064,fp16,4.6,100.4,2.6762,2.8142,16.68,8.205
153,0.070542,297.796,0.126,142000,2.1,0.000318,0.09,bf16,4.7,100.4,2.6996,2.8135,16.67,0.966
154,0.070542,299.893,0.1269,143000,2.1,0.000318,0.084,bf16,4.7,100.4,2.7356,2.8131,16.66,1.056
162,0.162405,0.134,0.0001,64,2.09,0.000292,0.062,bf16,0.0,152.3,4.3629,4.5235,92.16,1.068
163,0.162405,0.268,0.0003,128,2.09,0.000292,0.013,fp16,0.0,152.3,3.8711,4.1397,62.79,0.966
164,0.162405,0.537,0.0005,256,2.1,0.000292,0.033,fp16,0.0,152.3,3.7306,3.8226,45.72,1.234
165,0.162405,1.074,0.001,512,2.1,0.000292,0.057,bf16,0.0,152.3,3.3444,3.5629,35.26,1.29
166,0.162405,2.097,0.002,1000,2.1,0.000292,0.064,bf16,0.1,152.3,3.2267,3.3548,28.64,0.746
167,0.162405,4.194,0.0041,2000,2.1,0.000292,0.065,fp16,0.2,152.3,2.9947,3.1771,23.98,0.724
168,0.162405,6.291,0.0061,3000,2.1,0.000292,0.049,fp16,0.2,152.3,2.9252,3.0883,21.94,8.649
169,0.162405,8.389,0.0082,4000,2.1,0.000292,0.042,fp16,0.3,152.3,2.8517,3.0304,20.7,0.782
170,0.162405,10.486,0.0102,5000,2.1,0.000292,0.052,fp16,0.4,152.3,2.7538,2.9888,19.86,1.264
171,0.162405,12.583,0.0123,6000,2.1,0.000292,0.015,bf16,0.5,152.3,2.7969,2.9568,19.24,0.497
172,0.162405,14.68,0.0143,7000,2.1,0.000292,0.033,bf16,0.5,152.3,2.735,2.9311,18.75,0.768
173,0.162405,16.777,0.0163,8000,2.1,0.000292,0.094,fp16,0.6,152.3,2.7712,2.9098,18.35,0.59
174,0.162405,18.874,0.0184,9000,2.1,0.000292,0.066,bf16,0.7,152.3,2.6823,2.8916,18.02,1.284
175,0.162405,20.972,0.0204,10000,2.1,0.000292,0.016,bf16,0.8,152.3,2.7827,2.8757,17.74,0.585
176,0.162405,23.069,0.0225,11000,2.1,0.000292,0.045,bf16,0.8,152.3,2.7086,2.8619,17.5,1.916
177,0.162405,25.166,0.0245,12000,2.1,0.000292,0.088,bf16,0.9,152.3,2.7791,2.8494,17.28,1.193
178,0.162405,27.263,0.0266,13000,2.1,0.000292,0.094,bf16,1.0,152.3,2.6645,2.8385,17.09,1.048
179,0.162405,29.36,0.0286,14000,2.1,0.000292,0.016,fp16,1.1,152.3,2.6719,2.8281,16.91,0.969
180,0.162405,31.457,0.0307,15000,2.1,0.000292,0.01,bf16,1.1,152.3,2.7286,2.8195,16.77,0.952
181,0.162405,33.554,0.0327,16000,2.1,0.000292,0.057,bf16,1.2,152.3,2.6204,2.8106,16.62,0.773
182,0.162405,35.652,0.0347,17000,2.1,0.000292,0.097,bf16,1.3,152.3,2.64,2.8025,16.49,1.129
183,0.162405,37.749,0.0368,18000,2.1,0.000292,0.041,bf16,1.4,152.3,2.6225,2.7952,16.37,1.2
184,0.162405,39.846,0.0388,19000,2.1,0.000292,0.03,fp16,1.4,152.3,2.6239,2.7888,16.26,1.185
185,0.162405,41.943,0.0409,20000,2.1,0.000292,0.06,fp16,1.5,152.3,2.5797,2.7823,16.16,0.696
186,0.162405,44.04,0.0429,21000,2.1,0.000292,0.027,bf16,1.6,152.3,2.7107,2.7766,16.06,0.861
187,0.162405,46.137,0.045,22000,2.1,0.000292,0.066,bf16,1.7,152.3,2.682,2.771,15.97,1.206
188,0.162405,48.234,0.047,23000,2.1,0.000292,0.035,fp16,1.7,152.3,2.6973,2.7656,15.89,0.808
189,0.162405,50.332,0.049,24000,2.1,0.000292,0.074,bf16,1.8,152.3,2.5905,2.7605,15.81,0.68
190,0.162405,52.429,0.0511,25000,2.1,0.000292,0.053,bf16,1.9,152.3,2.5846,2.7557,15.73,0.827
191,0.162405,54.526,0.0531,26000,2.1,0.000292,0.069,fp16,2.0,152.3,2.5332,2.7514,15.66,1.1
192,0.162405,56.623,0.0552,27000,2.1,0.000292,0.098,bf16,2.0,152.3,2.6402,2.7474,15.6,10.559
193,0.162405,58.72,0.0572,28000,2.1,0.000292,0.086,fp16,2.1,152.3,2.6418,2.7432,15.54,1.552
194,0.162405,60.817,0.0593,29000,2.1,0.000292,0.066,bf16,2.2,152.3,2.6636,2.7391,15.47,1.061
195,0.162405,62.915,0.0613,30000,2.1,0.000292,0.058,bf16,2.3,152.3,2.6212,2.7356,15.42,0.598
196,0.162405,65.012,0.0633,31000,2.1,0.000292,0.064,bf16,2.4,152.3,2.5374,2.7321,15.37,1.148
197,0.162405,67.109,0.0654,32000,2.1,0.000292,0.068,bf16,2.4,152.3,2.667,2.7285,15.31,0.852
198,0.162405,69.206,0.0674,33000,2.1,0.000292,0.029,bf16,2.5,152.3,2.5826,2.7254,15.26,1.114
199,0.162405,71.303,0.0695,34000,2.1,0.000292,0.057,bf16,2.6,152.3,2.5326,2.7222,15.21,0.79
200,0.162405,73.4,0.0715,35000,2.1,0.000292,0.026,bf16,2.7,152.3,2.5482,2.719,15.16,1.451
201,0.162405,75.497,0.0736,36000,2.1,0.000292,0.046,bf16,2.7,152.3,2.6415,2.7163,15.12,1.237
202,0.162405,77.595,0.0756,37000,2.1,0.000292,0.073,bf16,2.8,152.3,2.539,2.7135,15.08,0.72
203,0.162405,79.692,0.0777,38000,2.1,0.000292,0.083,bf16,2.9,152.3,2.5835,2.7109,15.04,0.742
204,0.162405,81.789,0.0797,39000,2.1,0.000292,0.08,bf16,3.0,152.3,2.5927,2.7082,15.0,0.969
205,0.162405,83.886,0.0817,40000,2.1,0.000292,0.087,fp16,3.0,152.3,2.6326,2.7053,14.96,8.879
206,0.162405,85.983,0.0838,41000,2.1,0.000292,0.085,bf16,3.1,152.3,2.5412,2.7029,14.92,1.946
207,0.162405,88.08,0.0858,42000,2.1,0.000292,0.056,fp16,3.2,152.3,2.5356,2.7007,14.89,0.681
208,0.162405,90.178,0.0879,43000,2.1,0.000292,0.022,bf16,3.3,152.3,2.6137,2.6984,14.86,6.908
209,0.162405,92.275,0.0899,44000,2.1,0.000292,0.035,bf16,3.3,152.3,2.5719,2.6961,14.82,0.799
210,0.162405,94.372,0.092,45000,2.1,0.000292,0.057,fp16,3.4,152.3,2.6397,2.6945,14.8,0.615
211,0.162405,96.469,0.094,46000,2.1,0.000292,0.034,bf16,3.5,152.3,2.5054,2.6918,14.76,8.94
212,0.162405,98.566,0.096,47000,2.1,0.000292,0.06,bf16,3.6,152.3,2.4834,2.6898,14.73,11.948
213,0.162405,100.663,0.0981,48000,2.1,0.000292,0.054,bf16,3.6,152.3,2.5685,2.6878,14.7,0.801
214,0.162405,102.76,0.1001,49000,2.1,0.000292,0.044,bf16,3.7,152.3,2.5031,2.6858,14.67,0.963
215,0.162405,104.858,0.1022,50000,2.1,0.000292,0.019,bf16,3.8,152.3,2.6246,2.6837,14.64,0.946
216,0.162405,106.955,0.1042,51000,2.1,0.000292,0.046,bf16,3.9,152.3,2.4809,2.682,14.61,11.218
217,0.162405,109.052,0.1063,52000,2.1,0.000292,0.037,fp16,3.9,152.3,2.4988,2.68,14.58,1.398
218,0.162405,111.149,0.1083,53000,2.1,0.000292,0.078,bf16,4.0,152.3,2.6048,2.6783,14.56,0.994
219,0.162405,113.246,0.1104,54000,2.1,0.000292,0.083,bf16,4.1,152.3,2.6092,2.6765,14.53,0.957
220,0.162405,115.343,0.1124,55000,2.1,0.000292,0.08,fp16,4.2,152.3,2.5993,2.6749,14.51,0.974
221,0.162405,117.441,0.1144,56000,2.1,0.000292,0.055,fp16,4.2,152.3,2.4875,2.6736,14.49,1.139
222,0.162405,119.538,0.1165,57000,2.1,0.000292,0.056,fp16,4.3,152.3,2.5982,2.6713,14.46,0.731
223,0.162405,121.635,0.1185,58000,2.1,0.000292,0.099,fp16,4.4,152.3,2.5945,2.6702,14.44,1.007
224,0.162405,123.732,0.1206,59000,2.1,0.000292,0.021,fp16,4.5,152.3,2.5925,2.6683,14.41,1.056
225,0.162405,125.829,0.1226,60000,2.1,0.000292,0.054,bf16,4.5,152.3,2.56,2.6669,14.4,0.977
226,0.162405,127.926,0.1247,61000,2.1,0.000292,0.091,bf16,4.6,152.3,2.5201,2.6657,14.38,0.865
227,0.162405,130.023,0.1267,62000,2.1,0.000292,0.085,bf16,4.7,152.3,2.6088,2.6641,14.35,1.471
228,0.162405,132.121,0.1287,63000,2.1,0.000292,0.059,bf16,4.8,152.3,2.4716,2.6625,14.33,1.185
229,0.162405,134.218,0.1308,64000,2.1,0.000292,0.099,bf16,4.9,152.3,2.5114,2.6611,14.31,0.701
230,0.162405,136.315,0.1328,65000,2.1,0.000292,0.094,fp16,4.9,152.3,2.5623,2.66,14.3,0.81
231,0.162405,138.412,0.1349,66000,2.1,0.000292,0.022,bf16,5.0,152.3,2.5289,2.6584,14.27,1.519
232,0.162405,140.509,0.1369,67000,2.1,0.000292,0.044,fp16,5.1,152.3,2.4639,2.6573,14.26,1.029
233,0.162405,142.606,0.139,68000,2.1,0.000292,0.021,fp16,5.2,152.3,2.4522,2.656,14.24,0.768
234,0.162405,144.703,0.141,69000,2.1,0.000292,0.041,bf16,5.2,152.3,2.5034,2.6546,14.22,0.761
235,0.162405,146.801,0.143,70000,2.1,0.000292,0.028,fp16,5.3,152.3,2.5164,2.6538,14.21,14.246
236,0.162405,148.898,0.1451,71000,2.1,0.000292,0.056,bf16,5.4,152.3,2.5497,2.6523,14.19,1.13
237,0.162405,150.995,0.1471,72000,2.1,0.000292,0.027,bf16,5.5,152.3,2.5025,2.6507,14.16,0.977
238,0.162405,153.092,0.1492,73000,2.1,0.000292,0.059,fp16,5.5,152.3,2.5301,2.6499,14.15,1.082
