file,bytes,MB,GB
C_efficiency_evolution/detailed_results/3rd-Degree-Burn_L-3.1-Science-Writer-8B/results_2024-11-20T00-17-49.945335.json,114718,0.115,0.000115
C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1/results_2024-11-10T09-13-13.695538.json,115193,0.115,0.000115
C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-3.1-8B-Squareroot/results_2024-10-10T16-33-29.207911.json,119053,0.119,0.000119
C_efficiency_evolution/detailed_results/3rd-Degree-Burn_Llama-Squared-8B/results_2024-10-08T16-24-46.765820.json,123434,0.123,0.000123
C_efficiency_evolution/detailed_results/4season_final_model_test_v2/results_2024-07-25T15-13-01.854583.json,118558,0.119,0.000119
C_efficiency_evolution/detailed_results/AALF_FuseChat-Llama-3.1-8B-Instruct-preview/results_2024-11-20T12-47-00.610130.json,115155,0.115,0.000115
C_efficiency_evolution/detailed_results/AALF_FuseChat-Llama-3.1-8B-SFT-preview/results_2024-11-21T13-45-14.605333.json,115136,0.115,0.000115
C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K-100steps/results_2024-09-27T18-43-00.611233.json,118897,0.119,0.000119
C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K/results_2024-09-01T02-53-57.422115.json,118890,0.119,0.000119
C_efficiency_evolution/detailed_results/AELLM_gemma-2-aeria-infinity-9b/results_2024-10-09T11-48-07.657590.json,118840,0.119,0.000119
C_efficiency_evolution/detailed_results/AELLM_gemma-2-lyco-infinity-9b/results_2024-10-10T12-58-52.149709.json,118871,0.119,0.000119
C_efficiency_evolution/detailed_results/AGI-0_Art-v0-3B/results_2025-01-18T12-23-40.344038.json,115381,0.115,0.000115
C_efficiency_evolution/detailed_results/AGI-0_Artificium-llama3.1-8B-001/results_2024-09-11T00-52-31.543315.json,123514,0.124,0.000124
C_efficiency_evolution/detailed_results/AGI-0_smartllama3.1-8B-001/results_2024-11-25T22-15-59.091478.json,114657,0.115,0.000115
C_efficiency_evolution/detailed_results/AI-MO_NuminaMath-7B-CoT/results_2024-09-11T22-04-44.864778.json,119043,0.119,0.000119
C_efficiency_evolution/detailed_results/AI-MO_NuminaMath-7B-TIR/results_2024-07-25T13-40-31.863736.json,118583,0.119,0.000119
C_efficiency_evolution/detailed_results/AI-Sweden-Models_Llama-3-8B-instruct/results_2024-07-22T12-09-41.340187.json,119019,0.119,0.000119
C_efficiency_evolution/detailed_results/AI-Sweden-Models_gpt-sw3-40b/results_2024-07-26T18-58-19.331750.json,118546,0.119,0.000119
C_efficiency_evolution/detailed_results/AI4free_Dhanishtha/results_2025-02-23T21-34-08.816420.json,115849,0.116,0.000116
C_efficiency_evolution/detailed_results/AI4free_t2/results_2025-02-27T13-24-19.191994.json,115825,0.116,0.000116
C_efficiency_evolution/detailed_results/AIDC-AI_Marco-o1/results_2025-02-01T05-51-39.702980.json,115423,0.115,0.000115
C_efficiency_evolution/detailed_results/Aashraf995_Creative-7B-nerd/results_2024-12-18T03-17-53.359820.json,114617,0.115,0.000115
C_efficiency_evolution/detailed_results/Aashraf995_Gemma-Evo-10B/results_2024-12-18T04-35-43.057636.json,114588,0.115,0.000115
C_efficiency_evolution/detailed_results/Aashraf995_Qwen-Evo-7B/results_2024-12-18T03-20-24.239014.json,114632,0.115,0.000115
C_efficiency_evolution/detailed_results/Aashraf995_QwenStock-14B/results_2024-12-18T04-15-47.313168.json,114623,0.115,0.000115
C_efficiency_evolution/detailed_results/AbacusResearch_Jallabi-34B/results_2024-07-30T05-45-04.496708.json,118529,0.119,0.000119
C_efficiency_evolution/detailed_results/Ahdoot_StructuredThinker-v0.3-MoreStructure/results_2025-01-01T03-42-11.275880.json,114702,0.115,0.000115
C_efficiency_evolution/detailed_results/Ahdoot_Test_StealthThinker/results_2025-01-06T23-06-48.071737.json,114651,0.115,0.000115
C_efficiency_evolution/detailed_results/AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder/results_2025-02-27T08-25-30.321172.json,117654,0.118,0.000118
C_efficiency_evolution/detailed_results/AicoresSecurity_Cybernet-Sec-3B-R1-V0/results_2025-02-27T08-26-21.525046.json,117633,0.118,0.000118
C_efficiency_evolution/detailed_results/AicoresSecurity_Cybernet-Sec-3B-R1-V1.1/results_2025-03-07T20-20-00.411476.json,117636,0.118,0.000118
C_efficiency_evolution/detailed_results/AicoresSecurity_Cybernet-Sec-3B-R1-V1/results_2025-03-07T07-38-49.658744.json,117643,0.118,0.000118
C_efficiency_evolution/detailed_results/Alepach_notHumpback-M0/results_2025-01-06T21-45-58.081166.json,114964,0.115,0.000115
C_efficiency_evolution/detailed_results/Alepach_notHumpback-M1-v2/results_2025-01-20T06-48-43.444170.json,115246,0.115,0.000115
C_efficiency_evolution/detailed_results/Alepach_notHumpback-M1/results_2025-01-06T21-45-56.042287.json,114996,0.115,0.000115
C_efficiency_evolution/detailed_results/Alibaba-NLP_gte-Qwen2-7B-instruct/results_2024-08-12T13-03-04.687518.json,118897,0.119,0.000119
C_efficiency_evolution/detailed_results/Alsebay_Qwen2.5-7B-test-novelist/results_2024-12-18T02-28-41.543232.json,114652,0.115,0.000115
C_efficiency_evolution/detailed_results/Amaorynho_BBAI2006/results_2025-02-27T22-01-12.890348.json,113109,0.113,0.000113
C_efficiency_evolution/detailed_results/Amaorynho_BBAI270V4/results_2025-02-27T08-30-09.873664.json,116049,0.116,0.000116
C_efficiency_evolution/detailed_results/Amaorynho_BBAIIFEV1/results_2025-03-01T19-40-25.427409.json,114032,0.114,0.000114
C_efficiency_evolution/detailed_results/Amaorynho_BBAI_375/results_2025-02-27T12-12-55.675096.json,113108,0.113,0.000113
C_efficiency_evolution/detailed_results/Amu_t1-1.5B/results_2025-03-08T04-40-03.345654.json,116096,0.116,0.000116
C_efficiency_evolution/detailed_results/Amu_t1-3B/results_2025-03-13T16-46-20.235537.json,116141,0.116,0.000116
C_efficiency_evolution/detailed_results/ArliAI_ArliAI-RPMax-12B-v1.1/results_2024-09-14T01-35-22.892458.json,122777,0.123,0.000123
C_efficiency_evolution/detailed_results/ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1/results_2024-09-19T08-16-03.312956.json,119081,0.119,0.000119
C_efficiency_evolution/detailed_results/Arthur-LAGACHERIE_Precis-1B-Instruct/results_2025-01-20T02-26-42.196441.json,118588,0.119,0.000119
C_efficiency_evolution/detailed_results/Artples_L-MChat-7b/results_2024-08-21T15-54-00.632996.json,118895,0.119,0.000119
C_efficiency_evolution/detailed_results/Artples_L-MChat-Small/results_2024-08-12T20-08-53.082655.json,118844,0.119,0.000119
C_efficiency_evolution/detailed_results/Aryanne_QwentileSwap/results_2025-03-14T11-42-48.673718.json,116142,0.116,0.000116
C_efficiency_evolution/detailed_results/Aryanne_SHBA/results_2025-01-14T02-47-19.535563.json,115006,0.115,0.000115
C_efficiency_evolution/detailed_results/Aryanne_SuperHeart/results_2024-09-23T11-59-42.090754.json,118588,0.119,0.000119
C_efficiency_evolution/detailed_results/AtAndDev_Qwen2.5-1.5B-continuous-learnt/results_2024-10-15T04-55-44.027283.json,121258,0.121,0.000121
C_efficiency_evolution/detailed_results/Ateron_Glowing-Forest-12B/results_2025-03-06T15-03-45.762050.json,113462,0.113,0.000113
C_efficiency_evolution/detailed_results/Ateron_Lotus-Magpic/results_2025-03-05T13-12-09.385184.json,117658,0.118,0.000118
C_efficiency_evolution/detailed_results/Ateron_Way_of_MagPicaro/results_2025-03-05T15-31-39.956586.json,113460,0.113,0.000113
C_efficiency_evolution/detailed_results/AuraIndustries_Aura-4B/results_2024-12-18T03-06-02.963485.json,115028,0.115,0.000115
C_efficiency_evolution/detailed_results/AuraIndustries_Aura-8B/results_2024-12-11T04-50-16.483325.json,115066,0.115,0.000115
C_efficiency_evolution/detailed_results/AuraIndustries_Aura-MoE-2x4B-v2/results_2024-12-18T04-58-06.054592.json,115023,0.115,0.000115
C_efficiency_evolution/detailed_results/AuraIndustries_Aura-MoE-2x4B/results_2024-12-18T04-41-59.014444.json,115008,0.115,0.000115
C_efficiency_evolution/detailed_results/Aurel9_testmerge-7b/results_2024-11-20T00-59-08.345134.json,114598,0.115,0.000115
C_efficiency_evolution/detailed_results/Ayush-Singh_Llama1B-sft-2/results_2025-02-05T09-53-28.796940.json,114296,0.114,0.000114
C_efficiency_evolution/detailed_results/Azure99_Blossom-V6-14B/results_2025-02-01T09-24-58.712862.json,115071,0.115,0.000115
C_efficiency_evolution/detailed_results/Azure99_Blossom-V6-7B/results_2025-02-01T08-37-59.351105.json,115093,0.115,0.000115
C_efficiency_evolution/detailed_results/Azure99_blossom-v5-32b/results_2024-09-27T16-03-40.225448.json,118966,0.119,0.000119
C_efficiency_evolution/detailed_results/Azure99_blossom-v5-llama3-8b/results_2024-09-21T11-45-04.971156.json,118979,0.119,0.000119
C_efficiency_evolution/detailed_results/Azure99_blossom-v5.1-34b/results_2024-07-17T02-52-19.756120.json,119026,0.119,0.000119
C_efficiency_evolution/detailed_results/Azure99_blossom-v5.1-9b/results_2024-07-17T00-49-16.822666.json,118993,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference/results_2024-09-03T10-12-22.221077.json,118986,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0613-Llama3-70B/results_2024-07-25T07-35-25.760033.json,119061,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0613-Mistral-7B/results_2024-07-22T10-30-55.104090.json,118894,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0625-Llama3-70B/results_2024-09-03T00-17-17.935598.json,119070,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0625-Llama3-8B/results_2024-07-25T14-21-16.697446.json,119040,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0625-Mistral-7B/results_2024-08-12T18-08-03.104883.json,118916,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0625-Qwen2-7B/results_2024-08-12T18-24-56.268433.json,118995,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B/results_2024-08-21T05-35-19.299638.json,119163,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B/results_2024-08-12T13-18-16.514134.json,119109,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-7M-0729-mistral-7B/results_2024-08-12T13-10-51.363675.json,118929,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B/results_2024-09-29T01-05-56.315539.json,119064,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B/results_2024-09-02T15-50-11.409871.json,119078,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_Infinity-Instruct-7M-Gen-mistral-7B/results_2024-09-02T15-46-52.517392.json,118887,0.119,0.000119
C_efficiency_evolution/detailed_results/BAAI_OPI-Llama-3.1-8B-Instruct/results_2024-09-23T11-57-00.029469.json,118698,0.119,0.000119
C_efficiency_evolution/detailed_results/BEE-spoke-data_Meta-Llama-3-8Bee/results_2024-07-25T12-24-55.860310.json,118658,0.119,0.000119
C_efficiency_evolution/detailed_results/BEE-spoke-data_smol_llama-101M-GQA/results_2024-08-13T08-16-04.970628.json,118260,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu/results_2024-07-18T11-09-45.118921.json,118259,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_smol_llama-220M-GQA/results_2024-06-26T23-24-10.372392.json,117943,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_smol_llama-220M-openhermes/results_2024-09-21T20-51-56.948604.json,118261,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024/results_2024-09-14T09-26-54.566432.json,118361,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_tFINE-900m-e16-d32-flan/results_2024-09-14T06-01-16.457735.json,118249,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e/results_2024-09-23T16-45-27.487413.json,118286,0.118,0.000118
C_efficiency_evolution/detailed_results/BEE-spoke-data_tFINE-900m-instruct-orpo/results_2024-09-23T17-46-03.770289.json,118496,0.118,0.000118
C_efficiency_evolution/detailed_results/BSC-LT_salamandra-7b-instruct/results_2024-11-22T08-58-14.996318.json,115708,0.116,0.000116
C_efficiency_evolution/detailed_results/BSC-LT_salamandra-7b/results_2024-11-22T08-16-09.604171.json,114253,0.114,0.000114
C_efficiency_evolution/detailed_results/Ba2han_Llama-Phi-3_DoRA/results_2024-07-29T08-29-23.036311.json,119067,0.119,0.000119
C_efficiency_evolution/detailed_results/Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB/results_2025-03-01T08-30-05.978173.json,113567,0.114,0.000114
C_efficiency_evolution/detailed_results/BenevolenceMessiah_Qwen2.5-72B-2x-Instruct-TIES-v1.0/results_2024-11-25T10-42-51.480482.json,117318,0.117,0.000117
C_efficiency_evolution/detailed_results/BenevolenceMessiah_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0/results_2024-09-28T01-29-46.479228.json,118712,0.119,0.000119
C_efficiency_evolution/detailed_results/BlackBeenie_Bloslain-8B-v0.2/results_2024-11-20T00-14-46.384603.json,114675,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_Llama-3.1-8B-OpenO1-SFT-v0.1/results_2024-12-29T05-50-35.952715.json,119568,0.120,0.000120
C_efficiency_evolution/detailed_results/BlackBeenie_Llama-3.1-8B-pythonic-passthrough-merge/results_2024-11-06T21-15-20.894828.json,114699,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_Neos-Gemma-2-9b/results_2024-11-11T12-49-01.846333.json,115258,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_Neos-Llama-3.1-8B/results_2024-11-12T13-25-16.816634.json,114915,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_Neos-Llama-3.1-base/results_2024-11-11T14-31-42.592878.json,114744,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_Neos-Phi-3-14B-v0.1/results_2024-11-27T15-11-29.345795.json,114928,0.115,0.000115
C_efficiency_evolution/detailed_results/BlackBeenie_llama-3-luminous-merged/results_2024-10-11T13-21-44.421484.json,118657,0.119,0.000119
C_efficiency_evolution/detailed_results/BlackBeenie_llama-3.1-8B-Galore-openassistant-guanaco/results_2024-10-19T11-26-56.879492.json,118727,0.119,0.000119
C_efficiency_evolution/detailed_results/Bllossom_llama-3.2-Korean-Bllossom-AICA-5B/results_2024-12-18T04-48-36.945827.json,119914,0.120,0.000120
C_efficiency_evolution/detailed_results/BoltMonkey_DreadMix/results_2024-10-15T10-14-27.298886.json,119037,0.119,0.000119
C_efficiency_evolution/detailed_results/BoltMonkey_NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated/results_2024-10-02T01-12-39.953335.json,118725,0.119,0.000119
C_efficiency_evolution/detailed_results/BoltMonkey_SuperNeuralDreadDevil-8b/results_2024-10-15T04-58-27.394066.json,119047,0.119,0.000119
C_efficiency_evolution/detailed_results/BrainWave-ML_llama3.2-3B-maths-orpo/results_2024-10-25T15-23-53.121910.json,118273,0.118,0.000118
C_efficiency_evolution/detailed_results/BramVanroy_GEITje-7B-ultra/results_2024-10-28T15-46-03.761866.json,118980,0.119,0.000119
C_efficiency_evolution/detailed_results/BramVanroy_fietje-2-chat/results_2024-10-28T15-30-42.669861.json,118805,0.119,0.000119
C_efficiency_evolution/detailed_results/BramVanroy_fietje-2-instruct/results_2024-10-29T06-19-03.359209.json,118791,0.119,0.000119
C_efficiency_evolution/detailed_results/BramVanroy_fietje-2/results_2024-10-28T15-01-12.007604.json,118519,0.119,0.000119
C_efficiency_evolution/detailed_results/CYFRAGOVPL_Llama-PLLuM-8B-base/results_2025-02-28T14-13-32.792972.json,113580,0.114,0.000114
C_efficiency_evolution/detailed_results/CYFRAGOVPL_Llama-PLLuM-8B-chat/results_2025-02-28T13-53-42.976676.json,114698,0.115,0.000115
C_efficiency_evolution/detailed_results/CYFRAGOVPL_PLLuM-12B-base/results_2025-02-28T14-26-10.371596.json,113461,0.113,0.000113
C_efficiency_evolution/detailed_results/CYFRAGOVPL_PLLuM-12B-chat/results_2025-02-28T14-04-50.916092.json,114587,0.115,0.000115
C_efficiency_evolution/detailed_results/CYFRAGOVPL_PLLuM-12B-nc-base/results_2025-02-28T14-13-34.734587.json,113477,0.113,0.000113
C_efficiency_evolution/detailed_results/CYFRAGOVPL_PLLuM-12B-nc-chat/results_2025-02-28T14-03-56.285441.json,114591,0.115,0.000115
C_efficiency_evolution/detailed_results/CarrotAI_Llama-3.2-Rabbit-Ko-3B-Instruct-2412/results_2024-12-19T09-37-44.312285.json,114713,0.115,0.000115
C_efficiency_evolution/detailed_results/CarrotAI_Llama-3.2-Rabbit-Ko-3B-Instruct/results_2024-12-20T07-08-53.216233.json,115194,0.115,0.000115
C_efficiency_evolution/detailed_results/Casual-Autopsy_L3-Umbral-Mind-RP-v2.0-8B/results_2024-07-22T09-49-57.500293.json,119098,0.119,0.000119
C_efficiency_evolution/detailed_results/CausalLM_14B/results_2024-06-16T22-41-11.628824.json,120061,0.120,0.000120
C_efficiency_evolution/detailed_results/CausalLM_34b-beta/results_2024-08-13T04-12-29.067058.json,118597,0.119,0.000119
C_efficiency_evolution/detailed_results/CausalLM_preview-1-hf/results_2025-01-26T19-50-38.868150.json,114967,0.115,0.000115
C_efficiency_evolution/detailed_results/Changgil_K2S3-14b-v0.2/results_2024-08-12T22-44-05.278865.json,118607,0.119,0.000119
C_efficiency_evolution/detailed_results/Changgil_K2S3-v0.1/results_2025-02-13T18-27-04.338360.json,118528,0.119,0.000119
C_efficiency_evolution/detailed_results/ClaudioItaly_Albacus/results_2024-09-14T01-42-34.001195.json,118559,0.119,0.000119
C_efficiency_evolution/detailed_results/ClaudioItaly_Book-Gut12B/results_2024-09-18T16-10-32.498210.json,118545,0.119,0.000119
C_efficiency_evolution/detailed_results/ClaudioItaly_Evolutionstory-7B-v2.2/results_2024-09-03T07-38-49.543556.json,118591,0.119,0.000119
C_efficiency_evolution/detailed_results/ClaudioItaly_intelligence-cod-rag-7b-v3/results_2024-12-02T20-56-56.981425.json,115371,0.115,0.000115
C_efficiency_evolution/detailed_results/CohereForAI_aya-23-35B/results_2024-06-17T22-14-18.057565.json,129037,0.129,0.000129
C_efficiency_evolution/detailed_results/CohereForAI_aya-23-8B/results_2024-06-17T11-49-39.129219.json,129098,0.129,0.000129
C_efficiency_evolution/detailed_results/CohereForAI_aya-expanse-32b/results_2024-10-24T23-13-12.725496.json,116057,0.116,0.000116
C_efficiency_evolution/detailed_results/CohereForAI_aya-expanse-8b/results_2024-10-24T16-15-03.662470.json,116069,0.116,0.000116
C_efficiency_evolution/detailed_results/CohereForAI_c4ai-command-r-plus-08-2024/results_2024-09-20T05-28-13.938100.json,119890,0.120,0.000120
C_efficiency_evolution/detailed_results/CohereForAI_c4ai-command-r-plus/results_2024-06-20T10-16-23.151914.json,129112,0.129,0.000129
C_efficiency_evolution/detailed_results/CohereForAI_c4ai-command-r-v01/results_2024-06-17T20-00-09.158840.json,128748,0.129,0.000129
C_efficiency_evolution/detailed_results/CohereForAI_c4ai-command-r7b-12-2024/results_2024-12-20T13-37-10.543380.json,127828,0.128,0.000128
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-Gemma-2b-dpo-v1.0/results_2024-08-13T04-55-19.543716.json,119072,0.119,0.000119
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-Gemma-2b-odpo-v1.0/results_2024-08-13T02-35-20.190532.json,119069,0.119,0.000119
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-Gemma-2b-sft-v1.0/results_2024-08-13T04-56-06.975578.json,119025,0.119,0.000119
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-LLaMA-3-8b-dpo-v1.0/results_2024-08-13T04-36-21.322067.json,118953,0.119,0.000119
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-LLaMA-3-8b-odpo-v1.0/results_2024-08-13T04-44-27.328884.json,118972,0.119,0.000119
C_efficiency_evolution/detailed_results/Columbia-NLP_LION-LLaMA-3-8b-sft-v1.0/results_2024-08-13T04-49-26.292140.json,118967,0.119,0.000119
C_efficiency_evolution/detailed_results/CombinHorizon_Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES/results_2024-12-07T05-30-29.259046.json,117026,0.117,0.000117
