Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO
01-ai/Yi-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.811867367746064,27.08779372066118,27.626956112077934,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068
01-ai/Yi-9B-200K,8.829,2024-06-12,apache-2.0,🟢 pretrained,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156
01-ai/Yi-Coder-9B-Chat,8.829,2024-09-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.985989314863886,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007
1-800-LLMs/Qwen-2.5-14B-Hindi,14.77,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,36.266177006668904,58.2570911847232,49.32988995210337,33.30815709969788,14.988814317673373,14.350520833333334,47.362588652482266
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,31.020777275634742,30.774677854758707,46.54015554088327,31.1178247734139,15.99552572706935,15.432812499999995,46.263667257683224
1024m/PHI-4-Hindi,14.66,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,27.48785095027712,0.816832670647216,52.46181381023763,23.338368580060422,19.686800894854585,21.519270833333326,47.10401891252955
1024m/QWEN-14B-B100,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,41.91906679224076,77.62104549262622,49.77664782103219,54.38066465256798,13.422818791946312,9.883333333333335,46.429890661938536
152334H/miqu-1-70b-sf,68.977,2024-06-26,,🔶 fine-tuned on domain-specific datasets,29.097407726236643,51.81740005407873,43.807147003691966,12.462235649546828,13.422818791946312,17.209374999999998,35.865469858156025
1TuanPham/T-VisStar-7B-v0.1,7.294,2024-09-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",19.144808610895357,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666669,24.562278368794324
1TuanPham/T-VisStar-v0.1,7.294,2024-09-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,19.144808610895357,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666669,24.562278368794324
3rd-Degree-Burn/L-3.1-Science-Writer-8B,8.03,2024-11-19,,🔶 fine-tuned on domain-specific datasets,21.09120798437004,42.625012743963794,29.19930078641656,10.347432024169184,3.243847874720355,11.693489583333331,29.43816489361702
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,8.03,2024-10-10,apache-2.0,🤝 base merges and moerges,11.223740793316347,22.134381219608414,8.618063681935197,26.586102719033235,0.8948545861297527,0.7812499999999996,8.32779255319149
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.03,2024-11-10,,🤝 base merges and moerges,8.037946007988568,28.923811043586575,6.515144725982737,8.836858006042297,0.7829977628635317,1.7578124999999993,1.4110520094562635
3rd-Degree-Burn/Llama-Squared-8B,8.03,2024-10-08,,🔶 fine-tuned on domain-specific datasets,12.434954194134717,27.55244972229241,21.277103190106818,5.740181268882175,2.9082774049216997,1.9518229166666672,15.179890661938533
4season/final_model_test_v2,21.421,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.086235043644056,31.911328608093193,47.410670136906425,8.38368580060423,10.290827740492169,12.430989583333334,28.08990839243498
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,8.03,2024-11-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",28.56857495894073,71.89579205397234,30.84806521622957,24.773413897280967,7.38255033557047,6.150000000000006,30.361628250591018
AALF/FuseChat-Llama-3.1-8B-SFT-preview,8.03,2024-11-21,,🔶 fine-tuned on domain-specific datasets,29.225292099823264,72.80504616639405,32.53678156315301,22.507552870090635,7.270693512304249,9.749999999999998,30.481678486997637
AALF/gemma-2-27b-it-SimPO-37K,27.227,2024-09-05,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",9.512077380763676,24.065257959990603,15.307880971954303,1.283987915407855,4.026845637583895,1.5950520833333328,10.793439716312056
AALF/gemma-2-27b-it-SimPO-37K-100steps,27.227,2024-09-21,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",10.246803363324455,25.67642743476199,15.261078322847055,2.1148036253776437,5.145413870246088,0.7812499999999996,12.501846926713947
AELLM/gemma-2-aeria-infinity-9b,9.242,2024-10-09,,🤝 base merges and moerges,31.919053815912523,75.93995044260342,42.0902142313775,21.45015105740181,11.185682326621922,9.046093750000004,31.80223108747045
AELLM/gemma-2-lyco-infinity-9b,10.159,2024-10-09,,"💬 chat models (RLHF, DPO, IFT, ...)",30.04985134020671,73.1647583966099,39.78753882674737,17.069486404833835,10.402684563758392,8.912760416666671,30.961879432624112
AGI-0/Art-v0-3B,3.086,2025-01-19,other,🔶 fine-tuned on domain-specific datasets,12.132145545921874,31.9238509377341,8.029776912286984,24.622356495468278,1.230425055928408,5.002864583333332,1.9835992907801419
AGI-0/Artificium-llama3.1-8B-001,8.03,2024-09-08,unknown,🔶 fine-tuned on domain-specific datasets,19.491817924739056,52.47687247614108,19.34889807323965,13.595166163141995,2.1252796420581683,5.165625000000001,24.23906619385342
AGI-0/smartllama3.1-8B-001,8.03,2024-11-25,unknown,🔶 fine-tuned on domain-specific datasets,20.424552077662117,35.178659290682056,24.8577369132814,12.990936555891238,7.494407158836691,14.397395833333333,27.628176713947987
AI-MO/NuminaMath-7B-CoT,6.91,2024-09-10,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.118457218023075,26.88544173903022,19.152364282090307,26.963746223564954,2.1252796420581683,0.8263020833333333,20.75760933806146
AI-MO/NuminaMath-7B-TIR,6.91,2024-07-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.182289143173433,27.562423259174547,16.87354725795866,16.08761329305136,1.1185682326621946,4.199218749999999,19.252364066193852
AI-Sweden-Models/Llama-3-8B-instruct,8.03,2024-06-27,llama3,🔶 fine-tuned on domain-specific datasets,14.343669671742774,24.012841482821138,18.388095615027524,3.8519637462235647,2.1252796420581683,19.936718749999997,17.747118794326237
AI-Sweden-Models/gpt-sw3-40b,39.927,2024-06-26,other,🟢 pretrained,4.872902485288683,14.702988071649889,6.894934050796576,1.7371601208459215,0.0,2.8382812499999996,3.064051418439715
AI4free/Dhanishtha,1.777,2025-02-19,apache-2.0,🟩 continuously pretrained,11.247711953182252,24.51240486353985,7.93648440557281,25.604229607250755,0.33557046979865535,1.951822916666666,7.145759456264774
AI4free/t2,7.613,2025-02-27,,🤝 base merges and moerges,11.33461581083953,38.66828902866616,2.133152068631521,18.957703927492446,1.0067114093959737,5.646093750000001,1.595744680851063
AIDC-AI/Marco-o1,7.616,2025-01-31,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.639223265636087,47.7083028586373,34.84254498655976,37.46223564954683,1.230425055928408,9.963802083333334,34.62802895981088
Aashraf995/Creative-7B-nerd,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,29.97819251596781,47.21871301480073,37.080153817355196,31.64652567975831,10.17897091722595,14.942708333333334,38.802083333333336
Aashraf995/Gemma-Evo-10B,10.159,2024-12-13,apache-2.0,🤝 base merges and moerges,34.32632733409121,73.32211864519475,43.42455936867185,22.280966767371602,13.870246085011187,16.66822916666666,36.3918439716312
Aashraf995/Qwen-Evo-7B,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,30.275058582706105,47.57343847657549,38.585326990506125,31.419939577039273,10.067114093959727,15.534895833333335,38.46963652482269
Aashraf995/QwenStock-14B,14.766,2024-12-13,apache-2.0,🤝 base merges and moerges,37.13002133952593,50.08632650256874,50.433898707168744,35.725075528700906,18.568232662192393,19.274218750000003,48.69237588652482
AbacusResearch/Jallabi-34B,34.389,2024-06-27,apache-2.0,🤝 base merges and moerges,26.186081920716532,35.28604103777975,43.61576498719506,5.211480362537765,11.85682326621924,20.23880208333333,40.90757978723404
Ahdoot/StructuredThinker-v0.3-MoreStructure,3.397,2025-01-01,,🤝 base merges and moerges,23.924082152035727,41.928084150055184,27.258541777802407,29.078549848942597,6.263982102908276,10.011197916666667,29.00413711583924
Ahdoot/Test_StealthThinker,3.086,2025-01-05,mit,🔶 fine-tuned on domain-specific datasets,22.06904758264274,42.20036170693759,25.366571749083093,17.900302114803626,6.152125279642054,11.938541666666666,28.856382978723406
AicoresSecurity/Cybernet-Sec-3B-R1-V0,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,20.584200054790823,63.58018945287393,22.32210586978715,11.555891238670695,1.7897091722595053,1.920572916666666,22.336731678486995
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,22.930540293017284,70.9765644046685,22.65149321038919,14.879154078549849,2.9082774049216997,1.965625,24.202127659574465
AicoresSecurity/Cybernet-Sec-3B-R1-V1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,19.9979903395144,61.45693426774292,19.125071594281845,15.181268882175228,1.4541387024608499,1.920572916666666,20.849955673758867
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,22.643406810994602,67.30209178313541,20.43056853928926,17.598187311178247,2.796420581655479,4.528385416666668,23.204787234042552
Alepach/notHumpback-M0,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",5.137220097878128,23.500755772461517,1.2773603683897798,1.8882175226586102,0.0,2.8382812499999996,1.3187056737588652
Alepach/notHumpback-M1,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",4.779297887614574,22.06944241279804,1.922946094565394,1.5861027190332326,0.0,2.0833333333333326,1.0139627659574466
Alepach/notHumpback-M1-v2,3.213,2025-01-19,,"💬 chat models (RLHF, DPO, IFT, ...)",5.206724746715221,22.77135777514772,1.2676708259061196,2.190332326283988,1.342281879194629,2.3499999999999996,1.3187056737588652
Alibaba-NLP/gte-Qwen2-7B-instruct,7.613,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,13.834176058521932,22.55404548819355,21.92548248566236,6.419939577039275,0.0,6.315104166666665,25.790484633569736
Alsebay/Qwen2.5-7B-test-novelist,7.616,2024-12-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.172849099811746,53.51600420218354,30.417500036352994,23.48942598187311,5.480984340044745,18.29401041666667,31.839169621749413
Amaorynho/BBAI2006,1.09,2025-02-27,,🤝 base merges and moerges,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.33557046979865535,2.7343749999999996,1.3648788416075646
Amaorynho/BBAI270V4,7.616,2025-02-26,,🤝 base merges and moerges,4.549298117195413,19.90374428737971,3.006785000149223,0.8308157099697886,0.0,2.291145833333333,1.2632978723404247
Amaorynho/BBAIIFEV1,8.03,2025-03-01,,🤝 base merges and moerges,30.577013862416408,80.47369867507103,32.97465792285014,19.335347432024168,8.05369127516779,10.877864583333329,31.746823286052013
Amaorynho/BBAI_375,1.09,2025-02-27,,🤝 base merges and moerges,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.33557046979865535,2.7343749999999996,1.3648788416075646
Amu/t1-1.5B,1.777,2025-03-08,mit,🔶 fine-tuned on domain-specific datasets,12.141383312461109,33.93717558300864,15.172860277880739,5.13595166163142,0.0,1.1968749999999995,17.405437352245865
Amu/t1-3B,3.397,2025-03-13,mit,"💬 chat models (RLHF, DPO, IFT, ...)",11.160895171582572,33.27770316094629,15.248848632790677,13.746223564954683,0.0,1.5361979166666664,3.1563977541371155
ArliAI/ArliAI-RPMax-12B-v1.1,12.248,2024-09-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,20.976339912086193,53.48852156721942,24.80906331793277,11.253776435045317,4.250559284116329,5.563802083333336,26.492316784869978
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,8.03,2024-09-19,llama3,🔶 fine-tuned on domain-specific datasets,23.942143268323218,63.59016298975607,28.787014099442825,13.141993957703926,4.4742729306487705,5.3109375000000005,28.34847813238771
Arthur-LAGACHERIE/Precis-1B-Instruct,1.236,2025-01-19,llama3.2,🔶 fine-tuned on domain-specific datasets,8.848710962428209,36.70738086056109,6.06909792285563,0.3776435045317221,2.1252796420581683,3.077343750000001,4.735520094562647
Artples/L-MChat-7b,7.242,2024-07-07,apache-2.0,🤝 base merges and moerges,21.238493444242586,52.96646231997766,24.20155738881327,9.214501510574017,7.38255033557047,8.124739583333334,25.541149527186757
Artples/L-MChat-Small,2.78,2024-07-07,mit,🤝 base merges and moerges,15.23132798262929,32.87056122200207,26.856515500031353,3.7764350453172204,2.348993288590602,9.265885416666663,16.269577423167846
Aryanne/QwentileSwap,32.764,2025-02-05,apache-2.0,🤝 base merges and moerges,43.91650770857709,73.78422585406722,57.67565555333628,42.220543806646525,15.659955257270694,19.20520833333333,54.95345744680851
Aryanne/SHBA,8.03,2025-01-11,,🤝 base merges and moerges,29.875548231649606,78.16560060639105,32.47770265291174,17.97583081570997,7.38255033557047,11.11692708333333,32.134677895981085
Aryanne/SuperHeart,8.03,2024-09-23,llama3.1,🤝 base merges and moerges,25.55719928277682,51.92234382549414,31.893554212659296,15.634441087613293,6.823266219239373,14.713281249999996,32.35630910165484
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-13,,🔶 fine-tuned on domain-specific datasets,16.518524239214223,46.05214165081983,19.53766599736009,7.477341389728097,2.1252796420581683,3.7890625000000013,20.12965425531915
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-18,,"💬 chat models (RLHF, DPO, IFT, ...)",17.483555890459094,45.105431366551855,19.766408804078655,14.72809667673716,2.684563758389265,2.551822916666667,20.06501182033097
Ateron/Glowing-Forest-12B,12.248,2025-03-06,,🤝 base merges and moerges,22.612024614962053,35.91803082487799,35.52548240518279,7.779456193353475,11.073825503355701,15.179947916666663,30.1954048463357
Ateron/Lotus-Magpic,12.248,2025-03-05,,🤝 base merges and moerges,25.49856357813722,62.86076499244227,32.65772737584173,9.969788519637463,7.046979865771815,12.781770833333335,27.67434988179669
Ateron/Way_of_MagPicaro,12.248,2025-03-05,,🤝 base merges and moerges,20.630569141650984,26.37091805298829,34.315941121704846,5.8912386706948645,11.185682326621922,17.84661458333333,28.173020094562645
AuraIndustries/Aura-4B,4.513,2024-12-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",16.063480369846303,38.15620331830654,22.64085672774061,4.229607250755287,5.033557046979867,7.3638020833333355,18.95685579196217
AuraIndustries/Aura-8B,8.03,2024-12-10,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.363297533889394,72.05315230255721,30.981348410709717,15.181268882175228,4.809843400447425,9.22265625,31.93151595744681
AuraIndustries/Aura-MoE-2x4B,7.231,2024-12-14,,"💬 chat models (RLHF, DPO, IFT, ...)",16.79797839924053,46.00969871053249,20.61384808360901,3.096676737160121,2.9082774049216997,9.830468750000001,18.32890070921986
AuraIndustries/Aura-MoE-2x4B-v2,7.231,2024-12-15,,"💬 chat models (RLHF, DPO, IFT, ...)",17.515881576703762,47.77822843388875,20.801181076748463,3.1722054380664653,5.033557046979867,10.42447916666667,17.88563829787234
Aurel9/testmerge-7b,7.242,2024-11-16,,🤝 base merges and moerges,20.96930213435916,39.79984219648311,32.79279332763635,6.570996978851963,6.711409395973152,17.133072916666666,22.807697990543733
Ayush-Singh/Llama1B-sft-2,1.236,2025-02-05,,🔶 fine-tuned on domain-specific datasets,3.1693229450767695,13.743755457741015,1.2375708061002186,0.0,0.0,2.7343749999999996,1.300236406619384
Azure99/Blossom-V6-14B,14.77,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",32.80581546858162,63.95486198841297,30.3528011952772,52.567975830815705,1.6778523489932917,8.906770833333335,39.3746306146572
Azure99/Blossom-V6-7B,7.616,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",31.04565038906736,55.38194213575535,29.447521285247884,45.84592145015105,7.270693512304249,13.395052083333335,34.932771867612296
Azure99/blossom-v5-32b,32.512,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.724659940062114,52.3544196066437,42.883055884713976,18.65558912386707,8.165548098434002,8.350000000000001,35.93934692671394
Azure99/blossom-v5-llama3-8b,8.03,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.598962808998438,43.4293230849701,18.306535405618444,5.13595166163142,2.0134228187919474,5.3109375000000005,13.397606382978722
Azure99/blossom-v5.1-34b,34.389,2024-07-27,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",30.298681690900178,56.96562897556262,44.14770458838461,25.90634441087613,7.941834451901568,7.298958333333334,39.531619385342786
Azure99/blossom-v5.1-9b,8.829,2024-07-24,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",26.470194407631528,50.85816744016986,34.20124449031171,21.22356495468278,11.409395973154364,8.024479166666667,33.10431442080379
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,9.242,2024-09-05,,🔶 fine-tuned on domain-specific datasets,22.607935619579848,31.763831079313995,42.19084405906616,9.743202416918429,11.968680089485462,8.104947916666669,31.876108156028373
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,70.554,2024-06-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,35.578242909223654,68.21134589555712,51.327160982522116,21.525679758308158,14.429530201342287,16.53255208333333,41.44318853427896
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,7.242,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.29353000800769,53.19873491225504,28.992936470320583,8.157099697885197,6.152125279642054,13.252083333333333,24.00820035460993
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,70.554,2024-08-30,apache-2.0,🔶 fine-tuned on domain-specific datasets,36.91009196843762,74.42120240960651,52.02816164280523,22.507552870090635,14.317673378076066,18.34036458333333,39.84559692671394
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,8.03,2024-07-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.062531958779175,60.50268842227513,28.9882222457564,8.836858006042297,3.355704697986576,5.6677083333333345,25.02401004728132
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,7.242,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.843425216048672,58.67420666054956,28.82328942958971,7.628398791540786,4.921700223713646,12.23828125,24.774674940898343
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,7.616,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,26.199808011295485,55.53930238434022,34.65682860864863,19.259818731117825,8.389261744966444,6.461718749999999,32.89191784869976
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,8.829,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,28.14496041142372,51.85984299436606,35.37870748220464,16.389728096676738,13.870246085011187,16.724739583333335,34.64649822695036
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,8.03,2024-08-05,llama3.1,🔶 fine-tuned on domain-specific datasets,23.447423677135685,61.31952109292233,30.888804607565575,12.764350453172204,5.7046979865771785,5.297135416666668,24.710032505910167
BAAI/Infinity-Instruct-7M-0729-mistral-7B,7.242,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.21644934658775,61.61928128476886,28.697915491520025,8.308157099697885,5.369127516778524,10.04010416666667,25.26411052009456
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,70.554,2024-09-26,llama3.1,🔶 fine-tuned on domain-specific datasets,37.48445364047765,73.35458804859994,52.49894685232329,25.226586102719033,16.778523489932887,16.97161458333333,40.076462765957444
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,8.03,2024-08-29,llama3.1,🔶 fine-tuned on domain-specific datasets,23.447423677135685,61.31952109292233,30.888804607565575,12.764350453172204,5.7046979865771785,5.297135416666668,24.710032505910167
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,7.242,2024-08-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.191053766563783,61.46690780462506,28.697915491520025,8.308157099697885,5.369127516778524,10.04010416666667,25.26411052009456
BAAI/OPI-Llama-3.1-8B-Instruct,8.03,2024-09-21,llama3.1,🔶 fine-tuned on domain-specific datasets,8.531604396997649,20.745510800232275,9.76871171424153,1.3595166163141994,3.243847874720355,3.579427083333334,12.492612293144207
BEE-spoke-data/Meta-Llama-3-8Bee,8.03,2024-07-04,llama3,🔶 fine-tuned on domain-specific datasets,14.657811877680324,19.506575885317623,24.19903269979749,4.833836858006042,8.501118568232664,6.242447916666666,24.66385933806146
BEE-spoke-data/smol_llama-101M-GQA,0.101,2024-07-06,apache-2.0,🟢 pretrained,4.019599868138451,13.843712460715347,3.1980040943527936,0.6042296072507553,1.0067114093959737,4.275520833333334,1.1894208037825047
BEE-spoke-data/smol_llama-220M-GQA,0.218,2024-06-26,apache-2.0,🟢 pretrained,6.577800964187134,23.860468002677344,3.03784275772053,1.0574018126888218,0.7829977628635317,9.067708333333334,1.6603871158392434
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,2024-06-26,apache-2.0,🟩 continuously pretrained,6.629850832257909,19.88124842085666,2.314902449149024,0.6797583081570997,1.230425055928408,14.261718750000002,1.4110520094562635
BEE-spoke-data/smol_llama-220M-openhermes,0.218,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",4.938005238605682,15.552290145702292,3.107692077087363,1.0574018126888218,2.348993288590602,6.224479166666669,1.337174940898345
BEE-spoke-data/tFINE-900m-e16-d32-flan,0.887,2024-09-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,4.597533011984676,15.057713533424646,4.411893932611097,0.9818731117824773,0.0,3.7187500000000013,3.4149674940898342
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,0.887,2024-09-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,5.999886320692095,13.206735905176043,4.737018282627999,1.0574018126888218,0.5592841163310973,13.808854166666668,2.6300236406619386
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,0.887,2024-09-22,apache-2.0,🔶 fine-tuned on domain-specific datasets,5.908138429401099,14.02855534426433,5.013070335904381,1.3595166163141994,1.230425055928408,11.187239583333335,2.6300236406619386
BEE-spoke-data/tFINE-900m-instruct-orpo,0.887,2024-09-23,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",3.69630792495429,13.299157346950535,3.267300577931774,1.5861027190332326,1.230425055928408,1.1067708333333328,1.6880910165484628
BSC-LT/salamandra-7b,7.768,2024-11-22,apache-2.0,🟢 pretrained,5.704911444345451,13.673829882489574,10.157421990520298,0.3776435045317221,2.684563758389265,1.8617187499999996,5.474290780141842
BSC-LT/salamandra-7b-instruct,7.768,2024-11-22,apache-2.0,🟢 pretrained,10.181243697003833,24.507418095098785,14.688128545731287,0.8308157099697886,1.9015659955257262,10.213020833333337,8.946513002364064
Ba2han/Llama-Phi-3_DoRA,3.821,2024-06-26,mit,🔶 fine-tuned on domain-specific datasets,25.469895001154402,51.30531434371911,37.24916418079274,12.16012084592145,10.17897091722595,9.532552083333336,32.393247635933804
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,72.706,2025-02-28,apache-2.0,🤝 base merges and moerges,41.30426754456703,50.76330802271307,61.61232489960707,44.48640483383686,19.910514541387023,17.15234375,53.90070921985816
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,72.7,2024-11-24,,🤝 base merges and moerges,42.26732013588396,54.73499204333391,61.91149453060484,57.85498489425982,15.659955257270694,12.016666666666671,51.425827423167846
