index,metric/the_pile_arxiv_val_loss,metric/the_pile_freelaw_val_loss,metric/the_pile_pubmed_central_val_loss,metric/the_pile_wikipedia_en_val_loss,metric/the_pile_dm_mathematics_val_loss,metric/the_pile_github_val_loss,metric/the_pile_stackexchange_val_loss,metric/the_pile_gutenberg_pg_19_val_loss,metric/the_pile_pile_cc_val_loss,metric/the_pile_ubuntu_irc_val_loss,metric/the_pile_hackernews_val_loss,metric/the_pile_pubmed_abstracts_val_loss,metric/the_pile_uspto_backgrounds_val_loss
34,1.8910,1.7438,1.7656,2.1739,1.7419,1.2368,1.5367,1.8104,2.0294,1.7794,1.8680,2.0677,2.0240
35,1.7655,2.0615,1.9235,1.7146,0.6258,1.6926,1.4440,2.0330,1.9371,1.9569,1.9331,2.1253,1.9649
36,1.4513,2.4423,1.7185,2.5116,0.9880,2.1142,1.7930,2.0147,2.3305,1.9838,2.1823,2.1153,2.1819
37,1.9338,1.9516,1.6248,1.9229,0.7696,1.9283,2.0062,2.0613,2.1816,2.9153,1.9633,1.8764,1.7184
38,1.6760,1.6417,2.0231,1.9040,1.8552,2.2089,2.0113,1.7564,1.7420,2.2539,1.7642,1.8226,1.4701
39,1.8440,1.7229,1.8426,1.7920,0.8066,1.7098,1.5208,1.9140,2.0175,2.6107,1.8149,2.0096,1.8041
40,1.4871,1.3547,1.3773,2.0249,1.7757,1.8922,1.6771,1.8496,1.9014,2.5401,1.8054,1.6731,1.8158
41,1.6296,2.1327,1.9097,2.0438,0.8833,1.3072,1.6922,1.8319,2.0397,2.0148,1.9137,2.0510,1.9105
42,1.8592,2.1192,1.7777,1.9713,0.9095,1.4838,1.8293,1.9112,2.1182,2.6642,1.7841,1.9795,1.6713
43,1.4773,2.1971,2.1390,1.9769,0.7406,1.8696,1.7462,1.8293,2.1250,2.7305,1.9572,2.1554,1.9399
44,1.7381,1.5567,1.4370,2.2164,0.7165,1.6102,1.6363,1.9583,2.0921,2.5587,1.9843,1.8277,1.9416
45,1.0486,1.4710,1.7161,1.8941,0.9507,1.6402,1.4474,1.7199,1.7775,2.2368,1.6834,1.7145,1.6411
46,1.8378,1.8755,1.5753,1.9192,1.3117,1.7919,1.8419,1.9496,2.0525,2.0618,1.8756,1.9020,2.0620
47,2.3615,1.6995,1.8928,1.3918,0.8306,2.1586,1.9410,1.6633,1.6091,1.6397,1.4418,1.5967,1.2181
48,1.3800,2.0723,1.5269,1.8765,1.7363,1.7243,1.4428,1.9525,1.9455,2.5387,1.8790,1.7578,1.4576
49,1.1251,1.3382,1.8102,1.8619,1.7188,2.0920,1.9301,1.6815,1.7374,2.3648,1.7259,1.7650,1.4905
50,1.2817,1.6953,1.5531,1.7886,0.9004,2.1913,2.0289,1.8643,1.9194,2.2900,1.6407,1.8143,1.6062
51,1.6246,1.9168,1.7474,1.9471,1.5174,1.1153,1.3223,1.8094,1.8170,2.1553,1.6739,1.4525,1.6904
52,1.6363,1.4974,1.9270,2.3449,0.8970,2.0728,1.8670,1.9368,2.2200,2.8968,2.0610,1.8279,1.7330
53,2.1233,1.2095,1.6372,1.8753,0.9718,1.6552,1.8139,1.6258,1.8441,2.3684,1.7900,1.6557,1.3380
54,1.5015,1.8577,2.0585,1.9459,1.1202,1.8874,1.9079,1.8099,1.7886,2.5222,1.7735,1.9792,1.6444
55,1.4609,1.4038,1.9362,2.1223,1.8570,1.8519,1.6543,1.7935,1.9785,2.4393,1.7918,1.6377,1.8800
56,1.7269,2.0011,1.9172,2.2695,1.0304,1.9676,1.8531,1.8780,2.0795,2.0635,1.9150,2.0123,1.7579
57,2.1192,1.6218,1.9782,1.7032,1.7527,2.0347,1.8466,1.4485,1.5610,2.1545,1.5757,1.7790,1.6395
58,1.5226,1.6896,1.8547,1.6176,1.7015,1.3997,1.6021,1.6234,1.6362,2.2918,1.6403,1.8494,1.7059
59,1.1181,1.8646,1.1129,1.8486,1.5161,1.6799,1.5326,1.8710,1.7717,2.2291,1.7230,1.3333,1.5526
60,1.3011,2.0530,1.4878,2.0208,1.7378,1.5578,1.4272,1.6942,1.9902,2.3530,1.8477,1.7082,1.8606
61,1.7121,1.5992,2.1141,2.2332,1.3201,1.7799,1.6434,2.0530,2.1524,2.7660,1.8024,1.7704,2.0462
62,1.5370,2.0333,1.5437,2.1610,1.1158,1.6162,1.6391,2.2052,2.1706,2.1402,2.0892,1.9212,1.6589
63,1.6455,1.7912,2.0179,2.2180,1.8930,1.8440,1.6127,1.9627,2.0472,2.3307,1.9617,1.6249,1.7711
