N_B,D_B,n_uncensored,h,rmse,L_classic
2.8,50,10,0.1317550236798979,0.02077397876131575,2.3541899621361173
2.8,100,10,0.12390130811778538,0.016643218407420106,2.2810211994833116
2.8,150,10,0.10667297425496544,0.02156798350124662,2.2443610886993675
2.8,300,10,0.11954818926150326,0.030814044046501062,2.1905709632556016
2.8,500,10,0.11168455120262825,0.022590113716175163,2.157103766201326
2.8,1000,10,0.12318933343130246,0.01430224844511694,2.1187096649869765
2.8,2000,10,0.10959259431808681,0.037413222492881607,2.087089969583395
4.0,5,10,0.09207396112422031,0.013736363516132366,2.7012994926306564
4.0,10,10,0.09797093230905363,0.03010318028256005,2.561859639663302
4.0,20,10,0.09189246741681428,0.02799558358383607,2.4470231012759918
4.0,50,10,0.08916852176634629,0.034668207278653246,2.3257065594352957
4.0,100,10,0.07394883313201832,0.026750353961210237,2.25253779678249
4.0,150,10,0.07300201701705628,0.029475443001468718,2.215877685998546
4.0,300,9,0.07479733055041463,0.0317913434768732,2.1620875605547796
4.0,500,9,0.05158076565634254,0.022018512224915417,2.128620363500504
4.0,1000,9,0.08233332288113475,0.028264652226852458,2.0902262622861545
4.0,2000,9,0.0623365379233337,0.02405423320723946,2.058606566882573
6.9,5,10,0.01275781850226187,0.029573367380823105,2.6639173596946377
6.9,10,10,-0.003523912883284201,0.02101900239725429,2.5244775067272833
6.9,20,9,0.010035435527906525,0.01587478307736086,2.409640968339973
6.9,50,9,0.004460173006984905,0.019488031851988347,2.288324426499277
6.9,100,9,0.000504225727082212,0.02664463683701249,2.2151556638464713
6.9,150,9,0.005730971081634133,0.025182623501524195,2.178495553062527
6.9,300,9,0.0030223839727935038,0.0165937362451562,2.1247054276187614
6.9,500,9,0.01341722727836479,0.01670396847488058,2.091238230564486
6.9,1000,9,0.0118275385138523,0.015269718870967355,2.0528441293501363
6.9,2000,9,0.0253637303831458,0.017466187308504015,2.021224433946555
12.0,5,9,-0.08683027645080298,0.030874734126997868,2.6324383162157177
12.0,10,9,-0.08291641750588652,0.017921039374649787,2.4929984632483633
12.0,20,9,-0.059721487512566375,0.0291322145979276,2.378161924861053
12.0,50,9,-0.04317197284988716,0.015630580976416744,2.256845383020357
12.0,100,9,-0.03674645845421073,0.020867715920337822,2.1836766203675513
12.0,150,9,-0.06731650454350892,0.04058492808628813,2.147016509583607
12.0,300,9,-0.08300904887160088,0.020892339284767445,2.0932263841398413
12.0,500,9,-0.0723503909492738,0.018500877369946364,2.059759187085566
12.0,1000,9,-0.06494186224498069,0.017967476901682426,2.021365085871216
12.0,2000,9,-0.06114898588370833,0.02351815250303851,1.9897453904676345
20.0,5,9,-0.15284605291602174,0.02909909533963953,2.608194534863365
20.0,10,9,-0.1261443151832265,0.02642708006639704,2.4687546818960104
20.0,20,9,-0.1563183691471256,0.0313672027102875,2.3539181435087
20.0,50,9,-0.12784015573221807,0.03010252814819762,2.232601601668004
20.0,100,9,-0.14132551477682687,0.02089614495603142,2.1594328390151984
20.0,150,9,-0.12099003501942289,0.03294787184044608,2.1227727282312543
20.0,300,9,-0.1127360552833437,0.02140816610359315,2.0689826027874885
20.0,500,9,-0.12980288755709513,0.01602705503843007,2.035515405733213
20.0,1000,9,-0.12106102551946861,0.017009053771798347,1.9971213045188634
20.0,2000,8,-0.11114327811524516,0.014288318634896036,1.9655016091152817
40.0,5,9,-0.26953734732078155,0.02760369898188324,2.5813582933453514
40.0,10,9,-0.24982313186962618,0.02605190694090025,2.441918440377997
40.0,20,9,-0.24780823752692985,0.02329417052743557,2.3270819019906868
40.0,50,9,-0.2230947299943754,0.022702627387588676,2.2057653601499907
40.0,100,8,-0.2174008650989221,0.016389993356288816,2.132596597497185
40.0,150,8,-0.195228934035765,0.01573253405354542,2.095936486713241
40.0,300,8,-0.2224834214476436,0.023751743455169942,2.0421463612694746
40.0,500,8,-0.19910188023705083,0.030073064407594264,2.008679164215199
40.0,1000,8,-0.20340029091896045,0.020382897010113706,1.9702850630008497
40.0,2000,8,-0.21913248482369224,0.03821646627693763,1.938665367597268
70.0,5,9,-0.3530376939746059,0.01802052341840781,2.5638620834538064
70.0,10,8,-0.3303753536734075,0.01500847246662897,2.424422230486452
70.0,20,8,-0.3373997742166442,0.011896861764818406,2.3095856920991418
70.0,50,8,-0.28353761473405653,0.022613784654163215,2.1882691502584457
70.0,100,8,-0.2954320325062788,0.015382725009544393,2.11510038760564
70.0,150,8,-0.29558886856640937,0.016036699269047477,2.078440276821696
70.0,300,8,-0.2565693833755482,0.018578537524631022,2.0246501513779296
70.0,500,8,-0.26114400654851755,0.016983147658195082,1.9911829543236543
70.0,1000,8,-0.2585547459975502,0.012914513349001748,1.9527888531093047
70.0,2000,8,-0.2748622823680353,0.014557650080470934,1.921169157705723
120.0,5,8,-0.46901382470322056,0.03445097729047013,2.549882921245809
120.0,10,8,-0.42135155835023314,0.012905120030997908,2.410443068278455
120.0,20,8,-0.4086883076605933,0.02490082150283825,2.2956065298911446
120.0,50,8,-0.3399220385889644,0.020031616729487674,2.1742899880504485
120.0,100,8,-0.37324659334748805,0.026167540116702966,2.101121225397643
120.0,150,8,-0.3441486348870707,0.02564219374594991,2.0644611146136986
120.0,300,8,-0.3230579168194978,0.022227883335489734,2.010670989169933
120.0,500,8,-0.34270103314315165,0.019987355370587698,1.9772037921156573
120.0,1000,8,-0.32675834793465014,0.016499419509059275,1.9388096909013077
120.0,2000,8,-0.3312028706065052,0.0274102991712214,1.907189995497726
300.0,5,8,-0.5540946513914258,0.03334122893304746,2.531277874258324
300.0,10,8,-0.525802248052137,0.01884282463562256,2.39183802129097
300.0,20,8,-0.49969790147208615,0.02020004759088755,2.2770014829036596
300.0,50,8,-0.4831398515785395,0.020251409925776353,2.1556849410629635
300.0,100,8,-0.46966440633706313,0.03544047330041163,2.082516178410158
300.0,150,8,-0.4495034341780158,0.02745146037275072,2.0458560676262136
300.0,300,8,-0.4566647709049632,0.016251817209609318,1.9920659421824476
300.0,500,8,-0.43509692832450764,0.026651895065603295,1.9585987451281723
300.0,1000,8,-0.41609670886943084,0.022209691557904407,1.9202046439138227
300.0,2000,7,-0.4183954500252768,0.017341442617065314,1.888584948510241
700.0,5,8,-0.6809046774398965,0.02556879832997287,2.5185377924556813
700.0,10,8,-0.658524602867731,0.017146590316469833,2.379097939488327
700.0,20,8,-0.5896969686164473,0.02560730012481656,2.2642614011010167
700.0,50,8,-0.5996485077639963,0.034634874745760096,2.1429448592603206
700.0,100,7,-0.5941387445538391,0.012245531338844155,2.069776096607515
700.0,150,7,-0.5850736576633697,0.022898987847167894,2.033115985823571
700.0,300,7,-0.5322580013191948,0.02324546551197471,1.9793258603798047
700.0,500,7,-0.5383783107098925,0.016569892665511454,1.9458586633255295
700.0,1000,7,-0.5063817207346639,0.02136850789418955,1.9074645621111799
700.0,2000,7,-0.5325977457752565,0.02383259687739174,1.8758448667075982
