N_B,tokens_per_param,D_B,Q,L,dL_dlnN,dL_dlnD,dL_dQ,elas_N,elas_D,elas_Q,share_reducible_N,share_reducible_D,dL_per_0p1Q
70.0,200,14000.0,0.9,1.8345281046920818,-0.02337420728637518,-0.021195252919437024,-0.11222330536965323,-0.01274126421208382,-0.011553517694946714,-0.05505556146802151,0.4759954657693834,0.5240045342306167,-0.011222330537026703
70.0,200,14000.0,1.0,1.8233057741550551,-0.021091672586237564,-0.019932439124792367,-0.11222330536854301,-0.011567819772858303,-0.01093203312759174,-0.06154936103383363,0.46569942353143984,0.5343005764685591,
100.0,20,2000.0,0.5,1.9364032839172194,-0.028792157863444242,-0.04526376837343804,-0.13722738472112098,-0.014868885062619578,-0.023375176415665,-0.03543357570730793,0.34381212641043507,0.656187873589565,-0.013722738472131235
100.0,20,2000.0,0.6805,1.911634891281919,-0.02514287769650458,-0.04133301740316675,-0.13722738472112098,-0.013152552200825375,-0.02162181575135895,-0.04884933070729075,0.33380289349616643,0.666197106503834,-0.013722738472131013
100.0,20,2000.0,0.8,1.8952350685008257,-0.022726590579447148,-0.03873036085400017,-0.13722738472112098,-0.011991436290498994,-0.020435650172216775,-0.057925219726826176,0.3258454685908851,0.674154531409115,-0.013722738472131235
100.0,20,2000.0,0.9,1.8815123300286944,-0.020704734817744708,-0.03655255834678073,-0.1372273847222312,-0.011004304615654017,-0.019427222327170864,-0.06564115699848991,0.31813915778283636,0.6818608422171639,-0.013722738472131013
100.0,20,2000.0,1.0,1.8677895915565634,-0.018682879056042268,-0.03437475584067151,-0.13722738472001075,-0.010002667934599892,-0.01840397654857074,-0.07347047298065801,0.30924254757144604,0.690757452428553,
100.0,200,20000.0,0.5,1.859590244226127,-0.028792157863444242,-0.02375141578525586,-0.10026987181889208,-0.015483065666128061,-0.012772392121867723,-0.026960205919078595,0.4996282450700318,0.500371754929968,-0.010026987181804836
100.0,200,20000.0,0.6805,1.8414923728739596,-0.02514287769650458,-0.021688819055176722,-0.10026987181778185,-0.013653533442153159,-0.011777848974377048,-0.037052994769954516,0.4884595133978798,0.5115404866021211,-0.010026987181804614
100.0,200,20000.0,0.8,1.8295092826807124,-0.022726590579447148,-0.020323117965181936,-0.10026987181778185,-0.012422232996897787,-0.011108507706177485,-0.0438455810055733,0.4794687119778442,0.5205312880221549,-0.010026987181805058
100.0,200,20000.0,0.9,1.8194822954989074,-0.020704734817744708,-0.019180352023306924,-0.10026987181889208,-0.011379464845008238,-0.010541653563079938,-0.04959811088035787,0.4706657391547332,0.5293342608452675,-0.010026987181804614
100.0,200,20000.0,1.0,1.8094553083171028,-0.018682879056042268,-0.018037586083652357,-0.10026987181667163,-0.010325139819793846,-0.009968517045291572,-0.05541439534636993,0.4603836939756256,0.5396163060243729,
1000.0,20,20000.0,0.5,1.8136151071658824,-0.013160447286386656,-0.02375141578525586,-0.067985005856038,-0.007256472023412041,-0.013096172220561149,-0.01874295311817221,0.3133779209977336,0.686622079002266,-0.006798500585452283
1000.0,20,20000.0,0.6805,1.801344383492632,-0.011492418112712954,-0.021688819055176722,-0.06798500585381756,-0.006379911702630827,-0.012040351225413215,-0.025682610734506926,0.3038444389146856,0.6961555610853144,-0.006798500585452505
1000.0,20,20000.0,0.8,1.793219605409525,-0.010387970874603525,-0.020323117964071713,-0.06798500585381756,-0.0057929161845356805,-0.01133331238559063,-0.030329807079391837,0.29628356528001426,0.7037164347199854,-0.006798500585452505
1000.0,20,20000.0,0.9,1.7864211048240726,-0.009463812071786037,-0.019180352023306924,-0.06798500585492778,-0.00529763785606308,-0.010736747327666515,-0.03425088580973783,0.2889767105567479,0.7110232894432527,-0.006798500585452283
1000.0,20,20000.0,1.0,1.7796226042386203,-0.008539653267858327,-0.018037586083652357,-0.06798500585381756,-0.004798575410044235,-0.010135624283874173,-0.03820192308857738,0.28056006102165654,0.7194399389783425,
1000.0,200,200000.0,0.5,1.7733087316914768,-0.013160447285276433,-0.012463163632236984,-0.048592160607491074,-0.00742140781809792,-0.00702819729554309,-0.013700987239018799,0.46517910705892673,0.5348208929410714,-0.004859216060755012
1000.0,200,200000.0,0.6805,1.764538254025014,-0.011492418112712954,-0.011380850021280864,-0.04859216060638085,-0.006512988928688897,-0.006449761004229002,-0.018739496235922054,0.4540816165377285,0.5459183834622714,-0.004859216060755012
1000.0,200,200000.0,0.8,1.758731083509212,-0.010387970874603525,-0.010664220903011667,-0.04859216060638085,-0.005906514629784284,-0.006063588119300906,-0.022103281649824245,0.44517291169923195,0.5548270883007679,-0.004859216060755012
1000.0,200,200000.0,0.9,1.753871867448457,-0.009463812071786037,-0.01006457332586308,-0.048592160607491074,-0.0053959540873154245,-0.00573848837686477,-0.02493508525817505,0.436471622460973,0.5635283775390288,-0.00485921606075479
1000.0,200,200000.0,1.0,1.7490126513877022,-0.008539653267858327,-0.009464925749824715,-0.0485921606086013,-0.004882556601910679,-0.005411582210291647,-0.02778262385354805,0.42633492985040794,0.5736650701495924,
