数据集,指标,指标中文,最小值,最大值,均值,有效数,总行数,最小值(元素),最大值(元素)
A3_github,rps_lines_uppercase_letter_fraction,大写字母行占比,0.0,96.49122807017544,22.916413592601437,203752,203752,,
A3_github,rps_lines_ending_with_terminal_punctution_mark,句末标点行占比,0.0,100.0,24.583595243842968,203752,203752,,
A3_github,rps_lines_numerical_chars_fraction,数字字符行占比,0.0,63.01441377528455,1.502086109698108,203752,203752,,
A3_github,rps_doc_mean_word_length,平均词长,2.5,87.0,9.740660206988146,203752,203752,,
A3_github,fluency_en,英语流畅度,,,,203752,203752,-3.650390625,3.392578125
A3_github,modernbert_cleanliness,ModernBERT干净度,,,,203752,203752,-19.8125,21.65625
A3_github,modernbert_readability,ModernBERT可读性,,,,203752,203752,-12.1015625,14.546875
A3_github,modernbert_reasoning,ModernBERT推理性,,,,203752,203752,-9.4296875,18.421875
A3_github,modernbert_professionalism,ModernBERT专业性,,,,203752,203752,-8.7890625,16.09375
A3_github,qurater,QuRater质量等级,,,,203752,203752,-7.66796875,11.1796875
A3_github,ad_en,英文广告含量,,,,203752,203752,-3.91015625,4.61328125
A3_github,fineweb_edu,FineWeb教育价值,,,,203752,203752,-0.652137815952301,4.694155216217041
