数据集,字段,类型,非空,缺失,缺失率,最小,中位,最大,均值,取值示例
B2,step_time_ms,float64,0,1029,1.0,,,,,
B2,train_loss,float64,1029,0,0.0,2.8505,3.3481,6.504,3.4657431486880466,
B2,val_loss,float64,1029,0,0.0,2.8354,3.3305,6.4979,3.4451527696793,
B2,ppl,float64,1029,0,0.0,17.04,27.95,663.77,38.24014577259475,
B2,grad_norm_avg,float64,0,1029,1.0,,,,,
B3,N_params_B,float64,4000,0,0.0,0.070542,1.2285255,11.965825,3.088587875,
B3,D_tokens_B,float64,4000,0,0.0,0.134,6.339,299.893,39.085466000000004,
B3,val_loss,float64,4000,0,0.0,2.0936,2.88245,4.7385,2.991628675,
B3,step,int64,4000,0,0.0,0.0,3.0,143.0,18.278,
B3,interpolated,int64,4000,0,0.0,1.0,1.0,1.0,1.0,
B3,traj_file,str,4000,0,0.0,,,,,pythia_0.070542B_trajectory.csv|pythia_0.162405B_trajectory.csv|pythia_0.409009B_trajectory.csv|pythia_1.040867B_trajectory.csv|pythia_1.416184B_trajectory.csv
B4,family,str,57,0,0.0,,,,,Phi|LLaMA|Qwen2|Pythia|Gemma
B4,N_params_B,float64,57,0,0.0,0.07,4.2,72.0,11.83122807017544,
B4,D_tokens_B,int64,57,0,0.0,6.0,1084.0,33739.0,3084.842105263158,
B4,val_loss,float64,57,0,0.0,1.71,2.3258,4.3629,2.4118473684210526,
B4,is_converged,int64,57,0,0.0,1.0,1.0,1.0,1.0,
B5,family,str,44,0,0.0,,,,,GPT-2|GPT-3|Chinchilla|Gopher|LLaMA
B5,N_params_B,float64,44,0,0.0,0.125,7.05,540.0,44.84329545454545,
B5,D_tokens_B,int64,44,0,0.0,5.0,300.0,2000.0,516.7954545454545,
B5,val_loss,float64,44,0,0.0,1.473,2.189,3.015,2.204409090909091,
B5,source,str,44,0,0.0,,,,,Kaplan et al. 2020|Hoffmann et al. 2022|Touvron et al. 2023|Chowdhery et al. 2022|Zhang et al. 2022
B5,is_converged,int64,44,0,0.0,1.0,1.0,1.0,1.0,
B6,experiment_id,str,360,0,0.0,,,,,N0.07_D0010_Q0.1|N0.07_D0010_Q0.2|N0.07_D0010_Q0.3|N0.07_D0010_Q0.4|N0.07_D0010_Q0.6
B6,N_params_B,float64,360,0,0.0,0.07,1.0,11.97,3.112222222222222,
B6,D_tokens_B,int64,360,0,0.0,10.0,150.0,600.0,222.0,
B6,Q_score,float64,360,0,0.0,0.1,0.5,1.0,0.5375,
B6,val_loss,float64,360,0,0.0,2.0161,2.5783,3.7216,2.620978611111111,
B7,experiment_id,str,450,0,0.0,,,,,N0.07_D0010_Q0.1|N0.07_D0010_Q0.2|N0.07_D0010_Q0.3|N0.07_D0010_Q0.4|N0.07_D0010_Q0.6
B7,N_params_B,float64,450,0,0.0,0.07,1.0,11.97,3.112222222222222,
B7,D_tokens_B,float64,450,0,0.0,10.0,150.0,600.0,222.0,
B7,Q_score,float64,450,0,0.0,0.1,0.55,1.0,0.55,
B7,val_loss,float64,450,0,0.0,2.0161,2.5741,3.7216,2.6165322222222223,
B8,experiment_id,str,1704,0,0.0,,,,,N0.07_D0005_Q0.05|N0.07_D0005_Q0.1|N0.07_D0005_Q0.2|N0.07_D0005_Q0.3|N0.07_D0005_Q0.4
B8,N_params_B,float64,1704,0,0.0,0.07,6.9,700.0,89.99079812206573,
B8,D_tokens_B,int64,1704,0,0.0,5.0,125.0,2000.0,429.61267605633805,
B8,Q_score,float64,1704,0,0.0,0.05,0.55,1.0,0.5419014084507042,
B8,val_loss,float64,1704,0,0.0,0.5,1.2965,3.3659,1.336863732394366,
B8,data_type,str,1704,0,0.0,,,,,calibrated|extrapolated
B9,model_name,str,132,0,0.0,,,,,Ling-flash-base-2.0-20T|FaXin|PLaMo-100B|Yi-Large|Hunyuan
B9,N_params_B,float64,132,0,0.0,100.0,285.0,10000.0,551.5287878787879,
B9,D_tokens_B,float64,132,0,0.0,0.0,1549.5,36000.0,6048.147727272727,
B9,FLOPs,float64,121,11,0.0833,1.449e+18,1.8e+24,4.9999999999999994e+26,1.1139965747512396e+25,
B9,publication_date,str,132,0,0.0,,,,,2025-09-10|2024-11-15|2024-06-14|2024-05-13|2023-09-07
B9,organization,str,131,1,0.0076,,,,,Ant Group|Preferred Networks Inc|01.AI|Tencent|Mianbi Intelligence
B9,accessibility,str,130,2,0.0152,,,,,Open weights (unrestricted)|API access|Hosted access (no API)|Unreleased|Open weights (restricted use)
B9,country,str,131,1,0.0076,,,,,"China|Japan|China,China|Russia|United States of America"
B10,family,str,128,0,0.0,,,,,Ling-flash-base-2.0-20T|FaXin|PLaMo-100B|Yi-Large|Hunyuan
B10,N_params_B,float64,128,0,0.0,100.0,285.0,10000.0,559.740625,
B10,D_tokens_B,float64,128,0,0.0,0.1,1634.0,36000.0,6237.15234375,
B10,val_loss,float64,128,0,0.0,1.7838,1.90605,4.0812,2.00786328125,
B10,is_converged,int64,128,0,0.0,1.0,1.0,1.0,1.0,
B11,family,str,18,0,0.0,,,,,pythia|cerebras_gpt|olmo
B11,model_repo,str,18,0,0.0,,,,,EleutherAI/pythia-14m|EleutherAI/pythia-70m|EleutherAI/pythia-160m|EleutherAI/pythia-410m|EleutherAI/pythia-1b
B11,config_bytes,int64,18,0,0.0,359.0,569.5,1322.0,603.3333333333334,
B11,readme_bytes,int64,18,0,0.0,10560.0,13569.0,17697.0,13503.722222222223,
B11,weight_file_count,int64,18,0,0.0,1.0,2.0,6.0,2.0,
B11,weight_total_bytes,int64,18,0,0.0,56303938.0,5611870055.0,55104826062.0,14596391311.88889,
B11,source_url,str,18,0,0.0,,,,,https://huggingface.co/EleutherAI/pythia-14m|https://huggingface.co/EleutherAI/pythia-70m|https://huggingface.co/EleutherAI/pythia-160m|https://huggingface.co/EleutherAI/pythia-410m|https://huggingface.co/EleutherAI/pythia-1b
B11,error,float64,0,18,1.0,,,,,
B12,model_repo,str,1386,0,0.0,,,,,EleutherAI/pythia-14m|EleutherAI/pythia-70m|EleutherAI/pythia-160m|EleutherAI/pythia-410m|EleutherAI/pythia-1b
B12,model_size,str,1386,0,0.0,,,,,14m|70m|160m|410m|1b
B12,step,int64,1386,0,0.0,0.0,66500.0,143000.0,66863.78571428571,
B12,branch,str,1386,0,0.0,,,,,step142000|step141000|step140000|step139000|step138000
B12,commit,str,1386,0,0.0,,,,,cca39af689139d049aedf10206e932638f19679a|37d03d13381a010ede721945b18170e2f61b0f95|a5891531bf82c6a04eeea84c2bb5b69da15c7c4b|d1fd0ae9d7cd2a98fb8e792c993e601cf17f910b|cb0d666c9b2ac495ce27b75d8f79216572ecc788
