model,N_B,D_B,L_obs,L_pred,resid,rel_resid
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,2.5414256540933478,0.03302565409334779,0.01316602379737992
MegaScale (530B),530.0,300.0,1.9824,1.993539671935932,0.011139671935932016,0.005619285681967321
MegaScale (Production),530.0,1226.4,1.9008,1.8940198727444746,-0.006780127255525459,-0.0035669861403227372
Megatron-Turing NLG 530B,530.0,270.0,1.9899,2.002346830693856,0.012446830693856104,0.006255003112646919
U-PaLM (540B),540.0,1.3,2.8812,2.8814037571927082,0.00020375719270804282,7.071955876303027e-05
Flan-PaLM 540B,540.0,1.4,2.8576,2.860491801880148,0.002891801880148037,0.0010119687430529246
Minerva (540B),540.4,26.0,2.2285,2.2631359430865543,0.03463594308655438,0.015542267483309122
PaLM (540B),540.4,780.0,1.9234,1.9220163076356804,-0.0013836923643195664,-0.0007193991703855498
LongCat-Flash,560.0,23000.0,1.8055,1.764041313003387,-0.04145868699661315,-0.022962440873227994
Hunyuan-TurboS,560.0,16000.0,1.8134,1.7756916435682033,-0.0377083564317966,-0.020794285007056688
SenseChat 5.0,600.0,1835.0,1.8811,1.8672289451090722,-0.01387105489092777,-0.007373906167097852
GShard (600B),600.0,1000.0,1.909,1.9028473941100892,-0.006152605889910845,-0.003222947035050207
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1.903276546974488,-0.007223453025512194,-0.003780922808433496
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1.9108625816889524,-0.005637418311047693,-0.0029415175116345904
DeepSeek-V3.1,671.0,840.0,1.9165,1.910784719035394,-0.005715280964606162,-0.002982145037623878
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1.773044519174781,-0.03975548082521896,-0.021930428522296427
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1.773044519174781,-0.03975548082521896,-0.021930428522296427
DeepSeek-R1,671.0,14800.0,1.8128,1.773044519174781,-0.03975548082521896,-0.021930428522296427
DeepSeek-V3,671.0,14800.0,1.8128,1.773044519174781,-0.03975548082521896,-0.021930428522296427
Pangu Ultra MoE,718.0,717.0,1.9241,1.9194076561453923,-0.004692343854607595,-0.0024387214046086973
GLM-5,744.0,1532.3,1.886,1.871158311580136,-0.014841688419863885,-0.007869400010532284
Kimi K2 Thinking,1000.0,700.0,1.9214,1.9121441635896423,-0.009255836410357654,-0.0048172355627967385
Ling-1T,1000.0,20000.0,1.8011,1.7523299158755468,-0.04877008412445316,-0.027077943548083485
Qwen3-Max,1000.0,36000.0,1.7894,1.734838225395385,-0.0545617746046152,-0.030491658994420027
Kimi K2,1000.0,15500.0,1.8068,1.7606725969385426,-0.04612740306145735,-0.025529888787611994
DLRM-2021,1000.0,0.1,4.0812,3.8550984699524244,-0.2261015300475755,-0.05540074734087413
M6-T,1002.7,111.8,2.054,2.067126142422415,0.013126142422415388,0.006390526982675457
Kimi K2.5,1040.0,929.5,1.9059,1.8924330103168576,-0.013466989683142305,-0.007065947679910964
PanGu-Σ,1085.0,329.0,1.967,1.9661807560951772,-0.0008192439048229083,-0.00041649410514636926
MoE-1.1T,1100.0,112.0,2.0528,2.0645901453327773,0.011790145332777335,0.005743445699911017
GLaM,1200.0,600.0,1.9281,1.918252635661272,-0.009847364338728015,-0.0051072892167045355
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1.914764059518846,-0.012935940481153985,-0.006710556871481032
Switch,1571.0,86.4,2.074,2.0836717529052295,0.009671752905229702,0.004663333126918854
Wu Dao 2.0,1750.0,4900.0,1.8325,1.7916245385350544,-0.040875461464945584,-0.022305845274185856
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1.786661851261222,-0.04243814873877794,-0.023201655862871325
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1.786661851261222,-0.04243814873877794,-0.023201655862871325
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1.723701403340084,-0.06199859665991614,-0.03471949188548812
Grok 4,3000.0,27777.8,1.7838,1.717680932590316,-0.0661190674096841,-0.03706641294409917
Grok 3,3000.0,19444.4,1.7912,1.7286425509509786,-0.06255744904902127,-0.03492488222924368
DLRM-2022,3000.0,0.1,4.0707,3.8305125752021247,-0.2401874247978757,-0.05900396118551494
M6-10T,10000.0,0.1,4.0628,3.810498443648825,-0.252301556351175,-0.062100412609819584
