N,D,c0,Q斜率,R2,n,类型
1.0,1000,0.28553709961281154,1.9143667722632876,0.9950182937557347,10.0,B8实测切片斜率
1.0,2000,0.25418831397395286,1.9376719464977117,0.9989400696701944,10.0,B8实测切片斜率
2.8,5,0.1775187258007741,2.553923266455473,0.9990851195960745,10.0,B8实测切片斜率
2.8,10,0.149617036254839,2.4240204153467086,0.998666600248433,10.0,B8实测切片斜率
2.8,20,0.1312771911298835,2.347311510031678,0.9991998796146503,10.0,B8实测切片斜率
2.8,50,0.13343259415698672,2.2186258359732487,0.9987716182999139,10.0,B8实测切片斜率
2.8,100,0.1251290038718756,2.154332277367124,0.9991629611168007,10.0,B8实测切片斜率
2.8,150,0.10462453361492383,2.1423393171418517,0.9985822153447012,10.0,B8实测切片斜率
2.8,300,0.14369215065117835,2.0162013375571983,0.9978494477711539,10.0,B8实测切片斜率
2.8,500,0.11701629707849268,2.0333129179866245,0.9983193088878611,10.0,B8实测切片斜率
2.8,1000,0.12492016895459303,1.9915902851108762,0.9992803865778928,10.0,B8实测切片斜率
2.8,2000,0.14284804646251284,1.9019873284054907,0.9969777389114998,10.0,B8实测切片斜率
4.0,5,0.08782390003519845,2.6188757479760643,0.9996336023444464,10.0,B8实测切片斜率
4.0,10,0.10059693769799241,2.4579260823653657,0.9979015227887839,10.0,B8实测切片斜率
4.0,20,0.11409626891939449,2.3047145371348114,0.998657975121548,10.0,B8实测切片斜率
4.0,50,0.06608338613164408,2.288955297430481,0.9975800503196443,10.0,B8实测切片斜率
4.0,100,0.05584892643435394,2.219686730024639,0.9984830092399419,10.0,B8实测切片斜率
4.0,150,0.09176029567053806,2.100282998944034,0.9978620631905177,10.0,B8实测切片斜率
4.0,300,0.03777699999999967,2.1601800000000013,0.9978752392846324,9.0,B8实测切片斜率
4.0,500,0.04978600000000086,2.0805733333333336,0.99799255858465,9.0,B8实测切片斜率
4.0,1000,0.07867966666666672,2.015086666666667,0.9964907845807807,9.0,B8实测切片斜率
4.0,2000,0.05175033333333249,2.0171133333333344,0.9976119132639575,9.0,B8实测切片斜率
6.9,5,0.009191165082717626,2.6592580077437518,0.9982759133318101,10.0,B8实测切片斜率
6.9,10,0.005884547694472948,2.5066385075677577,0.9991221402507784,10.0,B8实测切片斜率
6.9,20,0.0005118333333322243,2.4183566666666687,0.9993182744115425,9.0,B8实测切片斜率
6.9,50,0.00018416666666621646,2.2922833333333346,0.9987216153590426,9.0,B8实测切片斜率
6.9,100,-0.0005751666666670739,2.216776666666668,0.9974077173545649,9.0,B8实测切片斜率
6.9,150,-0.009104000000000627,2.2019733333333344,0.997923520038818,9.0,B8实测切片斜率
6.9,300,0.0027174999999990184,2.1222833333333346,0.9989009245991918,9.0,B8实测切片斜率
6.9,500,-0.011108500000000784,2.1261100000000015,0.9996906705946745,9.0,B8实测切片斜率
6.9,1000,0.012921166666666581,2.0388633333333344,0.9989931271486931,9.0,B8实测切片斜率
6.9,2000,0.02524049999999954,1.9961033333333345,0.9986237499525471,9.0,B8实测切片斜率
12.0,5,-0.08852566666666659,2.722606666666668,0.9976928941140059,9.0,B8实测切片斜率
12.0,10,-0.06013316666666682,2.531056666666668,0.9995859101367193,9.0,B8实测切片斜率
12.0,20,-0.06863500000000128,2.4554333333333354,0.9975516493984824,9.0,B8实测切片斜率
12.0,50,-0.03321350000000041,2.280410000000001,0.9992697577280859,9.0,B8实测切片斜率
12.0,100,-0.042638166666666796,2.2320233333333346,0.9984709684587616,9.0,B8实测切片斜率
12.0,150,-0.061333666666667515,2.202553333333335,0.993969517685495,9.0,B8实测切片斜率
12.0,300,-0.06571416666666745,2.142183333333335,0.998682294123295,9.0,B8实测切片斜率
12.0,500,-0.065846166666666,2.1193033333333333,0.9986867328468652,9.0,B8实测切片斜率
12.0,1000,-0.0724331666666673,2.101056666666668,0.9987617714423161,9.0,B8实测切片斜率
12.0,2000,-0.06933233333333352,2.0670066666666678,0.9977692019707072,9.0,B8实测切片斜率
20.0,5,-0.1674866666666666,2.7898666666666676,0.9982108778717735,9.0,B8实测切片斜率
20.0,10,-0.13774683333333318,2.6177433333333338,0.9982867916095244,9.0,B8实测切片斜率
20.0,20,-0.1563218333333327,2.5102433333333334,0.9971973198198641,9.0,B8实测切片斜率
20.0,50,-0.155003166666667,2.4139233333333348,0.9979677653130602,9.0,B8实测切片斜率
20.0,100,-0.13327283333333384,2.284903333333335,0.9985714100915513,9.0,B8实测切片斜率
20.0,150,-0.1472281666666676,2.295423333333335,0.9970871145035546,9.0,B8实测切片斜率
20.0,300,-0.09223133333333372,2.141346666666668,0.9987548286049142,9.0,B8实测切片斜率
20.0,500,-0.1437691666666675,2.192816666666668,0.9992833359937937,9.0,B8实测切片斜率
20.0,1000,-0.127857166666667,2.131563333333334,0.9989162794465536,9.0,B8实测切片斜率
20.0,2000,-0.11926554621848726,2.090756302521008,0.9989566670628851,8.0,B8实测切片斜率
40.0,5,-0.259092166666667,2.830330000000001,0.9983725854598542,9.0,B8实测切片斜率
40.0,10,-0.2500796666666675,2.6922466666666685,0.9983174173761915,9.0,B8实测切片斜率
40.0,20,-0.244977500000001,2.5693166666666682,0.9985299197981417,9.0,B8实测切片斜率
40.0,50,-0.24125700000000042,2.464620000000002,0.9988012882468509,9.0,B8实测切片斜率
40.0,100,-0.21842773109243607,2.35178151260504,0.9988413013591995,8.0,B8实测切片斜率
40.0,150,-0.1916302521008404,2.284913165266106,0.9988798755786901,8.0,B8实测切片斜率
40.0,300,-0.1865638655462184,2.2022240896358536,0.9984899641498657,8.0,B8实测切片斜率
40.0,500,-0.1734949579831928,2.163292250233426,0.9960641676392854,8.0,B8实测切片斜率
40.0,1000,-0.1610378151260504,2.1000859010270774,0.9996880488167528,8.0,B8实测切片斜率
40.0,2000,-0.18005126050420142,2.0898991596638647,0.9937138626328421,8.0,B8实测切片斜率
70.0,5,-0.37266116666666727,2.955536666666668,0.9995965707280731,9.0,B8实测切片斜率
70.0,10,-0.31735882352941136,2.7321830065359474,0.9993872896515082,8.0,B8实测切片斜率
70.0,20,-0.3527596638655464,2.6736713352007464,0.9996841634809491,8.0,B8实测切片斜率
70.0,50,-0.3281991596638657,2.5494005602240897,0.9995823995172175,8.0,B8实测切片斜率
70.0,100,-0.29924117647058746,2.4171503267973846,0.999044674954285,8.0,B8实测切片斜率
70.0,150,-0.28913697478991535,2.3628197945845,0.9989355954876386,8.0,B8实测切片斜率
70.0,300,-0.2675789915966397,2.300347338935575,0.9985521452244318,8.0,B8实测切片斜率
70.0,500,-0.2861201680672263,2.2957198879551814,0.9992566453438716,8.0,B8实测切片斜率
70.0,1000,-0.24694369747899175,2.1911708683473385,0.9993039996933601,8.0,B8实测切片斜率
70.0,2000,-0.2801378151260507,2.2051970121381888,0.9989866201830906,8.0,B8实测切片斜率
120.0,5,-0.4457495798319318,2.9784780578898213,0.9971013455570688,8.0,B8实测切片斜率
120.0,10,-0.429677310924369,2.8462595704948637,0.9995496015918995,8.0,B8实测切片斜率
120.0,20,-0.3790075630252098,2.6527282913165258,0.9984928658778514,8.0,B8实测切片斜率
120.0,50,-0.37053529411764624,2.5673986928104564,0.9992232363873068,8.0,B8实测切片斜率
120.0,100,-0.365029411764705,2.4600915032679724,0.9973557761069026,8.0,B8实测切片斜率
120.0,150,-0.376419327731092,2.464676003734826,0.9982330629003805,8.0,B8实测切片斜率
120.0,300,-0.34655966386554604,2.3745602240896355,0.9983750904551176,8.0,B8实测切片斜率
120.0,500,-0.3692142857142861,2.365968253968254,0.998893970257777,8.0,B8实测切片斜率
120.0,1000,-0.32948235294117606,2.2703006535947705,0.9987459670330721,8.0,B8实测切片斜率
120.0,2000,-0.33384873949579874,2.242989729225023,0.9964496507154607,8.0,B8实测切片斜率
300.0,5,-0.5398260504201675,3.06058263305322,0.9972744074317711,8.0,B8实测切片斜率
300.0,10,-0.5639428571428566,2.983904761904761,0.9998256767304455,8.0,B8实测切片斜率
300.0,20,-0.5125890756302517,2.7990961718020535,0.9988575562969704,8.0,B8实测切片斜率
300.0,50,-0.5066621848739498,2.6796918767507005,0.9990031126110491,8.0,B8实测切片斜率
300.0,100,-0.45314537815126,2.5234808590102698,0.9955098703391068,8.0,B8实测切片斜率
300.0,150,-0.49852941176470467,2.580535947712417,0.9990165450710358,8.0,B8实测切片斜率
300.0,300,-0.4448991596638655,2.428289449112978,0.9990421615699703,8.0,B8实测切片斜率
300.0,500,-0.41501764705882316,2.3588104575163387,0.9973011688501172,8.0,B8实测切片斜率
300.0,1000,-0.4409672268907555,2.3795107376283835,0.9984408008008716,8.0,B8实测切片斜率
300.0,2000,-0.3923344709897628,2.266484641638228,0.9985579366363748,7.0,B8实测切片斜率
700.0,5,-0.7218537815126046,3.2705863678804845,0.9992868679796683,8.0,B8实测切片斜率
700.0,10,-0.6552915966386549,3.032005602240895,0.9992415508726042,8.0,B8实测切片斜率
700.0,20,-0.5772268907563017,2.832293183940241,0.9981419664915901,8.0,B8实测切片斜率
700.0,50,-0.5911521008403354,2.7278319327731078,0.9962072986374849,8.0,B8实测切片斜率
700.0,100,-0.5953203071672368,2.665750853242323,0.9992954717807572,7.0,B8实测切片斜率
700.0,150,-0.5369907849829357,2.543474402730377,0.9986797936347956,7.0,B8实测切片斜率
700.0,300,-0.5820812286689427,2.589003412969285,0.9987447395866214,7.0,B8实测切片斜率
700.0,500,-0.5455662116040962,2.4954061433447117,0.9985595878377437,7.0,B8实测切片斜率
700.0,1000,-0.5251808873720147,2.4430580204778174,0.9976767444060012,7.0,B8实测切片斜率
700.0,2000,-0.5529372013651894,2.4400477815699686,0.9970877459841037,7.0,B8实测切片斜率
0.41,50,,-0.2777914990035978,,,M(B6/B7)局部斜率
1.0,100,,-0.22761166870322516,,,M(B6/B7)局部斜率
6.9,300,,-0.15532749956716807,,,M(B6/B7)局部斜率
11.97,600,,-0.1336801244306758,,,M(B6/B7)局部斜率
