experiment_id_B7,N_params_B,D_tokens_B,Q_score,val_loss_B7,experiment_id_B8,val_loss_B8,data_type
N2.80_D0010_Q0.9,2.8,10.0,0.9,2.6397,N2.8_D0010_Q0.9,2.3574,calibrated
N2.80_D0010_Q1.0,2.8,10.0,1.0,2.484,N2.8_D0010_Q1.0,2.5409,calibrated
N2.80_D0050_Q0.1,2.8,50.0,0.1,2.5785,N2.8_D0050_Q0.1,0.5,calibrated
N2.80_D0050_Q0.2,2.8,50.0,0.2,2.4874,N2.8_D0050_Q0.2,0.5815,calibrated
N2.80_D0050_Q0.3,2.8,50.0,0.3,2.5971,N2.8_D0050_Q0.3,0.775,calibrated
N2.80_D0050_Q0.4,2.8,50.0,0.4,2.5963,N2.8_D0050_Q0.4,1.0089,calibrated
N2.80_D0050_Q0.6,2.8,50.0,0.6,2.5446,N2.8_D0050_Q0.6,1.457,calibrated
N2.80_D0050_Q0.8,2.8,50.0,0.8,2.3227,N2.8_D0050_Q0.8,1.9293,calibrated
N2.80_D0050_Q0.9,2.8,50.0,0.9,2.3871,N2.8_D0050_Q0.9,2.1407,calibrated
N2.80_D0050_Q1.0,2.8,50.0,1.0,2.2984,N2.8_D0050_Q1.0,2.3101,calibrated
N2.80_D0150_Q0.1,2.8,150.0,0.1,2.4446,N2.8_D0150_Q0.1,0.5,calibrated
N2.80_D0150_Q0.2,2.8,150.0,0.2,2.4506,N2.8_D0150_Q0.2,0.543,calibrated
N2.80_D0150_Q0.3,2.8,150.0,0.3,2.3889,N2.8_D0150_Q0.3,0.7457,calibrated
N2.80_D0150_Q0.4,2.8,150.0,0.4,2.5101,N2.8_D0150_Q0.4,0.9557,calibrated
N2.80_D0150_Q0.6,2.8,150.0,0.6,2.2938,N2.8_D0150_Q0.6,1.3479,calibrated
N2.80_D0150_Q0.8,2.8,150.0,0.8,2.2577,N2.8_D0150_Q0.8,1.8407,calibrated
N2.80_D0150_Q0.9,2.8,150.0,0.9,2.2652,N2.8_D0150_Q0.9,2.0695,calibrated
N2.80_D0150_Q1.0,2.8,150.0,1.0,2.2464,N2.8_D0150_Q1.0,2.2385,calibrated
N2.80_D0300_Q0.1,2.8,300.0,0.1,2.446,N2.8_D0300_Q0.1,0.5,calibrated
N2.80_D0300_Q0.2,2.8,300.0,0.2,2.3643,N2.8_D0300_Q0.2,0.5456,calibrated
N2.80_D0300_Q0.3,2.8,300.0,0.3,2.3988,N2.8_D0300_Q0.3,0.7388,calibrated
N2.80_D0300_Q0.4,2.8,300.0,0.4,2.3719,N2.8_D0300_Q0.4,0.9673,calibrated
N2.80_D0300_Q0.6,2.8,300.0,0.6,2.3342,N2.8_D0300_Q0.6,1.3023,calibrated
N2.80_D0300_Q0.8,2.8,300.0,0.8,2.2389,N2.8_D0300_Q0.8,1.7798,calibrated
N2.80_D0300_Q0.9,2.8,300.0,0.9,2.2601,N2.8_D0300_Q0.9,1.9735,calibrated
N2.80_D0300_Q1.0,2.8,300.0,1.0,2.1271,N2.8_D0300_Q1.0,2.1322,calibrated
N4.00_D0010_Q0.1,4.0,10.0,0.1,2.855,N4.0_D0010_Q0.1,0.5,calibrated
N4.00_D0010_Q0.2,4.0,10.0,0.2,2.872,N4.0_D0010_Q0.2,0.5947,calibrated
N4.00_D0010_Q0.3,4.0,10.0,0.3,2.8016,N4.0_D0010_Q0.3,0.8162,calibrated
N4.00_D0010_Q0.4,4.0,10.0,0.4,2.6993,N4.0_D0010_Q0.4,1.0969,calibrated
N4.00_D0010_Q0.6,4.0,10.0,0.6,2.631,N4.0_D0010_Q0.6,1.5567,calibrated
N4.00_D0010_Q0.8,4.0,10.0,0.8,2.6463,N4.0_D0010_Q0.8,2.1045,calibrated
N4.00_D0010_Q0.9,4.0,10.0,0.9,2.6487,N4.0_D0010_Q0.9,2.3491,calibrated
N4.00_D0010_Q1.0,4.0,10.0,1.0,2.4852,N4.0_D0010_Q1.0,2.4904,calibrated
N4.00_D0050_Q0.1,4.0,50.0,0.1,2.5657,N4.0_D0050_Q0.1,0.5,calibrated
N4.00_D0050_Q0.2,4.0,50.0,0.2,2.6024,N4.0_D0050_Q0.2,0.5298,calibrated
N4.00_D0050_Q0.3,4.0,50.0,0.3,2.5078,N4.0_D0050_Q0.3,0.7483,calibrated
N4.00_D0050_Q0.4,4.0,50.0,0.4,2.5793,N4.0_D0050_Q0.4,0.9837,calibrated
N4.00_D0050_Q0.6,4.0,50.0,0.6,2.4706,N4.0_D0050_Q0.6,1.4472,calibrated
N4.00_D0050_Q0.8,4.0,50.0,0.8,2.4391,N4.0_D0050_Q0.8,1.9213,calibrated
N4.00_D0050_Q0.9,4.0,50.0,0.9,2.3223,N4.0_D0050_Q0.9,2.0499,calibrated
N4.00_D0050_Q1.0,4.0,50.0,1.0,2.4105,N4.0_D0050_Q1.0,2.4043,calibrated
N4.00_D0150_Q0.1,4.0,150.0,0.1,2.494,N4.0_D0150_Q0.1,0.5,calibrated
N4.00_D0150_Q0.2,4.0,150.0,0.2,2.4505,N4.0_D0150_Q0.2,0.519,calibrated
N4.00_D0150_Q0.3,4.0,150.0,0.3,2.4411,N4.0_D0150_Q0.3,0.706,calibrated
N4.00_D0150_Q0.4,4.0,150.0,0.4,2.3929,N4.0_D0150_Q0.4,0.9268,calibrated
N4.00_D0150_Q0.6,4.0,150.0,0.6,2.3873,N4.0_D0150_Q0.6,1.3551,calibrated
N4.00_D0150_Q0.8,4.0,150.0,0.8,2.2679,N4.0_D0150_Q0.8,1.7552,calibrated
N4.00_D0150_Q0.9,4.0,150.0,0.9,2.2339,N4.0_D0150_Q0.9,2.0344,calibrated
N4.00_D0150_Q1.0,4.0,150.0,1.0,2.2102,N4.0_D0150_Q1.0,2.1522,calibrated
N4.00_D0300_Q0.1,4.0,300.0,0.1,2.4125,N4.0_D0300_Q0.1,0.5,calibrated
N4.00_D0300_Q0.2,4.0,300.0,0.2,2.3793,N4.0_D0300_Q0.2,0.5,calibrated
N4.00_D0300_Q0.3,4.0,300.0,0.3,2.2697,N4.0_D0300_Q0.3,0.7051,calibrated
N4.00_D0300_Q0.4,4.0,300.0,0.4,2.3711,N4.0_D0300_Q0.4,0.897,calibrated
N4.00_D0300_Q0.6,4.0,300.0,0.6,2.2294,N4.0_D0300_Q0.6,1.3625,calibrated
N4.00_D0300_Q0.8,4.0,300.0,0.8,2.1962,N4.0_D0300_Q0.8,1.7422,calibrated
N4.00_D0300_Q0.9,4.0,300.0,0.9,2.1753,N4.0_D0300_Q0.9,1.9926,calibrated
N4.00_D0300_Q1.0,4.0,300.0,1.0,2.1975,N4.0_D0300_Q1.0,2.2315,calibrated
N6.90_D0010_Q0.1,6.9,10.0,0.1,2.7585,N6.9_D0010_Q0.1,0.5,calibrated
N6.90_D0010_Q0.2,6.9,10.0,0.2,2.6605,N6.9_D0010_Q0.2,0.5272,calibrated
N6.90_D0010_Q0.3,6.9,10.0,0.3,2.72,N6.9_D0010_Q0.3,0.7496,calibrated
N6.90_D0010_Q0.4,6.9,10.0,0.4,2.6823,N6.9_D0010_Q0.4,1.0046,calibrated
N6.90_D0010_Q0.6,6.9,10.0,0.6,2.5269,N6.9_D0010_Q0.6,1.4702,calibrated
N6.90_D0010_Q0.8,6.9,10.0,0.8,2.5341,N6.9_D0010_Q0.8,2.0045,calibrated
N6.90_D0010_Q0.9,6.9,10.0,0.9,2.5395,N6.9_D0010_Q0.9,2.2827,calibrated
N6.90_D0010_Q1.0,6.9,10.0,1.0,2.4679,N6.9_D0010_Q1.0,2.514,calibrated
N6.90_D0050_Q0.1,6.9,50.0,0.1,2.5548,N6.9_D0050_Q0.1,0.5,calibrated
N6.90_D0050_Q0.2,6.9,50.0,0.2,2.4799,N6.9_D0050_Q0.2,0.5,calibrated
N6.90_D0050_Q0.3,6.9,50.0,0.3,2.4833,N6.9_D0050_Q0.3,0.6906,calibrated
N6.90_D0050_Q0.4,6.9,50.0,0.4,2.4979,N6.9_D0050_Q0.4,0.9193,calibrated
N6.90_D0050_Q0.6,6.9,50.0,0.6,2.4093,N6.9_D0050_Q0.6,1.3376,calibrated
N6.90_D0050_Q0.8,6.9,50.0,0.8,2.2784,N6.9_D0050_Q0.8,1.8718,calibrated
N6.90_D0050_Q0.9,6.9,50.0,0.9,2.347,N6.9_D0050_Q0.9,2.0446,calibrated
N6.90_D0050_Q1.0,6.9,50.0,1.0,2.2632,N6.9_D0050_Q1.0,2.2898,calibrated
N6.90_D0150_Q0.1,6.9,150.0,0.1,2.3272,N6.9_D0150_Q0.1,0.5,calibrated
N6.90_D0150_Q0.2,6.9,150.0,0.2,2.3658,N6.9_D0150_Q0.2,0.5,calibrated
N6.90_D0150_Q0.3,6.9,150.0,0.3,2.3708,N6.9_D0150_Q0.3,0.647,calibrated
N6.90_D0150_Q0.4,6.9,150.0,0.4,2.3438,N6.9_D0150_Q0.4,0.8733,calibrated
N6.90_D0150_Q0.6,6.9,150.0,0.6,2.2064,N6.9_D0150_Q0.6,1.3204,calibrated
N6.90_D0150_Q0.8,6.9,150.0,0.8,2.2296,N6.9_D0150_Q0.8,1.7305,calibrated
N6.90_D0150_Q0.9,6.9,150.0,0.9,2.2482,N6.9_D0150_Q0.9,2.0057,calibrated
N6.90_D0150_Q1.0,6.9,150.0,1.0,2.1506,N6.9_D0150_Q1.0,2.2001,calibrated
N6.90_D0300_Q0.1,6.9,300.0,0.1,2.3408,N6.9_D0300_Q0.1,0.5,calibrated
N6.90_D0300_Q0.2,6.9,300.0,0.2,2.3195,N6.9_D0300_Q0.2,0.5,calibrated
N6.90_D0300_Q0.3,6.9,300.0,0.3,2.3002,N6.9_D0300_Q0.3,0.6383,calibrated
N6.90_D0300_Q0.4,6.9,300.0,0.4,2.3167,N6.9_D0300_Q0.4,0.8495,calibrated
N6.90_D0300_Q0.6,6.9,300.0,0.6,2.2275,N6.9_D0300_Q0.6,1.2789,calibrated
N6.90_D0300_Q0.8,6.9,300.0,0.8,2.1189,N6.9_D0300_Q0.8,1.6963,calibrated
N6.90_D0300_Q0.9,6.9,300.0,0.9,2.1052,N6.9_D0300_Q0.9,1.9181,calibrated
N6.90_D0300_Q1.0,6.9,300.0,1.0,2.1363,N6.9_D0300_Q1.0,2.1543,calibrated
N0.07_D0010_Q0.5,0.07,10.0,0.5,3.568,N0.07_D0010_Q0.5,2.0372,calibrated
N0.07_D0010_Q0.7,0.07,10.0,0.7,3.4466,N0.07_D0010_Q0.7,2.5538,calibrated
N0.07_D0050_Q0.5,0.07,50.0,0.5,3.1892,N0.07_D0050_Q0.5,1.8871,calibrated
N0.07_D0050_Q0.7,0.07,50.0,0.7,3.1419,N0.07_D0050_Q0.7,2.2853,calibrated
N0.07_D0150_Q0.5,0.07,150.0,0.5,3.1305,N0.07_D0150_Q0.5,1.7749,calibrated
N0.07_D0150_Q0.7,0.07,150.0,0.7,3.0551,N0.07_D0150_Q0.7,2.3031,calibrated
N0.07_D0300_Q0.5,0.07,300.0,0.5,3.1769,N0.07_D0300_Q0.5,1.7667,calibrated
N0.07_D0300_Q0.7,0.07,300.0,0.7,2.9398,N0.07_D0300_Q0.7,2.1821,calibrated
N0.16_D0010_Q0.5,0.16,10.0,0.5,3.2494,N0.16_D0010_Q0.5,1.8298,calibrated
N0.16_D0010_Q0.7,0.16,10.0,0.7,3.2288,N0.16_D0010_Q0.7,2.3364,calibrated
N0.16_D0050_Q0.5,0.16,50.0,0.5,2.9246,N0.16_D0050_Q0.5,1.7045,calibrated
N0.16_D0050_Q0.7,0.16,50.0,0.7,2.8275,N0.16_D0050_Q0.7,2.1043,calibrated
N0.16_D0150_Q0.5,0.16,150.0,0.5,2.8925,N0.16_D0150_Q0.5,1.6202,calibrated
N0.16_D0150_Q0.7,0.16,150.0,0.7,2.7914,N0.16_D0150_Q0.7,2.0328,calibrated
N0.16_D0300_Q0.5,0.16,300.0,0.5,2.8079,N0.16_D0300_Q0.5,1.5753,calibrated
N0.16_D0300_Q0.7,0.16,300.0,0.7,2.7592,N0.16_D0300_Q0.7,1.9919,calibrated
N0.41_D0010_Q0.5,0.41,10.0,0.5,3.0802,N0.41_D0010_Q0.5,1.6443,calibrated
N0.41_D0010_Q0.7,0.41,10.0,0.7,3.027,N0.41_D0010_Q0.7,2.1497,calibrated
N0.41_D0050_Q0.5,0.41,50.0,0.5,2.7517,N0.41_D0050_Q0.5,1.5186,calibrated
N0.41_D0050_Q0.7,0.41,50.0,0.7,2.6453,N0.41_D0050_Q0.7,1.9086,calibrated
N0.41_D0150_Q0.5,0.41,150.0,0.5,2.6432,N0.41_D0150_Q0.5,1.4581,calibrated
N0.41_D0150_Q0.7,0.41,150.0,0.7,2.605,N0.41_D0150_Q0.7,1.8433,calibrated
N0.41_D0300_Q0.5,0.41,300.0,0.5,2.6321,N0.41_D0300_Q0.5,1.4318,calibrated
N0.41_D0300_Q0.7,0.41,300.0,0.7,2.5426,N0.41_D0300_Q0.7,1.8217,calibrated
N0.7_D0010_Q0.5,0.7,10.0,0.5,2.9761,N0.7_D0010_Q0.5,1.5184,calibrated
N0.7_D0010_Q0.7,0.7,10.0,0.7,2.9524,N0.7_D0010_Q0.7,2.0639,calibrated
N0.7_D0050_Q0.5,0.7,50.0,0.5,2.6726,N0.7_D0050_Q0.5,1.4294,calibrated
N0.7_D0050_Q0.7,0.7,50.0,0.7,2.606,N0.7_D0050_Q0.7,1.8129,calibrated
N0.7_D0150_Q0.5,0.7,150.0,0.5,2.5964,N0.7_D0150_Q0.5,1.3466,calibrated
N0.7_D0150_Q0.7,0.7,150.0,0.7,2.5081,N0.7_D0150_Q0.7,1.7355,calibrated
N0.7_D0300_Q0.5,0.7,300.0,0.5,2.5359,N0.7_D0300_Q0.5,1.3291,calibrated
N0.7_D0300_Q0.7,0.7,300.0,0.7,2.4237,N0.7_D0300_Q0.7,1.7166,calibrated
N1.0_D0010_Q0.5,1.0,10.0,0.5,2.848,N1.0_D0010_Q0.5,1.4971,calibrated
N1.0_D0010_Q0.7,1.0,10.0,0.7,2.8028,N1.0_D0010_Q0.7,1.9717,calibrated
N1.0_D0050_Q0.5,1.0,50.0,0.5,2.6594,N1.0_D0050_Q0.5,1.4083,calibrated
N1.0_D0050_Q0.7,1.0,50.0,0.7,2.5754,N1.0_D0050_Q0.7,1.7603,calibrated
N1.0_D0150_Q0.5,1.0,150.0,0.5,2.5142,N1.0_D0150_Q0.5,1.3264,calibrated
N1.0_D0150_Q0.7,1.0,150.0,0.7,2.4391,N1.0_D0150_Q0.7,1.7164,calibrated
N1.0_D0300_Q0.5,1.0,300.0,0.5,2.4767,N1.0_D0300_Q0.5,1.2964,calibrated
N1.0_D0300_Q0.7,1.0,300.0,0.7,2.4565,N1.0_D0300_Q0.7,1.6587,calibrated
N2.8_D0010_Q0.5,2.8,10.0,0.5,2.7452,N2.8_D0010_Q0.5,1.3934,calibrated
N2.8_D0010_Q0.7,2.8,10.0,0.7,2.671,N2.8_D0010_Q0.7,1.8538,calibrated
N2.8_D0050_Q0.5,2.8,50.0,0.5,2.5569,N2.8_D0050_Q0.5,1.2746,calibrated
N2.8_D0050_Q0.7,2.8,50.0,0.7,2.4459,N2.8_D0050_Q0.7,1.6925,calibrated
N2.8_D0150_Q0.5,2.8,150.0,0.5,2.4226,N2.8_D0150_Q0.5,1.1935,calibrated
N2.8_D0150_Q0.7,2.8,150.0,0.7,2.2944,N2.8_D0150_Q0.7,1.5964,calibrated
N2.8_D0300_Q0.5,2.8,300.0,0.5,2.3363,N2.8_D0300_Q0.5,1.1519,calibrated
N2.8_D0300_Q0.7,2.8,300.0,0.7,2.2804,N2.8_D0300_Q0.7,1.5956,calibrated
N4.0_D0010_Q0.5,4.0,10.0,0.5,2.6556,N4.0_D0010_Q0.5,1.319,calibrated
N4.0_D0010_Q0.7,4.0,10.0,0.7,2.6349,N4.0_D0010_Q0.7,1.843,calibrated
N4.0_D0050_Q0.5,4.0,50.0,0.5,2.5028,N4.0_D0050_Q0.5,1.2097,calibrated
N4.0_D0050_Q0.7,4.0,50.0,0.7,2.4309,N4.0_D0050_Q0.7,1.6591,calibrated
N4.0_D0150_Q0.5,4.0,150.0,0.5,2.4064,N4.0_D0150_Q0.5,1.1676,calibrated
N4.0_D0150_Q0.7,4.0,150.0,0.7,2.3547,N4.0_D0150_Q0.7,1.5337,calibrated
N4.0_D0300_Q0.5,4.0,300.0,0.5,2.2988,N4.0_D0300_Q0.5,1.1071,calibrated
N4.0_D0300_Q0.7,4.0,300.0,0.7,2.2329,N4.0_D0300_Q0.7,1.5086,calibrated
N6.9_D0010_Q0.5,6.9,10.0,0.5,2.6118,N6.9_D0010_Q0.5,1.2545,calibrated
N6.9_D0010_Q0.7,6.9,10.0,0.7,2.5613,N6.9_D0010_Q0.7,1.7949,calibrated
N6.9_D0050_Q0.5,6.9,50.0,0.5,2.4529,N6.9_D0050_Q0.5,1.1536,calibrated
N6.9_D0050_Q0.7,6.9,50.0,0.7,2.3751,N6.9_D0050_Q0.7,1.6134,calibrated
N6.9_D0150_Q0.5,6.9,150.0,0.5,2.2227,N6.9_D0150_Q0.5,1.1217,calibrated
N6.9_D0150_Q0.7,6.9,150.0,0.7,2.2344,N6.9_D0150_Q0.7,1.4831,calibrated
N6.9_D0300_Q0.5,6.9,300.0,0.5,2.2738,N6.9_D0300_Q0.5,1.0664,calibrated
N6.9_D0300_Q0.7,6.9,300.0,0.7,2.1672,N6.9_D0300_Q0.7,1.4947,calibrated
