set,N,D,spearman_Q_vs_loss,loss_Qmin,loss_Qmax
B8,0.41,10.0,1.0,0.6007,2.7299
B8,0.41,20.0,1.0,0.581,2.7188
B8,0.41,50.0,1.0,0.536,2.4497
B8,0.41,100.0,1.0,0.535,2.488
B8,0.41,150.0,1.0,0.5231,2.3801
B8,0.41,300.0,1.0,0.5209,2.3692
B8,0.41,500.0,1.0,0.5057,2.3631
B8,0.41,1000.0,1.0,0.5,2.4128
B8,0.41,2000.0,1.0,0.5,2.3248
B8,0.7,5.0,1.0,0.5148,2.862
B8,0.7,10.0,0.9930069930069931,0.5,2.6504
B8,0.7,20.0,1.0,0.5,2.5856
B8,0.7,50.0,1.0,0.5,2.492
B8,0.7,100.0,1.0,0.5,2.4334
B8,0.7,150.0,1.0,0.5,2.3563
B8,0.7,300.0,1.0,0.5,2.3162
B8,0.7,500.0,1.0,0.5,2.2912
B8,0.7,1000.0,1.0,0.5,2.297
B8,0.7,2000.0,1.0,0.5,2.2183
B8,1.0,5.0,1.0,0.5,2.8125
B8,1.0,10.0,1.0,0.5,2.6513
B8,1.0,20.0,1.0,0.5,2.6133
B8,1.0,50.0,1.0,0.5,2.4688
B8,1.0,100.0,0.9982502173821435,0.5,2.4489
B8,1.0,150.0,0.9982502173821435,0.5,2.2789
B8,1.0,300.0,0.9982502173821435,0.5,2.3325
B8,1.0,500.0,0.9982502173821435,0.5,2.2572
B8,1.0,1000.0,0.9982502173821435,0.5,2.1409
B8,1.0,2000.0,0.9982502173821435,0.5,2.2081
B8,2.8,5.0,0.9982502173821435,0.5,2.721
B8,2.8,10.0,0.9982502173821435,0.5,2.5409
B8,2.8,20.0,0.9982502173821435,0.5,2.5073
B8,2.8,50.0,0.9982502173821435,0.5,2.3101
B8,2.8,100.0,0.9982502173821435,0.5,2.2588
B8,2.8,150.0,0.9982502173821435,0.5,2.2385
B8,2.8,300.0,0.9982502173821435,0.5,2.1322
B8,2.8,500.0,0.9982502173821435,0.5,2.1517
B8,2.8,1000.0,0.9982502173821435,0.5,2.1237
B8,2.8,2000.0,0.9982502173821435,0.5,2.0839
B8,4.0,5.0,0.9982502173821435,0.5,2.6973
B8,4.0,10.0,0.9982502173821435,0.5,2.4904
B8,4.0,20.0,0.9982502173821435,0.5,2.4139
B8,4.0,50.0,0.9982502173821435,0.5,2.4043
B8,4.0,100.0,0.9982502173821435,0.5,2.2786
B8,4.0,150.0,0.9982502173821435,0.5,2.1522
B8,4.0,300.0,0.9929823694376383,0.5,2.2315
B8,4.0,500.0,0.9929823694376383,0.5,2.1365
B8,4.0,1000.0,0.9929823694376383,0.5,2.1308
B8,4.0,2000.0,0.9929823694376383,0.5,2.0978
B8,6.9,5.0,0.9982502173821435,0.5,2.633
B8,6.9,10.0,0.9982502173821435,0.5,2.514
B8,6.9,20.0,0.9929823694376383,0.5,2.4144
B8,6.9,50.0,0.9929823694376383,0.5,2.2898
B8,6.9,100.0,0.9929823694376383,0.5,2.2368
B8,6.9,150.0,0.9929823694376383,0.5,2.2001
B8,6.9,300.0,0.9929823694376383,0.5,2.1543
B8,6.9,500.0,0.9929823694376383,0.5,2.1285
B8,6.9,1000.0,0.9929823694376383,0.5,2.0548
B8,6.9,2000.0,0.9929823694376383,0.5,1.9935
B8,12.0,5.0,0.9929823694376383,0.5,2.701
B8,12.0,10.0,0.9929823694376383,0.5,2.4582
B8,12.0,20.0,0.9929823694376383,0.5,2.3472
B8,12.0,50.0,0.9929823694376383,0.5,2.2387
B8,12.0,100.0,0.9929823694376383,0.5,2.2111
B8,12.0,150.0,0.9929823694376383,0.5,2.0668
B8,12.0,300.0,0.9929823694376383,0.5,2.0381
B8,12.0,500.0,0.9929823694376383,0.5,2.0759
B8,12.0,1000.0,0.9929823694376383,0.5,2.0468
B8,12.0,2000.0,0.9929823694376383,0.5,1.9695
B8,20.0,5.0,0.9929823694376383,0.5,2.5772
B8,20.0,10.0,0.9929823694376383,0.5,2.4446
B8,20.0,20.0,0.9929823694376383,0.5,2.3884
B8,20.0,50.0,0.9929823694376383,0.5,2.2835
B8,20.0,100.0,0.9929823694376383,0.5,2.1626
B8,20.0,150.0,0.9929823694376383,0.5,2.202
B8,20.0,300.0,0.9929823694376383,0.5,2.0706
B8,20.0,500.0,0.9929823694376383,0.5,2.0683
B8,20.0,1000.0,0.9929823694376383,0.5,1.9818
B8,20.0,2000.0,0.9823619317924353,0.5,1.9584
B8,40.0,5.0,0.9929823694376383,0.5,2.5961
B8,40.0,10.0,0.9929823694376383,0.5,2.4636
B8,40.0,20.0,0.9929823694376383,0.5,2.3679
B8,40.0,50.0,0.9929823694376383,0.5,2.262
B8,40.0,100.0,0.9823619317924353,0.5,2.1214
B8,40.0,150.0,0.9823619317924353,0.5,2.0917
B8,40.0,300.0,0.9823619317924353,0.5,2.0147
B8,40.0,500.0,0.9823619317924353,0.5,2.0298
B8,40.0,1000.0,0.9823619317924353,0.5,1.9394
B8,40.0,2000.0,0.9752433670693017,0.5,1.9275
B8,70.0,5.0,0.9929823694376383,0.5,2.6033
B8,70.0,10.0,0.9823619317924353,0.5,2.4186
B8,70.0,20.0,0.9823619317924353,0.5,2.3369
B8,70.0,50.0,0.9823619317924353,0.5,2.2162
B8,70.0,100.0,0.9823619317924353,0.5,2.1223
B8,70.0,150.0,0.9823619317924353,0.5,2.0817
B8,70.0,300.0,0.9823619317924353,0.5,2.0225
B8,70.0,500.0,0.9823619317924353,0.5,2.0232
B8,70.0,1000.0,0.9823619317924353,0.5,1.9314
B8,70.0,2000.0,0.9823619317924353,0.5,1.9285
B8,120.0,5.0,0.9823619317924353,0.5,2.5753
B8,120.0,10.0,0.9823619317924353,0.5,2.4219
B8,120.0,20.0,0.9823619317924353,0.5,2.2493
B8,120.0,50.0,0.9823619317924353,0.5,2.2004
B8,120.0,100.0,0.9823619317924353,0.5,2.1521
B8,120.0,150.0,0.9823619317924353,0.5,2.0881
B8,120.0,300.0,0.9823619317924353,0.5,2.0619
B8,120.0,500.0,0.9823619317924353,0.5,2.0294
B8,120.0,1000.0,0.9823619317924353,0.5,1.9082
B8,120.0,2000.0,0.9823619317924353,0.5,1.9249
B8,300.0,5.0,0.9823619317924353,0.5,2.478
B8,300.0,10.0,0.9823619317924353,0.5,2.4246
B8,300.0,20.0,0.9823619317924353,0.5,2.3267
B8,300.0,50.0,0.9823619317924353,0.5,2.1404
B8,300.0,100.0,0.9823619317924353,0.5,2.018
B8,300.0,150.0,0.9823619317924353,0.5,2.0823
B8,300.0,300.0,0.9823619317924353,0.5,1.9949
B8,300.0,500.0,0.9823619317924353,0.5,1.92
B8,300.0,1000.0,0.9823619317924353,0.5,1.9425
B8,300.0,2000.0,0.9644013324700096,0.5,1.8777
B8,700.0,5.0,0.9823619317924353,0.5,2.5391
B8,700.0,10.0,0.9823619317924353,0.5,2.4033
B8,700.0,20.0,0.9823619317924353,0.5,2.2974
B8,700.0,50.0,0.9823619317924353,0.5,2.071
B8,700.0,100.0,0.9644013324700096,0.5,2.0708
B8,700.0,150.0,0.9644013324700096,0.5,2.0154
B8,700.0,300.0,0.9644013324700096,0.5,2.0155
B8,700.0,500.0,0.9644013324700096,0.5,1.9675
B8,700.0,1000.0,0.9644013324700096,0.5,1.882
B8,700.0,2000.0,0.9644013324700096,0.5,1.8865
